id,file_offset_start,file_offset_end_inclusive,gba_address_start,gba_address_end_inclusive,length,area,severity,vega_ips_output_hex,factory_ups_xor_hex,resolution,note
1,0x00000148,0x0000014A,0x08000148,0x0800014A,3,header/pointer-vector,critical,B0BBE0,8CC62E,PORT,0x08E0BBB0: Vega move-name table; 0x1000 bytes to 0x08E0CBB0 = 512 entries x 8 bytes
2,0x000001CC,0x000001CE,0x080001CC,0x080001CE,3,header/pointer-vector,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
3,0x0000DDB0,0x0000DDB2,0x0800DDB0,0x0800DDB2,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
4,0x0001211C,0x0001211E,0x0801211C,0x0801211E,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
5,0x000123F4,0x000123F6,0x080123F4,0x080123F6,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
6,0x00014880,0x00014882,0x08014880,0x08014882,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
7,0x000157D0,0x000157D2,0x080157D0,0x080157D2,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
8,0x00015904,0x00015906,0x08015904,0x08015906,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
9,0x00015A4C,0x00015A4E,0x08015A4C,0x08015A4E,3,core-engine/hook-area,critical,B0CBE0,BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
10,0x00015B78,0x00015B7E,0x08015B78,0x08015B7E,7,core-engine/hook-area,critical,D065E108B0CBE0,9C581801BC6830,PORT,0x08E0CBB0: Vega move data table; 0x1800 bytes to 0x08E0E3B0 = 512 entries x 12 bytes
