placement_key,event_keys,map_key,group_id,map_id,trigger_type,allocation_policy,stage36_host_address,stage36_expected_hex,stage37_binding_kind,dispatcher_address,stage37_record_address,stage37_script_pointer_address,local_id,x,y,elevation,object_count_before,object_count_after,script_owner,fallback_address,status,notes
PLACEMENT_KEY_EVENT_PORT_ENTRY,EVENT_KEY_MAIN_PORT_ARRIVAL,KANTO_OUTDOOR_VERMILION_CITY,96,5,MAP_ENTER,NO_PHYSICAL_HOST,0x092BFDDC,04f62c09,MAP_SCRIPT_ON_TRANSITION,0x0938E2E8,0x092BFDDC,0x0938E330,,,,,3,4,EVENT_DESIGN_DISPATCHER,,PASS,既存map script tableを保持しON_TRANSITION dispatcherへ結合
PLACEMENT_KEY_EVENT_PORT_COORDINATOR,EVENT_KEY_MAIN_PORT_REGISTRATION|EVENT_KEY_FACILITY_PORT_HEAL|EVENT_KEY_MAIN_EARLY_FOUR_COMPLETE|EVENT_KEY_MAIN_POSTHOF_RETURN,KANTO_OUTDOOR_VERMILION_CITY,96,5,TALK_OBJECT,RESTORE_SOURCE_OBJECT,clean:VermilionCity:object:0,0117000016000b000305140000000000d21d170800000000,RESTORED_OBJECT,0x0938CD84,0x0938FDA0,0x0938FDB0,4,22,11,3,3,4,EVENT_DESIGN_DISPATCHER,0x08171DD2,PASS,"{""adjacent_walkable"":4,""avoidable_path"":true,""sightline"":[],""walkable"":true}"
PLACEMENT_KEY_EVENT_PORT_WARNING_SIGN,EVENT_KEY_FACILITY_PORT_WARNING,KANTO_OUTDOOR_VERMILION_CITY,96,5,READ_SIGN,REPOINT_SOURCE_BG,clean:VermilionCity:bg:0,21000600000000000e211708,RESTORED_BG_REPOINT,0x0938CE8C,0x0938FDB8,0x0938FDC0,,33,6,0,3,4,EVENT_DESIGN_DISPATCHER,0x0817210E,PASS,Stage36 BG countを再監査しclean source sign recordだけを復元
PLACEMENT_KEY_EVENT_PORT_RETURN_SIGN,EVENT_KEY_FACILITY_PORT_RETURN,KANTO_OUTDOOR_VERMILION_CITY,96,5,READ_SIGN,REPOINT_SOURCE_BG,clean:VermilionCity:bg:1,0a0011000300000020211708,RESTORED_BG_REPOINT,0x0938CED8,0x0938FDC4,0x0938FDCC,,10,17,3,3,4,EVENT_DESIGN_DISPATCHER,0x09220D24,PASS,Stage36 BG countを再監査しclean source sign recordだけを復元
PLACEMENT_KEY_EVENT_PORT_FACTORY_WRAPPER,EVENT_KEY_FACILITY_FACTORY_GUIDE,KANTO_OUTDOOR_VERMILION_CITY,96,5,EXISTING_SERVICE,NO_PHYSICAL_HOST,0x092DCEF4,dcf32c09,EXISTING_FACTORY_OBJECT_REPOINT,0x0938CF24,0x0938FD70,0x0938FD80,2,20,19,3,3,4,EVENT_DESIGN_DISPATCHER,0x092CF3DC,PASS,T19後のFactory production scriptへfallback委譲
PLACEMENT_KEY_EVENT_CERT_3,EVENT_KEY_CERT_3_VERMILION,KANTO_INDOOR_VERMILION_CITY_GYM,98,40,READ_SIGN,REPOINT_SOURCE_BG,clean:VermilionCity_Gym:bg:0,0300110000000000ec311808,RESTORED_BG_REPOINT,0x0938CF70,0x0938EF7C,0x0938EF84,,3,17,0,4,4,EVENT_DESIGN_DISPATCHER,0x081831EC,PASS,Stage36 BG countを再監査しclean source sign recordだけを復元
PLACEMENT_KEY_EVENT_SSANNE_GUIDE,EVENT_KEY_FLAVOR_SSANNE_EXCHANGE,KANTO_DUNGEON_SSANNE_DECK,97,9,TALK_OBJECT,RESTORE_SOURCE_OBJECT,clean:SSAnne_Deck:object:2,033e00000d000d00031b1400000000007e47160800000000,RESTORED_OBJECT,0x0938CFBC,0x0938E864,0x0938E874,3,13,13,3,2,3,EVENT_DESIGN_DISPATCHER,0x0816477E,PASS,"{""adjacent_walkable"":2,""avoidable_path"":true,""sightline"":[],""walkable"":true}"
PLACEMENT_KEY_EVENT_ROUTE6_TIDE_SIGN,EVENT_KEY_FLAVOR_ROUTE6_TIDE,KANTO_OUTDOOR_ROUTE6,96,17,READ_SIGN,REPOINT_SOURCE_BG,clean:Route6:bg:0,15000f0000000000595b1708,RESTORED_BG_REPOINT,0x0938D004,0x0938FBD0,0x0938FBD8,,21,15,0,3,3,EVENT_DESIGN_DISPATCHER,0x08175B59,PASS,Stage36 BG countを再監査しclean source sign recordだけを復元
PLACEMENT_KEY_EVENT_OAK_ASSISTANT,EVENT_KEY_QOL_OAK_BASIC_SYNC|EVENT_KEY_QOL_FIELD_KIT|EVENT_KEY_QOL_RESEARCH_PROFILE,KANTO_INDOOR_PALLET_TOWN_PROFESSOR_OAKS_LAB,98,3,TALK_OBJECT,RESTORE_SOURCE_OBJECT,clean:PalletTown_ProfessorOaksLab:object:1,0230000002000a00030340000000000061d4170800000000,RESTORED_OBJECT,0x0938D050,0x0938ED68,0x0938ED78,2,2,10,3,2,3,EVENT_DESIGN_DISPATCHER,0x0817D461,PASS,"{""adjacent_walkable"":4,""avoidable_path"":true,""sightline"":[],""walkable"":true}"
PLACEMENT_KEY_EVENT_ROUTE1_OBSERVER,EVENT_KEY_SIDE_FOREST_CORRIDOR_START,KANTO_OUTDOOR_ROUTE1,96,12,TALK_OBJECT,RESTORE_SOURCE_OBJECT,clean:Route1:object:0,0144000006001c0003031100000000003d54170800000000,RESTORED_OBJECT,0x0938D118,0x0938F0EC,0x0938F0FC,1,6,28,3,0,1,EVENT_DESIGN_DISPATCHER,0x0817543D,PASS,"{""adjacent_walkable"":4,""avoidable_path"":true,""sightline"":[],""walkable"":true}"
