feature_key,capability_keys,classification,production_owner,entry_symbol,ui_owner,unlock_source,save_owner,serializer_owner,supply_owner,mgba_case
TEXT_SPEED_INSTANT,TEXT_SPEED,LIVE_ENGINE_UI,QOL_PROD_TEXT_SPEED,VegaQolProduction_GetTextSpeedDelay,START_SELECT_QOL_PANEL,VEGA_PRE_ENTRY,T08_LEDGER_TEXT_SPEED,T19_STAGE36,QOL_SERVICE_SETTINGS,QOL_TEXT_INPUT
FAST_MOVEMENT,RUN_COURSE_FRAME_RATIO|BICYCLE_COURSE_FRAME_RATIO,LIVE_ENGINE_UI,QOL_PROD_FAST_MOVEMENT,VegaQolProduction_ReadKeysAdapter,FIELD_INPUT,VEGA_PRE_ENTRY,NONE_DERIVED,T19_STAGE36,EXISTING_RUNNING_SHOES_BICYCLE,QOL_MOVEMENT_EVENTS
IV_EV_JUDGE,IV_EV_COMPACT|HYPER_TRAINING,LIVE_ENGINE_UI,QOL_PROD_IV_EV_JUDGE,VegaQolProduction_PrintSkillsPageAdapter,SUMMARY_AND_PC_PANE,VEGA_PRE_ENTRY,NONE_DERIVED,T19_STAGE36,QOL_SERVICE_TRAINING,QOL_JUDGE_TRAINED
PC_SEARCH_MULTISELECT,PC_SEARCH|PC_MULTISELECT|PC_BULK_MOVE_RELEASE,LIVE_ENGINE_UI,QOL_PROD_PC_ADVANCED,VegaQolProduction_PssHandleInputAdapter,EXISTING_PC_LIST,VEGA_PRE_ENTRY,QOL_VOLATILE_SELECTION,T19_STAGE36,QOL_SERVICE_PC,QOL_PC_MULTI_BOX
EXP_SHARE,EXP_SHARE,LIVE_ENGINE_UI,QOL_PROD_EXP_SHARE,VegaQolProduction_Dispatch,START_SELECT_QOL_PANEL,VEGA_BADGE_1,T08_LEDGER_EXP_SHARE_AND_FLAG_0906,T19_STAGE36,BADGE1_REWARD,QOL_EXP_SHARE_SAVE
EVERSTONE_SUPPLY,MODERN_BREEDING,LIVE_SUPPLY,QOL_PROD_EVERSTONE_SUPPLY,VegaQolProduction_ClaimOneTimeReward,START_SELECT_REWARD_AND_SUPPLY_PANEL,VEGA_BADGE_1,QOL_CLAIM_BIT_ITEM_195,T19_STAGE36,QOL_ONE_TIME_REWARD_AND_REPEATABLE_SUPPLY,QOL_SUPPLY_BOUNDARIES
EGG_PC_TRANSFER,EGG_PC_QUEUE,LIVE_SERVICE,QOL_PROD_EGG_PC_TRANSFER,VegaQolProduction_Dispatch,START_SELECT_QOL_PANEL,VEGA_BADGE_1,T08_LEDGER_EGG_QUEUE,T19_STAGE36,QOL_SERVICE_EGG_QUEUE,QOL_EGG_PC_FULL
EGG_QUEUE_5,EGG_PC_QUEUE,LIVE_SERVICE,QOL_PROD_EGG_QUEUE,VegaQolProduction_ShouldEggHatchAdapter,DAYCARE_AND_QOL_PANEL,VEGA_DAYCARE_FIRST,T08_LEDGER_EGG_QUEUE,T19_STAGE36,QOL_SERVICE_EGG_QUEUE,QOL_EGG_QUEUE_SAVE
FREE_MOVE_RELEARN,PC_RELEARN,LIVE_SERVICE,QOL_PROD_FREE_RELEARN,VegaMoveMemory_FieldUse,EXISTING_BAG_ITEM,VEGA_BADGE_1,MOVE_MEMORY_BADGE_OWNER,T19_STAGE36,BADGE1_MOVE_MEMORY_REWARD,QOL_MOVE_MEMORY
PC_MOVE_EDIT,PC_RELEARN,LIVE_ENGINE_UI,QOL_PROD_PC_MOVE_EDIT,VegaQolProduction_PssHandleInputAdapter,EXISTING_PC_LIST,VEGA_BADGE_2,QOL_VOLATILE_SELECTION,T19_STAGE36,QOL_SERVICE_PC,QOL_PC_RELEARN
