supply_entry_key,item_key,price_bp,unlock_feature,repeatability
QOL_SHOP_EVERSTONE,ITEM_KEY_EVERSTONE,4,EVERSTONE_SUPPLY,REPEATABLE
QOL_SHOP_CANDY_XS,ITEM_KEY_EXP_CANDY_XS,1,EXP_CANDY_XS_S,REPEATABLE
QOL_SHOP_CANDY_S,ITEM_KEY_EXP_CANDY_S,2,EXP_CANDY_XS_S,REPEATABLE
QOL_SHOP_CANDY_M,ITEM_KEY_EXP_CANDY_M,4,EXP_CANDY_M_REPEAT,REPEATABLE
QOL_SHOP_CANDY_L,ITEM_KEY_EXP_CANDY_L,8,EXP_CANDY_L_SILVER_CAP,REPEATABLE
QOL_SHOP_CANDY_XL,ITEM_KEY_EXP_CANDY_XL,12,EXP_CANDY_XL_GOLD_CAP,REPEATABLE
QOL_SHOP_DESTINY_KNOT,ITEM_KEY_DESTINY_KNOT,12,DESTINY_KNOT,REPEATABLE
QOL_SHOP_POWER_WEIGHT,ITEM_KEY_POWER_WEIGHT,8,POWER_ITEMS,REPEATABLE
QOL_SHOP_POWER_BRACER,ITEM_KEY_POWER_BRACER,8,POWER_ITEMS,REPEATABLE
QOL_SHOP_POWER_BELT,ITEM_KEY_POWER_BELT,8,POWER_ITEMS,REPEATABLE
QOL_SHOP_POWER_LENS,ITEM_KEY_POWER_LENS,8,POWER_ITEMS,REPEATABLE
QOL_SHOP_POWER_BAND,ITEM_KEY_POWER_BAND,8,POWER_ITEMS,REPEATABLE
QOL_SHOP_POWER_ANKLET,ITEM_KEY_POWER_ANKLET,8,POWER_ITEMS,REPEATABLE
QOL_SHOP_JOLLY_MINT,ITEM_KEY_JOLLY_MINT,8,ABILITY_CAPSULE_MINTS,REPEATABLE
QOL_SHOP_ABILITY_CAPSULE,ITEM_KEY_ABILITY_CAPSULE,16,ABILITY_CAPSULE_MINTS,REPEATABLE
QOL_SHOP_LONELY_MINT,ITEM_KEY_LONELY_MINT,8,ABILITY_PATCH_ALL_MINTS,REPEATABLE
QOL_SHOP_ADAMANT_MINT,ITEM_KEY_ADAMANT_MINT,8,ABILITY_PATCH_ALL_MINTS,REPEATABLE
QOL_SHOP_NAUGHTY_MINT,ITEM_KEY_NAUGHTY_MINT,8,ABILITY_PATCH_ALL_MINTS,REPEATABLE
QOL_SHOP_BRAVE_MINT,ITEM_KEY_BRAVE_MINT,8,ABILITY_PATCH_ALL_MINTS,REPEATABLE
QOL_SHOP_BOLD_MINT,ITEM_KEY_BOLD_MINT,8,ABILITY_PATCH_ALL_MINTS,REPEATABLE
QOL_SHOP_IMPISH_MINT,ITEM_KEY_IMPISH_MINT,8,ABILITY_PATCH_ALL_MINTS,REPEATABLE
QOL_SHOP_LAX_MINT,ITEM_KEY_LAX_MINT,8,ABILITY_PATCH_ALL_MINTS,REPEATABLE
QOL_SHOP_RELAXED_MINT,ITEM_KEY_RELAXED_MINT,8,ABILITY_PATCH_ALL_MINTS,REPEATABLE
QOL_SHOP_MODEST_MINT,ITEM_KEY_MODEST_MINT,8,ABILITY_PATCH_ALL_MINTS,REPEATABLE
QOL_SHOP_MILD_MINT,ITEM_KEY_MILD_MINT,8,ABILITY_PATCH_ALL_MINTS,REPEATABLE
QOL_SHOP_RASH_MINT,ITEM_KEY_RASH_MINT,8,ABILITY_PATCH_ALL_MINTS,REPEATABLE
QOL_SHOP_QUIET_MINT,ITEM_KEY_QUIET_MINT,8,ABILITY_PATCH_ALL_MINTS,REPEATABLE
QOL_SHOP_CALM_MINT,ITEM_KEY_CALM_MINT,8,ABILITY_PATCH_ALL_MINTS,REPEATABLE
QOL_SHOP_GENTLE_MINT,ITEM_KEY_GENTLE_MINT,8,ABILITY_PATCH_ALL_MINTS,REPEATABLE
QOL_SHOP_CAREFUL_MINT,ITEM_KEY_CAREFUL_MINT,8,ABILITY_PATCH_ALL_MINTS,REPEATABLE
QOL_SHOP_SASSY_MINT,ITEM_KEY_SASSY_MINT,8,ABILITY_PATCH_ALL_MINTS,REPEATABLE
QOL_SHOP_TIMID_MINT,ITEM_KEY_TIMID_MINT,8,ABILITY_PATCH_ALL_MINTS,REPEATABLE
QOL_SHOP_HASTY_MINT,ITEM_KEY_HASTY_MINT,8,ABILITY_PATCH_ALL_MINTS,REPEATABLE
QOL_SHOP_NAIVE_MINT,ITEM_KEY_NAIVE_MINT,8,ABILITY_PATCH_ALL_MINTS,REPEATABLE
QOL_SHOP_SERIOUS_MINT,ITEM_KEY_SERIOUS_MINT,8,ABILITY_PATCH_ALL_MINTS,REPEATABLE
QOL_SHOP_ABILITY_PATCH,ITEM_KEY_ABILITY_PATCH,64,ABILITY_PATCH_ALL_MINTS,LIMITED
QOL_SHOP_EV_RESET_HP,ITEM_KEY_EV_RESET_HP,8,EV_RESET_ITEMS,REPEATABLE
QOL_SHOP_EV_RESET_ATK,ITEM_KEY_EV_RESET_ATK,8,EV_RESET_ITEMS,REPEATABLE
QOL_SHOP_EV_RESET_DEF,ITEM_KEY_EV_RESET_DEF,8,EV_RESET_ITEMS,REPEATABLE
QOL_SHOP_EV_RESET_SPEED,ITEM_KEY_EV_RESET_SPEED,8,EV_RESET_ITEMS,REPEATABLE
QOL_SHOP_EV_RESET_SPATK,ITEM_KEY_EV_RESET_SPATK,8,EV_RESET_ITEMS,REPEATABLE
QOL_SHOP_EV_RESET_SPDEF,ITEM_KEY_EV_RESET_SPDEF,8,EV_RESET_ITEMS,REPEATABLE
QOL_SHOP_BOTTLE_CAP,ITEM_KEY_BOTTLE_CAP,32,EXP_CANDY_L_SILVER_CAP,LIMITED_REPEATABLE
QOL_SHOP_GOLD_BOTTLE_CAP,ITEM_KEY_GOLD_BOTTLE_CAP,128,EXP_CANDY_XL_GOLD_CAP,LIMITED_REPEATABLE
QOL_SHOP_CHOICE_BAND,ITEM_KEY_CHOICE_BAND,24,COMPETITIVE_ITEM_SUPPLY,REPEATABLE
QOL_SHOP_CHOICE_SCARF,ITEM_KEY_CHOICE_SCARF,24,COMPETITIVE_ITEM_SUPPLY,REPEATABLE
QOL_SHOP_LIFE_ORB,ITEM_KEY_LIFE_ORB,24,COMPETITIVE_ITEM_SUPPLY,REPEATABLE
QOL_SHOP_ASSAULT_VEST,ITEM_KEY_ASSAULT_VEST,24,COMPETITIVE_ITEM_SUPPLY,REPEATABLE
QOL_SHOP_BOOSTER_ENERGY,ITEM_KEY_BOOSTER_ENERGY,64,BOOST_ENERGY_UB_PARADOX,REPEATABLE
