address_space,start,end_exclusive,size,owner,symbol,version,migration,status,source_ref,notes
SAVE_BLOCK1_OFFSET,0x00000294,0x00000296,2,VEGA_ARCADE_COIN,arcade_coin_u16,legacy,KEEP,LIVE,reports/generated/save_map.csv,XOR SaveBlock2 encryption key; cap 9999
SAVE_BLOCK1_OFFSET,0x00000310,0x00000391,129,T08_DEX,national_dex_seen_1025,1,ZERO_EXTEND,LIVE,vendor/upstream/CFRU-JP/include/global.h:717,Authoritative first 1025 bits of the existing 150-byte field
SAVE_BLOCK1_OFFSET,0x000003A6,0x00000427,129,T08_DEX,national_dex_caught_1025,1,ZERO_EXTEND,LIVE,vendor/upstream/CFRU-JP/include/global.h:718,Authoritative first 1025 bits of the existing 150-byte field
SAVE_BLOCK1_OFFSET,0x00000EE0,0x00001000,288,VEGA_EVENT_FLAGS,vega_badges_hm_story_flags,legacy,KEEP,LIVE,reports/generated/save_map.csv,T08 never rewrites or aliases this bitmap
SAVE_BLOCK1_OFFSET,0x00001000,0x00001200,512,VEGA_EVENT_VARS,vega_event_vars,legacy,KEEP,LIVE,reports/generated/save_map.csv,Preserved in place
SAVE_BLOCK1_OFFSET,0x00002F18,0x00002F80,104,CFRU_ITEM_FLAGS_LEGACY,itemObtainedFlags_legacy_832,legacy,TRANSLATE,RETIRED,vendor/upstream/CFRU-JP/include/global.h:761,Translated to the 999-item T08 bitmap
SAVE_PARASITE_IMAGE_OFFSET,0x00000000,0x00000200,512,CFRU_SAVE_EXPANSION,expanded_flags,legacy,KEEP,LIVE,reports/generated/save_map.csv,Flag IDs 2304 through 6399
SAVE_PARASITE_IMAGE_OFFSET,0x00000200,0x00000600,1024,CFRU_SAVE_EXPANSION,expanded_vars,legacy,KEEP,LIVE,reports/generated/save_map.csv,Var IDs 0x5000 through 0x51FF
SAVE_PARASITE_IMAGE_OFFSET,0x000006A4,0x000006A8,4,CFRU_EXPANDED_COINS,cfru_player_coins_u32,legacy,KEEP,LIVE,reports/generated/save_map.csv,Not used as Vega arcade coin Factory BP or Mirage reward
POKEMON_ABI_OFFSET,0x0000000F,0x00000010,1,POKEMON_PERSISTENT,natureMint,1,KEEP,LIVE,vendor/upstream/CFRU-JP/include/pokemon.h:288,Present in both 80-byte BoxPokemon and 100-byte party Pokemon ABI
POKEMON_ABI_OFFSET,0x00000010,0x00000011,1,POKEMON_PERSISTENT,hyperTraining_6bit,1,KEEP,LIVE,vendor/upstream/CFRU-JP/include/pokemon.h:289,Upper two bits must remain zero
POKEMON_ABI_OFFSET,0x00000011,0x00000012,1,POKEMON_PERSISTENT,teraType,1,KEEP,LIVE,vendor/upstream/CFRU-JP/include/pokemon.h:290,Travels with the individual
SAVE_PARASITE_IMAGE_OFFSET,0x00001F18,0x00001F28,16,T08_HEADER,magic_version_size_checksum_generation,1,CREATE,LIVE,overlays/save_migration/save_migration.h,FNV-1a checksum with checksum word treated as zero
SAVE_PARASITE_IMAGE_OFFSET,0x00001F28,0x00001F29,1,T08_TRAVEL,KANTO_TRAVEL_UNLOCKED,1,DERIVE_ONCE,LIVE,overlays/save_migration/save_migration.h,Early checkpoint 0x0824 and 0x114B or Hall of Fame; monotonic
SAVE_PARASITE_IMAGE_OFFSET,0x00001F29,0x00001F2A,1,T08_TRAVEL,KANTO_VISITED,1,DEFAULT_ZERO,LIVE,overlays/save_migration/save_migration.h,Independent of travel unlock and Hall of Fame
