map_key,source_map,logical_code,classification,scope_decision,reason,script_policy,sevii
KANTO_DUNGEON_VIRIDIAN_FOREST,ViridianForest,K26,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_MT_MOON_1_F,MtMoon_1F,K27,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_MT_MOON_B1_F,MtMoon_B1F,K27,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_MT_MOON_B2_F,MtMoon_B2F,K27,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_SSANNE_EXTERIOR,SSAnne_Exterior,K29,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_SSANNE_1_F_CORRIDOR,SSAnne_1F_Corridor,K29,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_SSANNE_2_F_CORRIDOR,SSAnne_2F_Corridor,K29,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_SSANNE_3_F_CORRIDOR,SSAnne_3F_Corridor,K29,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_SSANNE_B1_F_CORRIDOR,SSAnne_B1F_Corridor,K29,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_SSANNE_DECK,SSAnne_Deck,K29,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_SSANNE_KITCHEN,SSAnne_Kitchen,K29,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_SSANNE_CAPTAINS_OFFICE,SSAnne_CaptainsOffice,K29,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_SSANNE_1_F_ROOM1,SSAnne_1F_Room1,K29,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_SSANNE_1_F_ROOM2,SSAnne_1F_Room2,K29,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_SSANNE_1_F_ROOM3,SSAnne_1F_Room3,K29,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_SSANNE_1_F_ROOM4,SSAnne_1F_Room4,K29,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_SSANNE_1_F_ROOM5,SSAnne_1F_Room5,K29,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_SSANNE_1_F_ROOM7,SSAnne_1F_Room7,K29,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_SSANNE_2_F_ROOM1,SSAnne_2F_Room1,K29,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_SSANNE_2_F_ROOM2,SSAnne_2F_Room2,K29,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_SSANNE_2_F_ROOM3,SSAnne_2F_Room3,K29,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_SSANNE_2_F_ROOM4,SSAnne_2F_Room4,K29,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_SSANNE_2_F_ROOM5,SSAnne_2F_Room5,K29,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_SSANNE_2_F_ROOM6,SSAnne_2F_Room6,K29,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_SSANNE_B1_F_ROOM1,SSAnne_B1F_Room1,K29,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
KANTO_DUNGEON_SSANNE_B1_F_ROOM2,SSAnne_B1F_Room2,K29,DUNGEON,INCLUDE,MAINLAND_REQUIRED,KANTO_NAMESPACED_STUB,false
