runtime_map_section_id,source_map_section_id,source_map_section_symbol,source_name,x,y,width,height
0,88,MAPSEC_PALLET_TOWN,PALLET TOWN,4,11,1,1
1,89,MAPSEC_VIRIDIAN_CITY,VIRIDIAN CITY,4,8,1,1
2,90,MAPSEC_PEWTER_CITY,PEWTER CITY,4,4,1,1
3,91,MAPSEC_CERULEAN_CITY,CERULEAN CITY,14,3,1,1
4,92,MAPSEC_LAVENDER_TOWN,LAVENDER TOWN,18,6,1,1
5,93,MAPSEC_VERMILION_CITY,VERMILION CITY,14,9,1,1
6,94,MAPSEC_CELADON_CITY,CELADON CITY,11,6,1,1
7,95,MAPSEC_FUCHSIA_CITY,FUCHSIA CITY,12,12,1,1
8,96,MAPSEC_CINNABAR_ISLAND,CINNABAR ISLAND,4,14,1,1
9,97,MAPSEC_INDIGO_PLATEAU,INDIGO PLATEAU,2,3,1,1
10,98,MAPSEC_SAFFRON_CITY,SAFFRON CITY,14,6,1,1
11,101,MAPSEC_ROUTE_1,ROUTE 1,4,9,1,2
12,102,MAPSEC_ROUTE_2,ROUTE 2,4,5,1,3
13,103,MAPSEC_ROUTE_3,ROUTE 3,5,4,4,1
14,104,MAPSEC_ROUTE_4,ROUTE 4,8,3,6,1
15,105,MAPSEC_ROUTE_5,ROUTE 5,14,4,1,2
16,106,MAPSEC_ROUTE_6,ROUTE 6,14,7,1,2
17,107,MAPSEC_ROUTE_7,ROUTE 7,12,6,2,1
18,108,MAPSEC_ROUTE_8,ROUTE 8,15,6,3,1
19,109,MAPSEC_ROUTE_9,ROUTE 9,15,3,3,1
20,110,MAPSEC_ROUTE_10,ROUTE 10,18,3,1,3
21,111,MAPSEC_ROUTE_11,ROUTE 11,15,9,3,1
22,112,MAPSEC_ROUTE_12,ROUTE 12,18,7,1,5
23,113,MAPSEC_ROUTE_13,ROUTE 13,16,11,2,1
24,114,MAPSEC_ROUTE_14,ROUTE 14,15,11,1,2
25,115,MAPSEC_ROUTE_15,ROUTE 15,13,12,2,1
26,116,MAPSEC_ROUTE_16,ROUTE 16,7,6,4,1
27,117,MAPSEC_ROUTE_17,ROUTE 17,7,7,1,5
28,118,MAPSEC_ROUTE_18,ROUTE 18,7,12,5,1
29,119,MAPSEC_ROUTE_19,ROUTE 19,12,13,1,2
30,120,MAPSEC_ROUTE_20,ROUTE 20,5,14,7,1
31,121,MAPSEC_ROUTE_21,ROUTE 21,4,12,1,2
32,122,MAPSEC_ROUTE_22,ROUTE 22,2,8,2,1
33,123,MAPSEC_ROUTE_23,ROUTE 23,2,4,1,4
34,124,MAPSEC_ROUTE_24,ROUTE 24,14,1,1,2
35,125,MAPSEC_ROUTE_25,ROUTE 25,15,1,2,1
36,126,MAPSEC_VIRIDIAN_FOREST,VIRIDIAN FOREST,0,0,1,1
37,127,MAPSEC_MT_MOON,MT. MOON,0,0,1,1
38,128,MAPSEC_S_S_ANNE,S.S. ANNE,0,0,1,1
39,129,MAPSEC_UNDERGROUND_PATH,UNDERGROUND PATH,0,0,1,1
40,130,MAPSEC_UNDERGROUND_PATH_2,UNDERGROUND PATH,0,0,1,1
41,131,MAPSEC_DIGLETTS_CAVE,DIGLETT'S CAVE,0,0,1,1
42,132,MAPSEC_KANTO_VICTORY_ROAD,VICTORY ROAD,0,0,1,1
43,133,MAPSEC_ROCKET_HIDEOUT,ROCKET HIDEOUT,0,0,1,1
44,134,MAPSEC_SILPH_CO,SILPH CO.,0,0,1,1
45,135,MAPSEC_POKEMON_MANSION,POKéMON MANSION,0,0,1,1
46,136,MAPSEC_KANTO_SAFARI_ZONE,SAFARI ZONE,0,0,1,1
47,137,MAPSEC_POKEMON_LEAGUE,POKéMON LEAGUE,0,0,1,1
48,138,MAPSEC_ROCK_TUNNEL,ROCK TUNNEL,0,0,1,1
49,139,MAPSEC_SEAFOAM_ISLANDS,SEAFOAM ISLANDS,0,0,1,1
50,140,MAPSEC_POKEMON_TOWER,POKéMON TOWER,0,0,1,1
51,141,MAPSEC_CERULEAN_CAVE,CERULEAN CAVE,0,0,1,1
52,142,MAPSEC_POWER_PLANT,POWER PLANT,0,0,1,1
