unlock_key,region,sequence,predecessor_keys,recommended_level_min,recommended_level_max,difficulty_policy,mandatory,warning_key,safe_route_key,allowed_gimmicks
VEGA_PRE_ENTRY,TOHOKU,0,NONE,1,67,STORY_CURVE,true,WARNING_NONE,SAFE_ROUTE_TOHOKU_HOME,NONE
KANTO_EARLY_ACCESS,KANTO,10,VEGA_PRE_ENTRY,68,78,FIXED_OPTIONAL_HIGH_LEVEL,false,WARNING_KANTO_HIGH_LEVEL,SAFE_ROUTE_KANTO_TERMINAL,NONE
KANTO_CERT_1,KANTO,20,KANTO_EARLY_ACCESS,78,80,FIXED_OPTIONAL_HIGH_LEVEL,false,WARNING_KANTO_HIGH_LEVEL,SAFE_ROUTE_KANTO_TERMINAL,MEGA
KANTO_CERT_2,KANTO,30,KANTO_CERT_1,81,83,FIXED_OPTIONAL_HIGH_LEVEL,false,WARNING_KANTO_HIGH_LEVEL,SAFE_ROUTE_KANTO_TERMINAL,MEGA
KANTO_CERT_3,KANTO,40,KANTO_CERT_2,83,85,FIXED_OPTIONAL_HIGH_LEVEL,false,WARNING_KANTO_HIGH_LEVEL,SAFE_ROUTE_KANTO_TERMINAL,MEGA
KANTO_CERT_4,KANTO,50,KANTO_CERT_3,85,87,FIXED_OPTIONAL_HIGH_LEVEL,false,WARNING_KANTO_HIGH_LEVEL,SAFE_ROUTE_KANTO_TERMINAL,MEGA
KANTO_CERT_5,KANTO,60,KANTO_CERT_4,87,89,FIXED_OPTIONAL_HIGH_LEVEL,false,WARNING_KANTO_HIGH_LEVEL,SAFE_ROUTE_KANTO_TERMINAL,MEGA
KANTO_CERT_6,KANTO,70,KANTO_CERT_5,89,91,FIXED_OPTIONAL_HIGH_LEVEL,false,WARNING_KANTO_HIGH_LEVEL,SAFE_ROUTE_KANTO_TERMINAL,MEGA
KANTO_CERT_7,KANTO,80,KANTO_CERT_6,91,93,FIXED_OPTIONAL_HIGH_LEVEL,false,WARNING_KANTO_HIGH_LEVEL,SAFE_ROUTE_KANTO_TERMINAL,MEGA
KANTO_CERT_8,KANTO,90,KANTO_CERT_7,93,95,FIXED_OPTIONAL_HIGH_LEVEL,false,WARNING_KANTO_HIGH_LEVEL,SAFE_ROUTE_KANTO_TERMINAL,MEGA
VEGA_HALL_OF_FAME,TOHOKU,100,VEGA_PRE_ENTRY,70,85,STORY_CURVE,true,WARNING_NONE,SAFE_ROUTE_TOHOKU_HOME,NONE
KANTO_LEAGUE,KANTO,110,KANTO_CERT_8|VEGA_HALL_OF_FAME,94,100,FIXED_OPTIONAL_HIGH_LEVEL,false,WARNING_KANTO_LEAGUE,SAFE_ROUTE_KANTO_TERMINAL,MEGA
KANTO_LEAGUE_CLEAR,KANTO,120,KANTO_LEAGUE,100,100,FIXED_OPTIONAL_HIGH_LEVEL,false,WARNING_KANTO_LEAGUE,SAFE_ROUTE_KANTO_TERMINAL,MEGA
