map_key,region,logical_location_key,physical_map_key,group_id,map_id,binding_policy,normal_table_key,status,notes
MAP_KEY_TOHOKU_HAKUJI_RESEARCH,TOHOKU,VEGA_NATIVE,VEGA_PHYSICAL_04_000,4,0,VEGA_NATIVE_SCRIPT_HOST,TABLE_KEY_TOHOKU_HAKUJI,ACTIVE,T13既定の研究NPC/渡航host
MAP_KEY_TOHOKU_T501,TOHOKU,T501,VEGA_PHYSICAL_03_019,3,19,VEGA_NORMAL_PLUS_RESEARCH_OVERLAY,TABLE_KEY_VEGA_03_019,ACTIVE,rooted NORMAL 12 slots; source average Lv3.3; byte-preserved fallback
MAP_KEY_TOHOKU_T502,TOHOKU,T502,VEGA_PHYSICAL_03_020,3,20,VEGA_NORMAL_PLUS_RESEARCH_OVERLAY,TABLE_KEY_VEGA_03_020,ACTIVE,rooted NORMAL 12 slots; source average Lv3.9; byte-preserved fallback
MAP_KEY_TOHOKU_T503,TOHOKU,T503,VEGA_PHYSICAL_03_021,3,21,VEGA_NORMAL_PLUS_RESEARCH_OVERLAY,TABLE_KEY_VEGA_03_021,ACTIVE,rooted NORMAL 12 slots; source average Lv6.4; byte-preserved fallback
MAP_KEY_TOHOKU_T504,TOHOKU,T504,VEGA_PHYSICAL_03_044,3,44,VEGA_NORMAL_PLUS_RESEARCH_OVERLAY,TABLE_KEY_VEGA_03_044,ACTIVE,rooted NORMAL 12 slots; source average Lv7.2; byte-preserved fallback
MAP_KEY_TOHOKU_T505,TOHOKU,T505,VEGA_PHYSICAL_03_023,3,23,VEGA_NORMAL_PLUS_RESEARCH_OVERLAY,TABLE_KEY_VEGA_03_023,ACTIVE,rooted NORMAL 12 slots; source average Lv7.6; byte-preserved fallback
MAP_KEY_TOHOKU_T506,TOHOKU,T506,VEGA_PHYSICAL_03_024,3,24,VEGA_NORMAL_PLUS_RESEARCH_OVERLAY,TABLE_KEY_VEGA_03_024,ACTIVE,rooted NORMAL 12 slots; source average Lv11.9; byte-preserved fallback
MAP_KEY_TOHOKU_T507,TOHOKU,T507,VEGA_PHYSICAL_03_025,3,25,VEGA_NORMAL_PLUS_RESEARCH_OVERLAY,TABLE_KEY_VEGA_03_025,ACTIVE,rooted NORMAL 27 slots; source average Lv16.7; byte-preserved fallback
MAP_KEY_TOHOKU_T508,TOHOKU,T508,VEGA_PHYSICAL_03_026,3,26,VEGA_NORMAL_PLUS_RESEARCH_OVERLAY,TABLE_KEY_VEGA_03_026,ACTIVE,rooted NORMAL 15 slots; source average Lv16.7; byte-preserved fallback
MAP_KEY_TOHOKU_T509,TOHOKU,T509,VEGA_PHYSICAL_03_027,3,27,VEGA_NORMAL_PLUS_RESEARCH_OVERLAY,TABLE_KEY_VEGA_03_027,ACTIVE,rooted NORMAL 15 slots; source average Lv16.3; byte-preserved fallback
MAP_KEY_TOHOKU_T510,TOHOKU,T510,VEGA_PHYSICAL_03_028,3,28,VEGA_NORMAL_PLUS_RESEARCH_OVERLAY,TABLE_KEY_VEGA_03_028,ACTIVE,rooted NORMAL 15 slots; source average Lv15.3; byte-preserved fallback
