map_key,region,logical_location_key,unlock_key,map_kind,field_pc_allowed,safe_route_key,warning_key
MAP_KEY_TOHOKU_HAKUJI_RESEARCH,TOHOKU,VEGA_NATIVE,VEGA_PRE_ENTRY,TOWN,true,SAFE_ROUTE_TOHOKU_HOME,WARNING_NONE
MAP_KEY_KANTO_ROUTE1,KANTO,K01,KANTO_EARLY_ACCESS,ROUTE,true,SAFE_ROUTE_KANTO_TERMINAL,WARNING_KANTO_HIGH_LEVEL
MAP_KEY_KANTO_K02,KANTO,K02,KANTO_EARLY_ACCESS,ROUTE,true,SAFE_ROUTE_KANTO_TERMINAL,WARNING_KANTO_HIGH_LEVEL
MAP_KEY_KANTO_K03,KANTO,K03,KANTO_EARLY_ACCESS,ROUTE,true,SAFE_ROUTE_KANTO_TERMINAL,WARNING_KANTO_HIGH_LEVEL
MAP_KEY_KANTO_K04,KANTO,K04,KANTO_EARLY_ACCESS,ROUTE,true,SAFE_ROUTE_KANTO_TERMINAL,WARNING_KANTO_HIGH_LEVEL
MAP_KEY_KANTO_K05,KANTO,K05,KANTO_EARLY_ACCESS,ROUTE,true,SAFE_ROUTE_KANTO_TERMINAL,WARNING_KANTO_HIGH_LEVEL
MAP_KEY_KANTO_K06,KANTO,K06,KANTO_EARLY_ACCESS,ROUTE,true,SAFE_ROUTE_KANTO_TERMINAL,WARNING_KANTO_HIGH_LEVEL
MAP_KEY_KANTO_K07,KANTO,K07,KANTO_CERT_1,ROUTE,true,SAFE_ROUTE_KANTO_TERMINAL,WARNING_KANTO_HIGH_LEVEL
MAP_KEY_KANTO_K08,KANTO,K08,KANTO_CERT_1,ROUTE,true,SAFE_ROUTE_KANTO_TERMINAL,WARNING_KANTO_HIGH_LEVEL
MAP_KEY_KANTO_K09,KANTO,K09,KANTO_EARLY_ACCESS,ROUTE,true,SAFE_ROUTE_KANTO_TERMINAL,WARNING_KANTO_HIGH_LEVEL
MAP_KEY_KANTO_K10,KANTO,K10,KANTO_CERT_1,ROUTE,true,SAFE_ROUTE_KANTO_TERMINAL,WARNING_KANTO_HIGH_LEVEL
MAP_KEY_KANTO_K11,KANTO,K11,KANTO_EARLY_ACCESS,ROUTE,true,SAFE_ROUTE_KANTO_TERMINAL,WARNING_KANTO_HIGH_LEVEL
MAP_KEY_KANTO_K12,KANTO,K12,KANTO_CERT_2,ROUTE,true,SAFE_ROUTE_KANTO_TERMINAL,WARNING_KANTO_HIGH_LEVEL
MAP_KEY_KANTO_K13,KANTO,K13,KANTO_CERT_2,ROUTE,true,SAFE_ROUTE_KANTO_TERMINAL,WARNING_KANTO_HIGH_LEVEL
MAP_KEY_KANTO_K14,KANTO,K14,KANTO_CERT_3,ROUTE,true,SAFE_ROUTE_KANTO_TERMINAL,WARNING_KANTO_HIGH_LEVEL
MAP_KEY_KANTO_K15,KANTO,K15,KANTO_CERT_3,ROUTE,true,SAFE_ROUTE_KANTO_TERMINAL,WARNING_KANTO_HIGH_LEVEL
MAP_KEY_KANTO_K16,KANTO,K16,KANTO_CERT_2,ROUTE,true,SAFE_ROUTE_KANTO_TERMINAL,WARNING_KANTO_HIGH_LEVEL
MAP_KEY_KANTO_K17,KANTO,K17,KANTO_CERT_2,ROUTE,true,SAFE_ROUTE_KANTO_TERMINAL,WARNING_KANTO_HIGH_LEVEL
