table_key,group_id,map_id,profile,slot_count,source_address,source_sha256,fallback_policy,status,notes
TABLE_KEY_VEGA_02_027_LAND,2,27,LAND,12,0x838e21c,14252b6fdeb777e0e7c48c00d8e34eab233ce7200c622e74f69d8214411d6296,BYTE_EQUIVALENT_NORMAL,PRESERVED,T16 overlay disabled時は既存tableをそのまま選択
TABLE_KEY_VEGA_02_028_LAND,2,28,LAND,12,0x838e254,97b1d2f0e6c7b8f8e55894be626c656dd1c2b93b7f0556f8f19abc6b4699ebdc,BYTE_EQUIVALENT_NORMAL,PRESERVED,T16 overlay disabled時は既存tableをそのまま選択
TABLE_KEY_VEGA_02_029_LAND,2,29,LAND,12,0x838e28c,2d3fdc0d090e435b06274f2abe5b839426d7ac92766ac861e9d005740c7f02f5,BYTE_EQUIVALENT_NORMAL,PRESERVED,T16 overlay disabled時は既存tableをそのまま選択
TABLE_KEY_VEGA_02_030_LAND,2,30,LAND,12,0x838e2c4,5606c8be30eba32c6d2f8a42893296cdea298e4480856cb1bacd3b3370d447c6,BYTE_EQUIVALENT_NORMAL,PRESERVED,T16 overlay disabled時は既存tableをそのまま選択
TABLE_KEY_VEGA_02_031_LAND,2,31,LAND,12,0x838e2fc,5c52102b434bf3d43ba9893e61db52dd12bca65c8194be0555e1140bc8fdfdd0,BYTE_EQUIVALENT_NORMAL,PRESERVED,T16 overlay disabled時は既存tableをそのまま選択
TABLE_KEY_VEGA_02_032_LAND,2,32,LAND,12,0x838e334,c7ca4474d91b570fafb78849a091c7a758fb012be55a08a6883b28d0a8967f81,BYTE_EQUIVALENT_NORMAL,PRESERVED,T16 overlay disabled時は既存tableをそのまま選択
TABLE_KEY_VEGA_02_033_LAND,2,33,LAND,12,0x838e36c,5a791512d75e3e51253028c8213fa6157cc1b46ccf6813a1e78a7780eb17e997,BYTE_EQUIVALENT_NORMAL,PRESERVED,T16 overlay disabled時は既存tableをそのまま選択
TABLE_KEY_VEGA_01_000_LAND,1,0,LAND,12,0x838e3a4,3359b5d7e7ed9d1e4654f5867b9c774f5bb701a1b2136ac99d2ae4806f30eade,BYTE_EQUIVALENT_NORMAL,PRESERVED,T16 overlay disabled時は既存tableをそのまま選択
TABLE_KEY_VEGA_01_001_LAND,1,1,LAND,12,0x838e3dc,436d22f6f0e5e0ffca830b42dfbe70190c29e148cd8154013e34a1c92834854d,BYTE_EQUIVALENT_NORMAL,PRESERVED,T16 overlay disabled時は既存tableをそのまま選択
TABLE_KEY_VEGA_01_002_LAND,1,2,LAND,12,0x838e414,a423795dee72d967aa8371f81068bed2b058fbc5d36ca34517422a328fc5524b,BYTE_EQUIVALENT_NORMAL,PRESERVED,T16 overlay disabled時は既存tableをそのまま選択
TABLE_KEY_VEGA_01_003_LAND,1,3,LAND,12,0x838e44c,43f88fe4e410b2ba530d8919b900bfee12ab9dba0b84623e7f2a7a203cfb4ee5,BYTE_EQUIVALENT_NORMAL,PRESERVED,T16 overlay disabled時は既存tableをそのまま選択
TABLE_KEY_VEGA_01_004_LAND,1,4,LAND,12,0x838fff0,f13f77744bcd1e6af5548b86753d5873c5263119612e6f142601a31e2261ad1e,BYTE_EQUIVALENT_NORMAL,PRESERVED,T16 overlay disabled時は既存tableをそのまま選択
TABLE_KEY_VEGA_01_037_LAND,1,37,LAND,12,0x838e4d0,2857e565357e102dc63333e05a22f45a910c2b8ad7c40bd757775ebbf24342a4,BYTE_EQUIVALENT_NORMAL,PRESERVED,T16 overlay disabled時は既存tableをそのまま選択
TABLE_KEY_VEGA_01_037_ROCK,1,37,ROCK,5,0x838e8f4,6339c79f0abe57ee02947a75e7c932188525c107a787cdc707e54f459d95a457,BYTE_EQUIVALENT_NORMAL,PRESERVED,T16 overlay disabled時は既存tableをそのまま選択
TABLE_KEY_VEGA_01_039_LAND,1,39,LAND,12,0x838e508,de89c5c72dabe585e30465bfe0a7df3c1b1064be7af3f8a69888dfc6fb685c39,BYTE_EQUIVALENT_NORMAL,PRESERVED,T16 overlay disabled時は既存tableをそのまま選択
TABLE_KEY_VEGA_01_040_LAND,1,40,LAND,12,0x838e540,231beb8d49610621641f990e8af5f7d513ab6de529440ed14741001fc19b4888,BYTE_EQUIVALENT_NORMAL,PRESERVED,T16 overlay disabled時は既存tableをそのまま選択
TABLE_KEY_VEGA_01_041_LAND,1,41,LAND,12,0x838e578,c341cd75086979f39d425b5e74d7365c8014625c7c4b5e2bc871994437265b8a,BYTE_EQUIVALENT_NORMAL,PRESERVED,T16 overlay disabled時は既存tableをそのまま選択
TABLE_KEY_VEGA_01_059_LAND,1,59,LAND,12,0x838e5b0,a0ad84796bfdd5926caf467f26f859e41577c0ec5fc786408b359575a582c02a,BYTE_EQUIVALENT_NORMAL,PRESERVED,T16 overlay disabled時は既存tableをそのまま選択
TABLE_KEY_VEGA_01_060_LAND,1,60,LAND,12,0x838e5e8,e9915f1cebc28926d4e211917a2bd1a3f6bfe8d24b6e1e4da2b5950ba2364822,BYTE_EQUIVALENT_NORMAL,PRESERVED,T16 overlay disabled時は既存tableをそのまま選択
TABLE_KEY_VEGA_01_061_LAND,1,61,LAND,12,0x838e620,12e162fe91153496cf2124adb4419c7a9b631323aa07990eac005d3ceeea0e37,BYTE_EQUIVALENT_NORMAL,PRESERVED,T16 overlay disabled時は既存tableをそのまま選択
TABLE_KEY_VEGA_01_062_LAND,1,62,LAND,12,0x838e658,00b04053641fa0bb5ce349a9e85806f1b3d51b8ad2b332ae5153fdf5de5c32ca,BYTE_EQUIVALENT_NORMAL,PRESERVED,T16 overlay disabled時は既存tableをそのまま選択
TABLE_KEY_VEGA_01_062_ROCK,1,62,ROCK,5,0x838e9e8,d56a2f8921b8a05d6878d34216bad433ee77c77a7bcd1a5c76837924179976e0,BYTE_EQUIVALENT_NORMAL,PRESERVED,T16 overlay disabled時は既存tableをそのまま選択
TABLE_KEY_VEGA_01_063_LAND,1,63,LAND,12,0x838e690,a957daee74ea5f2cdd1b2dd5b202cb6278869af1857377635fc7f10a078b0a4e,BYTE_EQUIVALENT_NORMAL,PRESERVED,T16 overlay disabled時は既存tableをそのまま選択
TABLE_KEY_VEGA_01_064_LAND,1,64,LAND,12,0x838e714,f51171a5465b203eb5ac4136af54c5b5e674e26ee6e583783fbbd6bf3a53a7c6,BYTE_EQUIVALENT_NORMAL,PRESERVED,T16 overlay disabled時は既存tableをそのまま選択
TABLE_KEY_VEGA_01_064_WATER,1,64,WATER,5,0x838e74c,54eb9d8941ee8515dc70258fbbbc4336654374a04bf98ec1154cc0bd21e522fb,BYTE_EQUIVALENT_NORMAL,PRESERVED,T16 overlay disabled時は既存tableをそのまま選択
TABLE_KEY_VEGA_01_064_FISHING,1,64,FISHING,10,0x838e768,feff6ff56771a97a670f00f25f581899617671e5898e9b770cd84deaea71ca53,BYTE_EQUIVALENT_NORMAL,PRESERVED,T16 overlay disabled時は既存tableをそのまま選択
