shared_capture_key,national_no,species_name,primary_region,capture_repeatability,reward_repeatability,claim_key
SHARED_CAPTURE_KEY_NATIONAL_0144,144,フリーザー,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0144
SHARED_CAPTURE_KEY_NATIONAL_0145,145,サンダー,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0145
SHARED_CAPTURE_KEY_NATIONAL_0146,146,ファイヤー,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0146
SHARED_CAPTURE_KEY_NATIONAL_0150,150,ミュウツー,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0150
SHARED_CAPTURE_KEY_NATIONAL_0151,151,ミュウ,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0151
SHARED_CAPTURE_KEY_NATIONAL_0243,243,ライコウ,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0243
SHARED_CAPTURE_KEY_NATIONAL_0244,244,エンテイ,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0244
SHARED_CAPTURE_KEY_NATIONAL_0245,245,スイクン,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0245
SHARED_CAPTURE_KEY_NATIONAL_0249,249,ルギア,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0249
SHARED_CAPTURE_KEY_NATIONAL_0250,250,ホウオウ,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0250
SHARED_CAPTURE_KEY_NATIONAL_0251,251,セレビィ,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0251
SHARED_CAPTURE_KEY_NATIONAL_0377,377,レジロック,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0377
SHARED_CAPTURE_KEY_NATIONAL_0378,378,レジアイス,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0378
SHARED_CAPTURE_KEY_NATIONAL_0379,379,レジスチル,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0379
SHARED_CAPTURE_KEY_NATIONAL_0380,380,ラティアス,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0380
SHARED_CAPTURE_KEY_NATIONAL_0381,381,ラティオス,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0381
SHARED_CAPTURE_KEY_NATIONAL_0382,382,カイオーガ,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0382
SHARED_CAPTURE_KEY_NATIONAL_0383,383,グラードン,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0383
SHARED_CAPTURE_KEY_NATIONAL_0384,384,レックウザ,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0384
SHARED_CAPTURE_KEY_NATIONAL_0385,385,ジラーチ,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0385
SHARED_CAPTURE_KEY_NATIONAL_0386,386,デオキシス,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0386
SHARED_CAPTURE_KEY_NATIONAL_0480,480,ユクシー,KANTO,ONCE,ONCE,CLAIM_KEY_NATIONAL_0480
SHARED_CAPTURE_KEY_NATIONAL_0481,481,エムリット,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0481
SHARED_CAPTURE_KEY_NATIONAL_0482,482,アグノム,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0482
SHARED_CAPTURE_KEY_NATIONAL_0483,483,ディアルガ,TOHOKU,ONCE,ONCE,CLAIM_KEY_NATIONAL_0483
