family_key,root_national_no,root_name,tohoku_location_key,kanto_location_key,coverage_status
FAMILY_KEY_0001,1,フシギダネ,VEGA_NATIVE,K33,DUAL_REGION
FAMILY_KEY_0002,4,ヒトカゲ,VEGA_NATIVE,K03,DUAL_REGION
FAMILY_KEY_0003,7,ゼニガメ,VEGA_NATIVE,K15,DUAL_REGION
FAMILY_KEY_0004,10,キャタピー,T502,K26,DUAL_REGION
FAMILY_KEY_0005,13,ビードル,T504,K26,DUAL_REGION
FAMILY_KEY_0006,16,ポッポ,T506,K01,DUAL_REGION
FAMILY_KEY_0007,19,コラッタ,T506,K01,DUAL_REGION
FAMILY_KEY_0008,21,オニスズメ,T502,K03,DUAL_REGION
FAMILY_KEY_0009,23,アーボ,VEGA_NATIVE,K11,DUAL_REGION
FAMILY_KEY_0011,27,サンド,VEGA_NATIVE,K04,DUAL_REGION
FAMILY_KEY_0012,29,ニドラン♀,VEGA_NATIVE,K03,DUAL_REGION
FAMILY_KEY_0013,32,ニドラン♂,VEGA_NATIVE,K03,DUAL_REGION
FAMILY_KEY_0015,37,ロコン,T521,K07,DUAL_REGION
FAMILY_KEY_0017,41,ズバット,T505,K27,DUAL_REGION
FAMILY_KEY_0018,43,ナゾノクサ,T504,K05,DUAL_REGION
FAMILY_KEY_0019,46,パラス,T036,K27,DUAL_REGION
FAMILY_KEY_0020,48,コンパン,T504,K14,DUAL_REGION
FAMILY_KEY_0021,50,ディグダ,VEGA_NATIVE,K28,DUAL_REGION
FAMILY_KEY_0022,52,ニャース,T506,K05,DUAL_REGION
FAMILY_KEY_0023,54,コダック,T512,K25,DUAL_REGION
FAMILY_KEY_0024,56,マンキー,T032,K22,DUAL_REGION
FAMILY_KEY_0025,58,ガーディ,T028,K07,DUAL_REGION
FAMILY_KEY_0026,60,ニョロモ,T512,K25,DUAL_REGION
FAMILY_KEY_0027,63,ケーシィ,T034,K24,DUAL_REGION
FAMILY_KEY_0028,66,ワンリキー,T514,K30,DUAL_REGION
FAMILY_KEY_0029,69,マダツボミ,T504,K05,DUAL_REGION
FAMILY_KEY_0030,72,メノクラゲ,VEGA_NATIVE,K19,DUAL_REGION
FAMILY_KEY_0031,74,イシツブテ,VEGA_NATIVE,K27,DUAL_REGION
FAMILY_KEY_0032,77,ポニータ,T028,K17,DUAL_REGION
FAMILY_KEY_0033,79,ヤドン,T508,K38,DUAL_REGION
FAMILY_KEY_0034,81,コイル,VEGA_NATIVE,K40,DUAL_REGION
FAMILY_KEY_0035,83,カモネギ,T522,K12,DUAL_REGION
FAMILY_KEY_0036,84,ドードー,T501,K17,DUAL_REGION
FAMILY_KEY_0037,86,パウワウ,T513,K38,DUAL_REGION
FAMILY_KEY_0038,88,ベトベター,T512,K39,DUAL_REGION
FAMILY_KEY_0039,90,シェルダー,VEGA_NATIVE,K38,DUAL_REGION
FAMILY_KEY_0040,92,ゴース,VEGA_NATIVE,K31,DUAL_REGION
FAMILY_KEY_0041,95,イワーク,T028,K30,DUAL_REGION
FAMILY_KEY_0042,96,スリープ,T034,K11,DUAL_REGION
FAMILY_KEY_0043,98,クラブ,VEGA_NATIVE,K12,DUAL_REGION
FAMILY_KEY_0044,100,ビリリダマ,VEGA_NATIVE,K40,DUAL_REGION
