feature_key,unlock_key,source_boundary,save_state_key,storage_policy,presentation_profile,repeatability,release_enabled
TEXT_SPEED_INSTANT,VEGA_PRE_ENTRY,GAME_START,QOL_STATE_TEXT_SPEED,UNIQUE,EXISTING_OPTIONS,REPEATABLE,true
FAST_MOVEMENT,VEGA_PRE_ENTRY,GAME_START,QOL_STATE_MOVEMENT,UNIQUE,EXISTING_OPTIONS,REPEATABLE,true
IV_EV_JUDGE,VEGA_PRE_ENTRY,GAME_START,QOL_STATE_JUDGE,UNIQUE,SUMMARY_PC_PANE,REPEATABLE,true
PC_SEARCH_MULTISELECT,VEGA_PRE_ENTRY,GAME_START,QOL_STATE_PC_ADVANCED,UNIQUE,EXISTING_PC,REPEATABLE,true
EXP_SHARE,VEGA_BADGE_1,VEGA_BADGE_1,QOL_STATE_EXP_SHARE,UNIQUE,SIMPLE_EVENT,ONCE,true
EVERSTONE_SUPPLY,VEGA_BADGE_1,VEGA_BADGE_1,NONE,DERIVED_ONLY,SIMPLE_EVENT,REPEATABLE,true
EGG_PC_TRANSFER,VEGA_BADGE_1,VEGA_BADGE_1,QOL_STATE_EGG_TRANSFER,UNIQUE,SIMPLE_EVENT,ONCE,true
EGG_QUEUE_5,VEGA_DAYCARE_FIRST,DAYCARE_FIRST_USE,QOL_STATE_EGG_QUEUE,UNIQUE,SIMPLE_EVENT,ONCE,true
FREE_MOVE_RELEARN,VEGA_BADGE_1,VEGA_BADGE_1,QOL_STATE_MOVE_RELEARN,UNIQUE,SIMPLE_EVENT,ONCE,true
PC_MOVE_EDIT,VEGA_BADGE_2,VEGA_BADGE_2,QOL_STATE_PC_MOVE_EDIT,UNIQUE,SIMPLE_EVENT,ONCE,true
EXP_CANDY_XS_S,VEGA_DH_CLEAR,VEGA_DH_CLEAR,NONE,DERIVED_ONLY,SIMPLE_EVENT,REPEATABLE,true
EXP_CANDY_M_ONCE,VEGA_DH_CLEAR,VEGA_DH_CLEAR,QOL_STATE_CANDY_M_ONCE,UNIQUE,SIMPLE_EVENT,ONCE,true
ABILITY_CAPSULE_MINTS,VEGA_DH_CLEAR,VEGA_DH_CLEAR,NONE,DERIVED_ONLY,SIMPLE_EVENT,REPEATABLE,true
EV_RESET_ALL,VEGA_DH_CLEAR,VEGA_DH_CLEAR,NONE,DERIVED_ONLY,SIMPLE_EVENT,REPEATABLE,true
FIELD_PC,VEGA_DH_CLEAR,VEGA_DH_CLEAR,QOL_STATE_FIELD_PC,UNIQUE,SIMPLE_EVENT,ONCE,true
PC_HELD_ITEM_BULK,VEGA_DH_CLEAR,VEGA_DH_CLEAR,QOL_STATE_PC_ITEM_BULK,UNIQUE,SIMPLE_EVENT,ONCE,true
AUTO_BATTLE,VEGA_DH_CLEAR,VEGA_DH_CLEAR,QOL_STATE_AUTO_BATTLE,UNIQUE,SIMPLE_EVENT,ONCE,true
DESTINY_KNOT,KANTO_DAYCARE_QUEST,KANTO_DAYCARE_QUEST,QOL_STATE_DAYCARE_QUEST,UNIQUE,SIMPLE_EVENT,ONCE,true
EGG_BASKET,KANTO_DAYCARE_QUEST,KANTO_DAYCARE_QUEST,QOL_STATE_EGG_BASKET,UNIQUE,SIMPLE_EVENT,ONCE,true
OVAL_CHARM,KANTO_DAYCARE_QUEST,KANTO_DAYCARE_QUEST_OR_100_CAPTURE,QOL_STATE_OVAL_CHARM,UNIQUE,SIMPLE_EVENT,ONCE,true
POWER_ITEMS,VEGA_BADGE_5,VEGA_BADGE_5,NONE,DERIVED_ONLY,SIMPLE_EVENT,REPEATABLE,true
EXP_CANDY_M_REPEAT,VEGA_BADGE_6,VEGA_BADGE_6,NONE,DERIVED_ONLY,SIMPLE_EVENT,REPEATABLE,true
EXP_CANDY_L_SILVER_CAP,VEGA_BADGE_7,VEGA_BADGE_7,NONE,DERIVED_ONLY,SIMPLE_EVENT,REPEATABLE,true
ABILITY_PATCH_ALL_MINTS,VEGA_BADGE_8,VEGA_BADGE_8,NONE,DERIVED_ONLY,SIMPLE_EVENT,LIMITED,true
EV_RESET_ITEMS,VEGA_BADGE_8,VEGA_BADGE_8,NONE,DERIVED_ONLY,SIMPLE_EVENT,REPEATABLE,true
STANDARD_TRAINING_SHOP,VEGA_BADGE_8,VEGA_BADGE_8,NONE,DERIVED_ONLY,SIMPLE_EVENT,REPEATABLE,true
EXP_CANDY_XL_ONCE,VEGA_HALL_OF_FAME,VEGA_HALL_OF_FAME,QOL_STATE_XL_ONCE,UNIQUE,SIMPLE_EVENT,ONCE,true
RESEARCH_PROFILE,RESEARCH_PROFILE_UNLOCKED,VEGA_HALL_OF_FAME,QOL_STATE_RESEARCH_PROFILE,UNIQUE,SIMPLE_EVENT,ONCE,true
TM_REUSE_LICENSE,TM_LICENSE_UNLOCKED,VEGA_HALL_OF_FAME,QOL_STATE_TM_LICENSE,UNIQUE,SIMPLE_EVENT,ONCE,true
HIDDEN_ABILITY_DEXNAV,HIDDEN_ABILITY_DEXNAV_UNLOCKED,VEGA_HALL_OF_FAME,QOL_STATE_HA_DEXNAV,UNIQUE,SIMPLE_EVENT,ONCE,true
