supply_key,item_key,service_key,unlock_key,supply_tier,repeatability,quantity,field_pc_allowed
SUPPLY_KEY_EVERSTONE,ITEM_KEY_EVERSTONE,NONE,VEGA_PRE_ENTRY,BADGE1,ONCE,1,false
SUPPLY_KEY_EXP_CANDY_XS,ITEM_KEY_EXP_CANDY_XS,NONE,KANTO_EARLY_ACCESS,DH_AND_FIELD,REPEATABLE,1,true
SUPPLY_KEY_EXP_CANDY_S,ITEM_KEY_EXP_CANDY_S,NONE,KANTO_EARLY_ACCESS,DH_AND_FIELD,REPEATABLE,1,true
SUPPLY_KEY_EXP_CANDY_M_ONCE,ITEM_KEY_EXP_CANDY_M,NONE,KANTO_EARLY_ACCESS,DH_REWARD,ONCE,1,true
SUPPLY_KEY_DESTINY_KNOT,ITEM_KEY_DESTINY_KNOT,NONE,KANTO_CERT_1,KANTO_DAYCARE_QUEST,ONCE,1,true
SUPPLY_KEY_POWER_BRACER,ITEM_KEY_POWER_BRACER,NONE,KANTO_CERT_5,BADGE5,ONCE,1,false
SUPPLY_KEY_EXP_CANDY_M_REPEAT,ITEM_KEY_EXP_CANDY_M,NONE,KANTO_CERT_6,BADGE6,REPEATABLE,1,true
SUPPLY_KEY_EXP_CANDY_L,ITEM_KEY_EXP_CANDY_L,NONE,KANTO_CERT_7,BADGE7,REPEATABLE,1,false
SUPPLY_KEY_BOTTLE_CAP,ITEM_KEY_BOTTLE_CAP,NONE,KANTO_CERT_7,BADGE7,LIMITED_REPEATABLE,1,false
SUPPLY_KEY_ABILITY_PATCH,ITEM_KEY_ABILITY_PATCH,NONE,KANTO_CERT_8,BADGE8,LIMITED,1,false
SUPPLY_KEY_EXP_CANDY_XL_ONCE,ITEM_KEY_EXP_CANDY_XL,NONE,VEGA_HALL_OF_FAME,HALL_OF_FAME,ONCE,1,false
SUPPLY_KEY_EXP_CANDY_XL_REPEAT,ITEM_KEY_EXP_CANDY_XL,NONE,KANTO_LEAGUE_CLEAR,KANTO_LEAGUE,REPEATABLE,1,false
SUPPLY_KEY_GOLD_BOTTLE_CAP,ITEM_KEY_GOLD_BOTTLE_CAP,NONE,KANTO_LEAGUE_CLEAR,KANTO_LEAGUE,LIMITED_REPEATABLE,1,false
SUPPLY_KEY_EV_RESET_ALL,ITEM_KEY_NONE,SERVICE_KEY_EV_RESET_ALL,KANTO_EARLY_ACCESS,DH_SERVICE,REPEATABLE,1,true
