constraint_key,region,category,level_min,level_max,max_batch_adjustment,ai_profile_key,mechanic_policy,composition_policy,global_scaling,status,notes
TRAINER_CONSTRAINT_AYAME,TOHOKU,INITIAL_STORY,15,15,3,AI_SEMI_SMART,NONE,ACE_BASELINE,false,ACTIVE,stage09既存partyを保護しmap/batch単位の根拠あり+0..3のみ
TRAINER_CONSTRAINT_MIRU,TOHOKU,INITIAL_STORY,24,24,3,AI_SEMI_SMART,NONE,ACE_BASELINE,false,ACTIVE,stage09既存partyを保護しmap/batch単位の根拠あり+0..3のみ
TRAINER_CONSTRAINT_SHIOU,TOHOKU,INITIAL_STORY,30,31,3,AI_SEMI_SMART,NONE,ONE_OF_FOUR_GRASS_OR_ELECTRIC_COUNTER,false,ACTIVE,stage09既存partyを保護しmap/batch単位の根拠あり+0..3のみ
TRAINER_CONSTRAINT_HISUI,TOHOKU,INITIAL_STORY,39,40,3,AI_SEMI_SMART,NONE,ACE_BASELINE,false,ACTIVE,stage09既存partyを保護しmap/batch単位の根拠あり+0..3のみ
TRAINER_CONSTRAINT_OUNI,TOHOKU,INITIAL_STORY,46,47,3,AI_SEMI_SMART,NONE,ORIGINAL_FOUR_DOUBLE_SUPPORT_MOVES,false,ACTIVE,stage09既存partyを保護しmap/batch単位の根拠あり+0..3のみ
TRAINER_CONSTRAINT_KARASUBA,TOHOKU,INITIAL_STORY,52,53,3,AI_SEMI_SMART,NONE,ACE_BASELINE,false,ACTIVE,stage09既存partyを保護しmap/batch単位の根拠あり+0..3のみ
TRAINER_CONSTRAINT_RAPISURA,TOHOKU,INITIAL_STORY,57,58,3,AI_SEMI_SMART,NONE,ACE_BASELINE,false,ACTIVE,stage09既存partyを保護しmap/batch単位の根拠あり+0..3のみ
TRAINER_CONSTRAINT_NEW_ISLAND,TOHOKU,INITIAL_STORY,64,65,3,AI_FULL_SMART,NONE,VEGA_SYMBOLIC_FIVE_PLUS_ONE_NEW,false,ACTIVE,stage09既存partyを保護しmap/batch単位の根拠あり+0..3のみ
TRAINER_CONSTRAINT_LEAGUE_INITIAL,TOHOKU,INITIAL_STORY,69,78,3,AI_FULL_SMART,NONE,VEGA_3_TO_4_NEW_1_TO_2_GROUND_DETERRENT_1_TO_2,false,ACTIVE,stage09既存partyを保護しmap/batch単位の根拠あり+0..3のみ
TRAINER_CONSTRAINT_GINNO,TOHOKU,INITIAL_STORY,79,82,3,AI_FULL_SMART,MEGA,ACE_BASELINE,false,ACTIVE,stage09既存partyを保護しmap/batch単位の根拠あり+0..3のみ
TRAINER_CONSTRAINT_REMATCH_I,TOHOKU,REMATCH,58,84,0,AI_SEMI_SMART,NONE,REGISTERED_MAJOR_ONLY,false,ACTIVE,T15 exact boundary
TRAINER_CONSTRAINT_REMATCH_II,TOHOKU,REMATCH,72,94,0,AI_FULL_SMART,MEGA,REGISTERED_MAJOR_ONLY,false,ACTIVE,T15 exact boundary
TRAINER_CONSTRAINT_REMATCH_III,TOHOKU,REMATCH,88,100,0,AI_FULL_SMART,ONE_OF_MEGA_Z_TERA,REGISTERED_MAJOR_ONLY,false,ACTIVE,T15 exact boundary
TRAINER_CONSTRAINT_SPHERE_UPPER,TOHOKU,SPHERE,72,84,0,AI_FULL_SMART,NONE,SOME_MODERN_HIGH_BST,false,ACTIVE,既存部屋/warp/legend flag保護
TRAINER_CONSTRAINT_SPHERE_DEEP,TOHOKU,SPHERE,82,92,0,AI_FULL_SMART,ONE_ALLOWED_REMATCH_ONLY,PARADOX_UB_SIMPLE_BRANCH,false,ACTIVE,Kanto League後のみ
TRAINER_CONSTRAINT_MIRAGE,TOHOKU,MIRAGE,100,100,0,AI_FULL_SMART,ROUND_POLICY,SEVEN_BATTLES_TIMES_FOUR_ROUNDS,false,ACTIVE,Factory state/currencyと分離
