reading_id,original_sha256,original_text,normalized_text,encoded_hex,encoded_size,page_count,max_line_glyphs,status
READING_0001,3c0450eb4bc5f19c89225f0ede9a6792a08aca1505e27ca8c0400a8756422df2,かわいいだけで選んでないよ。動きまで\n見てね。,かわいいだけでえらんでないよ。うごき\nまで\pみてね。,062c020241094404272e44150226ad033b07fe1f44fb201318adff,27,2,18,ADOPTED_CURRENT_1BYTE_FONT
READING_0002,2b89aa1be2337b992e1c195214667fa5b567260d5e07fdb45c5b17eb9e55dcb9,こちらの二つ目の勝ち筋まで消されたか\n。,こちらのふたつめのかちすじまでけされ\nたか\p。,0a1127191c1012221906110d3d1f44090b2afe1006fbadff,24,2,18,ADOPTED_CURRENT_1BYTE_FONT
READING_0003,ac7ca85781c37b011f2d20eb3be429a88d5b9c0785ebd0937575d406839e08bb,この辺の虫たちは、ただ素早いだけじゃ\nないよ。,このへんのむしたちは\nただすばやいだけじゃ\pないよ。,0a191d2e19210c10111afe10410d46240241093d34fb150226adff,27,2,10,ADOPTED_CURRENT_1BYTE_FONT
READING_0004,5025e3f8640483bc0502171f04d804f42534ccaaf1bea0f71d9ac9d54139b30d,"アオガラスにひこうの
Zパワーを集める！",あおがらすにひこうの\nZぱわーをあつめる！,010537270d161b0a0319fed44b2cae2d01122229abff,22,1,10,ADOPTED_CURRENT_1BYTE_FONT
READING_0005,d38225dd0f5ef29f3ecc62f81ad00d91a4ad86aff9d0abaa1d80de6211a11a26,"エアームドをはがねの
テラスタルで輝かせる！",えあーむどをはがねの\nてらすたるでかがやかせる！,0401ae21452d1a371819fe13270d102944063724060e29abff,25,1,13,ADOPTED_CURRENT_1BYTE_FONT
READING_0006,d7e8866572c01d23eccaf717166f472c862e63112c0a43e98470ecc8b2be3dab,"エルフーンにフェアリーの
Zパワーを集める！",えるふーんにふぇありーの\nZぱわーをあつめる！,04291cae2e161c320128ae19fed44b2cae2d01122229abff,24,1,12,ADOPTED_CURRENT_1BYTE_FONT
READING_0007,49c9d4937a43cb7600112e49ea6288d6ea57657de57c9ad8013c8c2d8f0cc69a,"エルフーンをフェアリーの
テラスタルで輝かせる！",えるふーんをふぇありーの\nてらすたるでかがやかせる！,04291cae2e2d1c320128ae19fe13270d102944063724060e29abff,27,1,13,ADOPTED_CURRENT_1BYTE_FONT
READING_0008,5e71500469ee9f503a0c87159737e3b38f58871e9e7abb61689e93678a8eb273,"オコリザルにかくとうの
Zパワーを集める！",おこりざるにかくとうの\nZぱわーをあつめる！,050a283c29160608140319fed44b2cae2d01122229abff,23,1,11,ADOPTED_CURRENT_1BYTE_FONT
READING_0009,1a9f969a059a5a8e32b4488284788f89fe7a5cfb18f8be8f39679e1048c020ed,"オリーヴァをくさの
テラスタルで輝かせる！",おりーばをくさの\nてらすたるでかがやかせる！,0528ae462d080b19fe13270d102944063724060e29abff,23,1,13,ADOPTED_CURRENT_1BYTE_FONT
READING_0010,5a7b2fff07080aba763076aff0c884f870ce0ad2c4227be8e53b9d723673f959,"カイデンにでんきの
Zパワーを集める！",かいでんにでんきの\nZぱわーをあつめる！,0602442e16442e0719fed44b2cae2d01122229abff,21,1,10,ADOPTED_CURRENT_1BYTE_FONT
