consumer_key,consumer_index,encounter_key,runtime_trainer_id,original_trainer_id,original_owner,normalization_reason,original_command,original_address,battle_format,battle_type,unlock_expression,defeat_state_key,party_key,dialogue_set_key,reward_key,gimmick_key
ARCHIVE_REMATCH_0001,1,ENC_TOHOKU_REF_0001,1383,1024,ENC_TOHOKU_REF_0000,SHARED_COMMAND_EXTRA_CALLER,trainerbattle_shared_command,0x0842A553,SINGLE,TRAINER_BATTLE_SINGLE,ARCHIVE_REMATCH_AVAILABLE && ARCHIVE_ENTRY_0001_UNLOCKED && (PRESERVE_EXISTING_SCRIPT_CONDITION),FLAG_ARCHIVE_REMATCH_0001_DEFEATED,PARTY_TOHOKU_REF_0001,DIALOGUE_TOHOKU_REF_0001,REWARD_TOHOKU_REF_0001,NONE_CURRENT_ABI
ARCHIVE_REMATCH_0002,2,ENC_TOHOKU_REF_0003,1025,1025,ENC_TOHOKU_REF_0002,SHARED_COMMAND_EXTRA_CALLER,trainerbattle_shared_command,0x08683417,SINGLE,TRAINER_BATTLE_SINGLE,ARCHIVE_REMATCH_AVAILABLE && ARCHIVE_ENTRY_0002_UNLOCKED && (PRESERVE_EXISTING_SCRIPT_CONDITION),FLAG_ARCHIVE_REMATCH_0002_DEFEATED,PARTY_TOHOKU_REF_0003,DIALOGUE_TOHOKU_REF_0003,REWARD_TOHOKU_REF_0003,NONE_CURRENT_ABI
ARCHIVE_REMATCH_0003,3,ENC_TOHOKU_REF_0071,1059,1059,ENC_TOHOKU_REF_0070,SHARED_COMMAND_EXTRA_CALLER,trainerbattle_shared_command,0x086BE464,SINGLE,TRAINER_BATTLE_SINGLE,ARCHIVE_REMATCH_AVAILABLE && ARCHIVE_ENTRY_0003_UNLOCKED && (PRESERVE_EXISTING_SCRIPT_CONDITION),FLAG_ARCHIVE_REMATCH_0003_DEFEATED,PARTY_TOHOKU_REF_0071,DIALOGUE_TOHOKU_REF_0071,REWARD_TOHOKU_REF_0071,GIMMICK_DYNAMAX_REQUEST
ARCHIVE_REMATCH_0004,4,ENC_TOHOKU_REF_0075,1061,1061,ENC_TOHOKU_REF_0074,FLAG_REFERENCE_FALSE_POSITIVE,settrainerflag,0x0819444D,SINGLE,TRAINER_BATTLE_SINGLE,ARCHIVE_REMATCH_AVAILABLE && ARCHIVE_ENTRY_0004_UNLOCKED && (PRESERVE_EXISTING_SCRIPT_CONDITION),FLAG_ARCHIVE_REMATCH_0004_DEFEATED,PARTY_TOHOKU_REF_0075,DIALOGUE_TOHOKU_REF_0075,REWARD_TOHOKU_REF_0075,NONE_CURRENT_ABI
ARCHIVE_REMATCH_0005,5,ENC_TOHOKU_REF_0077,1062,1062,ENC_TOHOKU_REF_0076,FLAG_REFERENCE_FALSE_POSITIVE,settrainerflag,0x081944BB,SINGLE,TRAINER_BATTLE_SINGLE,ARCHIVE_REMATCH_AVAILABLE && ARCHIVE_ENTRY_0005_UNLOCKED && (PRESERVE_EXISTING_SCRIPT_CONDITION),FLAG_ARCHIVE_REMATCH_0005_DEFEATED,PARTY_TOHOKU_REF_0077,DIALOGUE_TOHOKU_REF_0077,REWARD_TOHOKU_REF_0077,NONE_CURRENT_ABI
ARCHIVE_REMATCH_0006,6,ENC_TOHOKU_REF_0098,141,141,ENC_TOHOKU_REF_0099,FLAG_REFERENCE_FALSE_POSITIVE,settrainerflag,0x0819445A,SINGLE,TRAINER_BATTLE_SINGLE,ARCHIVE_REMATCH_AVAILABLE && ARCHIVE_ENTRY_0006_UNLOCKED && (PRESERVE_EXISTING_SCRIPT_CONDITION),FLAG_ARCHIVE_REMATCH_0006_DEFEATED,PARTY_TOHOKU_REF_0098,DIALOGUE_TOHOKU_REF_0098,REWARD_TOHOKU_REF_0098,NONE_CURRENT_ABI
ARCHIVE_REMATCH_0007,7,ENC_TOHOKU_REF_0101,1076,1076,ENC_TOHOKU_REF_0100,FLAG_REFERENCE_FALSE_POSITIVE,settrainerflag,0x08194442,SINGLE,TRAINER_BATTLE_SINGLE,ARCHIVE_REMATCH_AVAILABLE && ARCHIVE_ENTRY_0007_UNLOCKED && (PRESERVE_EXISTING_SCRIPT_CONDITION),FLAG_ARCHIVE_REMATCH_0007_DEFEATED,PARTY_TOHOKU_REF_0101,DIALOGUE_TOHOKU_REF_0101,REWARD_TOHOKU_REF_0101,NONE_CURRENT_ABI
ARCHIVE_REMATCH_0008,8,ENC_TOHOKU_REF_0116,1082,1082,ENC_TOHOKU_REF_0115,FLAG_REFERENCE_FALSE_POSITIVE,settrainerflag,0x081944AF,SINGLE,TRAINER_BATTLE_SINGLE,ARCHIVE_REMATCH_AVAILABLE && ARCHIVE_ENTRY_0008_UNLOCKED && (PRESERVE_EXISTING_SCRIPT_CONDITION),FLAG_ARCHIVE_REMATCH_0008_DEFEATED,PARTY_TOHOKU_REF_0116,DIALOGUE_TOHOKU_REF_0116,REWARD_TOHOKU_REF_0116,NONE_CURRENT_ABI
ARCHIVE_REMATCH_0009,9,ENC_TOHOKU_REF_0131,1087,1087,ENC_TOHOKU_REF_0130,SHARED_COMMAND_EXTRA_CALLER,trainerbattle_shared_command,0x08757B8D,SINGLE,TRAINER_BATTLE_SINGLE,ARCHIVE_REMATCH_AVAILABLE && ARCHIVE_ENTRY_0009_UNLOCKED && (PRESERVE_EXISTING_SCRIPT_CONDITION),FLAG_ARCHIVE_REMATCH_0009_DEFEATED,PARTY_TOHOKU_REF_0131,DIALOGUE_TOHOKU_REF_0131,REWARD_TOHOKU_REF_0131,NONE_CURRENT_ABI
ARCHIVE_REMATCH_0010,10,ENC_TOHOKU_REF_0132,1088,1088,ENC_TOHOKU_REF_0130,SHARED_COMMAND_EXTRA_CALLER,trainerbattle_shared_command,0x08757B8D,SINGLE,TRAINER_BATTLE_SINGLE,ARCHIVE_REMATCH_AVAILABLE && ARCHIVE_ENTRY_0010_UNLOCKED && (PRESERVE_EXISTING_SCRIPT_CONDITION),FLAG_ARCHIVE_REMATCH_0010_DEFEATED,PARTY_TOHOKU_REF_0132,DIALOGUE_TOHOKU_REF_0132,REWARD_TOHOKU_REF_0132,NONE_CURRENT_ABI
