encounter_key,normalization_action,original_trainer_id,runtime_trainer_id,trainer_id_allocation_reason,original_battle_type,normalized_battle_type,original_physical_map_key,normalized_physical_map_key,original_script_key,normalized_script_key,original_owner,archive_consumer_key,unlock_expression,original_defeat_state_key,normalized_defeat_state_key
ENC_KANTO_BOSS_GYM_01,PRESERVE_ORIGINAL_CONSUMER,751,751,RETAIN_UNIQUE_ORIGINAL_ID,TRAINER_BATTLE_SINGLE,TRAINER_BATTLE_SINGLE,KANTO_INDOOR_PEWTER_CITY_GYM,KANTO_INDOOR_PEWTER_CITY_GYM,progress::PewterCity_Gym,progress::PewterCity_Gym,ENC_KANTO_BOSS_GYM_01,,CURRENT_KANTO_CERT_OR_LEAGUE_SEQUENCE,FLAG_GYM_01_DEFEATED,FLAG_GYM_01_DEFEATED
ENC_KANTO_BOSS_GYM_02,PRESERVE_ORIGINAL_CONSUMER,752,752,RETAIN_UNIQUE_ORIGINAL_ID,TRAINER_BATTLE_SINGLE,TRAINER_BATTLE_SINGLE,KANTO_INDOOR_CERULEAN_CITY_GYM,KANTO_INDOOR_CERULEAN_CITY_GYM,progress::CeruleanCity_Gym,progress::CeruleanCity_Gym,ENC_KANTO_BOSS_GYM_02,,CURRENT_KANTO_CERT_OR_LEAGUE_SEQUENCE,FLAG_GYM_02_DEFEATED,FLAG_GYM_02_DEFEATED
ENC_KANTO_BOSS_GYM_03,PRESERVE_ORIGINAL_CONSUMER,753,753,RETAIN_UNIQUE_ORIGINAL_ID,TRAINER_BATTLE_SINGLE,TRAINER_BATTLE_SINGLE,KANTO_INDOOR_VERMILION_CITY_GYM,KANTO_INDOOR_VERMILION_CITY_GYM,progress::VermilionCity_Gym,progress::VermilionCity_Gym,ENC_KANTO_BOSS_GYM_03,,CURRENT_KANTO_CERT_OR_LEAGUE_SEQUENCE,FLAG_GYM_03_DEFEATED,FLAG_GYM_03_DEFEATED
ENC_KANTO_BOSS_GYM_04,PRESERVE_ORIGINAL_CONSUMER,754,754,RETAIN_UNIQUE_ORIGINAL_ID,TRAINER_BATTLE_SINGLE,TRAINER_BATTLE_SINGLE,KANTO_INDOOR_CELADON_CITY_GYM,KANTO_INDOOR_CELADON_CITY_GYM,progress::CeladonCity_Gym,progress::CeladonCity_Gym,ENC_KANTO_BOSS_GYM_04,,CURRENT_KANTO_CERT_OR_LEAGUE_SEQUENCE,FLAG_GYM_04_DEFEATED,FLAG_GYM_04_DEFEATED
ENC_KANTO_BOSS_GYM_05,PRESERVE_ORIGINAL_CONSUMER,755,755,RETAIN_UNIQUE_ORIGINAL_ID,TRAINER_BATTLE_SINGLE,TRAINER_BATTLE_SINGLE,KANTO_INDOOR_FUCHSIA_CITY_GYM,KANTO_INDOOR_FUCHSIA_CITY_GYM,progress::FuchsiaCity_Gym,progress::FuchsiaCity_Gym,ENC_KANTO_BOSS_GYM_05,,CURRENT_KANTO_CERT_OR_LEAGUE_SEQUENCE,FLAG_GYM_05_DEFEATED,FLAG_GYM_05_DEFEATED
ENC_KANTO_BOSS_GYM_06,PRESERVE_ORIGINAL_CONSUMER,756,756,RETAIN_UNIQUE_ORIGINAL_ID,TRAINER_BATTLE_SINGLE,TRAINER_BATTLE_SINGLE,KANTO_INDOOR_SAFFRON_CITY_GYM,KANTO_INDOOR_SAFFRON_CITY_GYM,progress::SaffronCity_Gym,progress::SaffronCity_Gym,ENC_KANTO_BOSS_GYM_06,,CURRENT_KANTO_CERT_OR_LEAGUE_SEQUENCE,FLAG_GYM_06_DEFEATED,FLAG_GYM_06_DEFEATED
ENC_KANTO_BOSS_GYM_07,PRESERVE_ORIGINAL_CONSUMER,757,757,RETAIN_UNIQUE_ORIGINAL_ID,TRAINER_BATTLE_SINGLE,TRAINER_BATTLE_SINGLE,KANTO_INDOOR_CINNABAR_ISLAND_GYM,KANTO_INDOOR_CINNABAR_ISLAND_GYM,progress::CinnabarIsland_Gym,progress::CinnabarIsland_Gym,ENC_KANTO_BOSS_GYM_07,,CURRENT_KANTO_CERT_OR_LEAGUE_SEQUENCE,FLAG_GYM_07_DEFEATED,FLAG_GYM_07_DEFEATED
ENC_KANTO_BOSS_GYM_08,PRESERVE_ORIGINAL_CONSUMER,758,758,RETAIN_UNIQUE_ORIGINAL_ID,TRAINER_BATTLE_SINGLE,TRAINER_BATTLE_SINGLE,KANTO_INDOOR_VIRIDIAN_CITY_GYM,KANTO_INDOOR_VIRIDIAN_CITY_GYM,progress::ViridianCity_Gym,progress::ViridianCity_Gym,ENC_KANTO_BOSS_GYM_08,,CURRENT_KANTO_CERT_OR_LEAGUE_SEQUENCE,FLAG_GYM_08_DEFEATED,FLAG_GYM_08_DEFEATED
ENC_KANTO_BOSS_LEAGUE_01,PRESERVE_ORIGINAL_CONSUMER,759,759,RETAIN_UNIQUE_ORIGINAL_ID,TRAINER_BATTLE_SINGLE,TRAINER_BATTLE_SINGLE,KANTO_DUNGEON_POKEMON_LEAGUE_LORELEIS_ROOM,KANTO_DUNGEON_POKEMON_LEAGUE_LORELEIS_ROOM,progress::PokemonLeague_LoreleisRoom,progress::PokemonLeague_LoreleisRoom,ENC_KANTO_BOSS_LEAGUE_01,,CURRENT_KANTO_CERT_OR_LEAGUE_SEQUENCE,FLAG_LEAGUE_01_DEFEATED,FLAG_LEAGUE_01_DEFEATED
ENC_KANTO_BOSS_LEAGUE_02,PRESERVE_ORIGINAL_CONSUMER,760,760,RETAIN_UNIQUE_ORIGINAL_ID,TRAINER_BATTLE_SINGLE,TRAINER_BATTLE_SINGLE,KANTO_DUNGEON_POKEMON_LEAGUE_BRUNOS_ROOM,KANTO_DUNGEON_POKEMON_LEAGUE_BRUNOS_ROOM,progress::PokemonLeague_BrunosRoom,progress::PokemonLeague_BrunosRoom,ENC_KANTO_BOSS_LEAGUE_02,,CURRENT_KANTO_CERT_OR_LEAGUE_SEQUENCE,FLAG_LEAGUE_02_DEFEATED,FLAG_LEAGUE_02_DEFEATED
ENC_KANTO_BOSS_LEAGUE_03,PRESERVE_ORIGINAL_CONSUMER,761,761,RETAIN_UNIQUE_ORIGINAL_ID,TRAINER_BATTLE_SINGLE,TRAINER_BATTLE_SINGLE,KANTO_DUNGEON_POKEMON_LEAGUE_AGATHAS_ROOM,KANTO_DUNGEON_POKEMON_LEAGUE_AGATHAS_ROOM,progress::PokemonLeague_AgathasRoom,progress::PokemonLeague_AgathasRoom,ENC_KANTO_BOSS_LEAGUE_03,,CURRENT_KANTO_CERT_OR_LEAGUE_SEQUENCE,FLAG_LEAGUE_03_DEFEATED,FLAG_LEAGUE_03_DEFEATED
ENC_KANTO_BOSS_LEAGUE_04,PRESERVE_ORIGINAL_CONSUMER,762,762,RETAIN_UNIQUE_ORIGINAL_ID,TRAINER_BATTLE_SINGLE,TRAINER_BATTLE_SINGLE,KANTO_DUNGEON_POKEMON_LEAGUE_LANCES_ROOM,KANTO_DUNGEON_POKEMON_LEAGUE_LANCES_ROOM,progress::PokemonLeague_LancesRoom,progress::PokemonLeague_LancesRoom,ENC_KANTO_BOSS_LEAGUE_04,,CURRENT_KANTO_CERT_OR_LEAGUE_SEQUENCE,FLAG_LEAGUE_04_DEFEATED,FLAG_LEAGUE_04_DEFEATED
ENC_KANTO_BOSS_LEAGUE_05,PRESERVE_ORIGINAL_CONSUMER,763,763,RETAIN_UNIQUE_ORIGINAL_ID,TRAINER_BATTLE_SINGLE,TRAINER_BATTLE_SINGLE,KANTO_DUNGEON_POKEMON_LEAGUE_CHAMPIONS_ROOM,KANTO_DUNGEON_POKEMON_LEAGUE_CHAMPIONS_ROOM,progress::PokemonLeague_ChampionsRoom,progress::PokemonLeague_ChampionsRoom,ENC_KANTO_BOSS_LEAGUE_05,,CURRENT_KANTO_CERT_OR_LEAGUE_SEQUENCE,FLAG_LEAGUE_05_DEFEATED,FLAG_LEAGUE_05_DEFEATED
ENC_KANTO_ROUTE_001,PRESERVE_ORIGINAL_CONSUMER,4096,4096,RETAIN_KANTO_ALLOCATED_ID,TRAINER_BATTLE_SINGLE,TRAINER_BATTLE_SINGLE,KANTO_DUNGEON_MT_MOON_1_F,KANTO_DUNGEON_MT_MOON_1_F,SCRIPT_KANTO_ROUTE_001,SCRIPT_KANTO_ROUTE_001,ENC_KANTO_ROUTE_001,,KANTO_REGION_ACTIVE,FLAG_KANTO_ROUTE_001_DEFEATED,FLAG_KANTO_ROUTE_001_DEFEATED
ENC_KANTO_ROUTE_002,PRESERVE_ORIGINAL_CONSUMER,4097,4097,RETAIN_KANTO_ALLOCATED_ID,TRAINER_BATTLE_SINGLE,TRAINER_BATTLE_SINGLE,KANTO_DUNGEON_MT_MOON_1_F,KANTO_DUNGEON_MT_MOON_1_F,SCRIPT_KANTO_ROUTE_002,SCRIPT_KANTO_ROUTE_002,ENC_KANTO_ROUTE_002,,KANTO_REGION_ACTIVE,FLAG_KANTO_ROUTE_002_DEFEATED,FLAG_KANTO_ROUTE_002_DEFEATED
ENC_KANTO_ROUTE_003,PRESERVE_ORIGINAL_CONSUMER,4098,4098,RETAIN_KANTO_ALLOCATED_ID,TRAINER_BATTLE_SINGLE,TRAINER_BATTLE_SINGLE,KANTO_DUNGEON_MT_MOON_1_F,KANTO_DUNGEON_MT_MOON_1_F,SCRIPT_KANTO_ROUTE_003,SCRIPT_KANTO_ROUTE_003,ENC_KANTO_ROUTE_003,,KANTO_REGION_ACTIVE,FLAG_KANTO_ROUTE_003_DEFEATED,FLAG_KANTO_ROUTE_003_DEFEATED
ENC_KANTO_ROUTE_004,PRESERVE_ORIGINAL_CONSUMER,4099,4099,RETAIN_KANTO_ALLOCATED_ID,TRAINER_BATTLE_SINGLE,TRAINER_BATTLE_SINGLE,KANTO_DUNGEON_MT_MOON_1_F,KANTO_DUNGEON_MT_MOON_1_F,SCRIPT_KANTO_ROUTE_004,SCRIPT_KANTO_ROUTE_004,ENC_KANTO_ROUTE_004,,KANTO_REGION_ACTIVE,FLAG_KANTO_ROUTE_004_DEFEATED,FLAG_KANTO_ROUTE_004_DEFEATED
ENC_KANTO_ROUTE_005,PRESERVE_ORIGINAL_CONSUMER,4100,4100,RETAIN_KANTO_ALLOCATED_ID,TRAINER_BATTLE_SINGLE,TRAINER_BATTLE_SINGLE,KANTO_DUNGEON_MT_MOON_B2_F,KANTO_DUNGEON_MT_MOON_B2_F,SCRIPT_KANTO_ROUTE_005,SCRIPT_KANTO_ROUTE_005,ENC_KANTO_ROUTE_005,,KANTO_REGION_ACTIVE,FLAG_KANTO_ROUTE_005_DEFEATED,FLAG_KANTO_ROUTE_005_DEFEATED
ENC_KANTO_ROUTE_006,PRESERVE_ORIGINAL_CONSUMER,4101,4101,RETAIN_KANTO_ALLOCATED_ID,TRAINER_BATTLE_SINGLE,TRAINER_BATTLE_SINGLE,KANTO_DUNGEON_MT_MOON_B2_F,KANTO_DUNGEON_MT_MOON_B2_F,SCRIPT_KANTO_ROUTE_006,SCRIPT_KANTO_ROUTE_006,ENC_KANTO_ROUTE_006,,KANTO_REGION_ACTIVE,FLAG_KANTO_ROUTE_006_DEFEATED,FLAG_KANTO_ROUTE_006_DEFEATED
ENC_KANTO_ROUTE_007,PRESERVE_ORIGINAL_CONSUMER,4102,4102,RETAIN_KANTO_ALLOCATED_ID,TRAINER_BATTLE_SINGLE,TRAINER_BATTLE_SINGLE,KANTO_DUNGEON_POKEMON_MANSION_1_F,KANTO_DUNGEON_POKEMON_MANSION_1_F,SCRIPT_KANTO_ROUTE_007,SCRIPT_KANTO_ROUTE_007,ENC_KANTO_ROUTE_007,,KANTO_CERT_COUNT>=6,FLAG_KANTO_ROUTE_007_DEFEATED,FLAG_KANTO_ROUTE_007_DEFEATED
ENC_KANTO_ROUTE_008,PRESERVE_ORIGINAL_CONSUMER,4103,4103,RETAIN_KANTO_ALLOCATED_ID,TRAINER_BATTLE_SINGLE,TRAINER_BATTLE_SINGLE,KANTO_DUNGEON_POKEMON_MANSION_1_F,KANTO_DUNGEON_POKEMON_MANSION_1_F,SCRIPT_KANTO_ROUTE_008,SCRIPT_KANTO_ROUTE_008,ENC_KANTO_ROUTE_008,,KANTO_CERT_COUNT>=6,FLAG_KANTO_ROUTE_008_DEFEATED,FLAG_KANTO_ROUTE_008_DEFEATED
ENC_KANTO_ROUTE_009,PRESERVE_ORIGINAL_CONSUMER,4104,4104,RETAIN_KANTO_ALLOCATED_ID,TRAINER_BATTLE_SINGLE,TRAINER_BATTLE_SINGLE,KANTO_DUNGEON_POKEMON_MANSION_2_F,KANTO_DUNGEON_POKEMON_MANSION_2_F,SCRIPT_KANTO_ROUTE_009,SCRIPT_KANTO_ROUTE_009,ENC_KANTO_ROUTE_009,,KANTO_CERT_COUNT>=6,FLAG_KANTO_ROUTE_009_DEFEATED,FLAG_KANTO_ROUTE_009_DEFEATED
ENC_KANTO_ROUTE_010,PRESERVE_ORIGINAL_CONSUMER,4105,4105,RETAIN_KANTO_ALLOCATED_ID,TRAINER_BATTLE_SINGLE,TRAINER_BATTLE_SINGLE,KANTO_DUNGEON_POKEMON_MANSION_3_F,KANTO_DUNGEON_POKEMON_MANSION_3_F,SCRIPT_KANTO_ROUTE_010,SCRIPT_KANTO_ROUTE_010,ENC_KANTO_ROUTE_010,,KANTO_CERT_COUNT>=6,FLAG_KANTO_ROUTE_010_DEFEATED,FLAG_KANTO_ROUTE_010_DEFEATED
ENC_KANTO_ROUTE_011,PRESERVE_ORIGINAL_CONSUMER,4106,4106,RETAIN_KANTO_ALLOCATED_ID,TRAINER_BATTLE_SINGLE,TRAINER_BATTLE_SINGLE,KANTO_DUNGEON_POKEMON_MANSION_3_F,KANTO_DUNGEON_POKEMON_MANSION_3_F,SCRIPT_KANTO_ROUTE_011,SCRIPT_KANTO_ROUTE_011,ENC_KANTO_ROUTE_011,,KANTO_CERT_COUNT>=6,FLAG_KANTO_ROUTE_011_DEFEATED,FLAG_KANTO_ROUTE_011_DEFEATED
ENC_KANTO_ROUTE_012,PRESERVE_ORIGINAL_CONSUMER,4107,4107,RETAIN_KANTO_ALLOCATED_ID,TRAINER_BATTLE_SINGLE,TRAINER_BATTLE_SINGLE,KANTO_DUNGEON_POKEMON_MANSION_B1_F,KANTO_DUNGEON_POKEMON_MANSION_B1_F,SCRIPT_KANTO_ROUTE_012,SCRIPT_KANTO_ROUTE_012,ENC_KANTO_ROUTE_012,,KANTO_CERT_COUNT>=6,FLAG_KANTO_ROUTE_012_DEFEATED,FLAG_KANTO_ROUTE_012_DEFEATED
ENC_KANTO_ROUTE_013,PRESERVE_ORIGINAL_CONSUMER,4108,4108,RETAIN_KANTO_ALLOCATED_ID,TRAINER_BATTLE_SINGLE,TRAINER_BATTLE_SINGLE,KANTO_DUNGEON_POKEMON_MANSION_B1_F,KANTO_DUNGEON_POKEMON_MANSION_B1_F,SCRIPT_KANTO_ROUTE_013,SCRIPT_KANTO_ROUTE_013,ENC_KANTO_ROUTE_013,,KANTO_CERT_COUNT>=6,FLAG_KANTO_ROUTE_013_DEFEATED,FLAG_KANTO_ROUTE_013_DEFEATED
ENC_KANTO_ROUTE_014,PRESERVE_ORIGINAL_CONSUMER,4109,4109,RETAIN_KANTO_ALLOCATED_ID,TRAINER_BATTLE_SINGLE,TRAINER_BATTLE_SINGLE,KANTO_DUNGEON_POKEMON_TOWER_3_F,KANTO_DUNGEON_POKEMON_TOWER_3_F,SCRIPT_KANTO_ROUTE_014,SCRIPT_KANTO_ROUTE_014,ENC_KANTO_ROUTE_014,,KANTO_CERT_COUNT>=3,FLAG_KANTO_ROUTE_014_DEFEATED,FLAG_KANTO_ROUTE_014_DEFEATED
ENC_KANTO_ROUTE_015,PRESERVE_ORIGINAL_CONSUMER,4110,4110,RETAIN_KANTO_ALLOCATED_ID,TRAINER_BATTLE_SINGLE,TRAINER_BATTLE_SINGLE,KANTO_DUNGEON_POKEMON_TOWER_3_F,KANTO_DUNGEON_POKEMON_TOWER_3_F,SCRIPT_KANTO_ROUTE_015,SCRIPT_KANTO_ROUTE_015,ENC_KANTO_ROUTE_015,,KANTO_CERT_COUNT>=3,FLAG_KANTO_ROUTE_015_DEFEATED,FLAG_KANTO_ROUTE_015_DEFEATED
ENC_KANTO_ROUTE_016,PRESERVE_ORIGINAL_CONSUMER,4111,4111,RETAIN_KANTO_ALLOCATED_ID,TRAINER_BATTLE_SINGLE,TRAINER_BATTLE_SINGLE,KANTO_DUNGEON_POKEMON_TOWER_4_F,KANTO_DUNGEON_POKEMON_TOWER_4_F,SCRIPT_KANTO_ROUTE_016,SCRIPT_KANTO_ROUTE_016,ENC_KANTO_ROUTE_016,,KANTO_CERT_COUNT>=3,FLAG_KANTO_ROUTE_016_DEFEATED,FLAG_KANTO_ROUTE_016_DEFEATED
ENC_KANTO_ROUTE_017,PRESERVE_ORIGINAL_CONSUMER,4112,4112,RETAIN_KANTO_ALLOCATED_ID,TRAINER_BATTLE_SINGLE,TRAINER_BATTLE_SINGLE,KANTO_DUNGEON_POKEMON_TOWER_4_F,KANTO_DUNGEON_POKEMON_TOWER_4_F,SCRIPT_KANTO_ROUTE_017,SCRIPT_KANTO_ROUTE_017,ENC_KANTO_ROUTE_017,,KANTO_CERT_COUNT>=3,FLAG_KANTO_ROUTE_017_DEFEATED,FLAG_KANTO_ROUTE_017_DEFEATED
ENC_KANTO_ROUTE_018,PRESERVE_ORIGINAL_CONSUMER,4113,4113,RETAIN_KANTO_ALLOCATED_ID,TRAINER_BATTLE_SINGLE,TRAINER_BATTLE_SINGLE,KANTO_DUNGEON_POKEMON_TOWER_5_F,KANTO_DUNGEON_POKEMON_TOWER_5_F,SCRIPT_KANTO_ROUTE_018,SCRIPT_KANTO_ROUTE_018,ENC_KANTO_ROUTE_018,,KANTO_CERT_COUNT>=3,FLAG_KANTO_ROUTE_018_DEFEATED,FLAG_KANTO_ROUTE_018_DEFEATED
ENC_KANTO_ROUTE_019,PRESERVE_ORIGINAL_CONSUMER,4114,4114,RETAIN_KANTO_ALLOCATED_ID,TRAINER_BATTLE_SINGLE,TRAINER_BATTLE_SINGLE,KANTO_DUNGEON_POKEMON_TOWER_5_F,KANTO_DUNGEON_POKEMON_TOWER_5_F,SCRIPT_KANTO_ROUTE_019,SCRIPT_KANTO_ROUTE_019,ENC_KANTO_ROUTE_019,,KANTO_CERT_COUNT>=3,FLAG_KANTO_ROUTE_019_DEFEATED,FLAG_KANTO_ROUTE_019_DEFEATED
ENC_KANTO_ROUTE_020,PRESERVE_ORIGINAL_CONSUMER,4115,4115,RETAIN_KANTO_ALLOCATED_ID,TRAINER_BATTLE_SINGLE,TRAINER_BATTLE_SINGLE,KANTO_DUNGEON_POKEMON_TOWER_6_F,KANTO_DUNGEON_POKEMON_TOWER_6_F,SCRIPT_KANTO_ROUTE_020,SCRIPT_KANTO_ROUTE_020,ENC_KANTO_ROUTE_020,,KANTO_CERT_COUNT>=3,FLAG_KANTO_ROUTE_020_DEFEATED,FLAG_KANTO_ROUTE_020_DEFEATED
ENC_KANTO_ROUTE_021,PRESERVE_ORIGINAL_CONSUMER,4116,4116,RETAIN_KANTO_ALLOCATED_ID,TRAINER_BATTLE_SINGLE,TRAINER_BATTLE_SINGLE,KANTO_DUNGEON_POKEMON_TOWER_6_F,KANTO_DUNGEON_POKEMON_TOWER_6_F,SCRIPT_KANTO_ROUTE_021,SCRIPT_KANTO_ROUTE_021,ENC_KANTO_ROUTE_021,,KANTO_CERT_COUNT>=3,FLAG_KANTO_ROUTE_021_DEFEATED,FLAG_KANTO_ROUTE_021_DEFEATED
ENC_KANTO_ROUTE_022,PRESERVE_ORIGINAL_CONSUMER,4117,4117,RETAIN_KANTO_ALLOCATED_ID,TRAINER_BATTLE_SINGLE,TRAINER_BATTLE_SINGLE,KANTO_DUNGEON_POKEMON_TOWER_7_F,KANTO_DUNGEON_POKEMON_TOWER_7_F,SCRIPT_KANTO_ROUTE_022,SCRIPT_KANTO_ROUTE_022,ENC_KANTO_ROUTE_022,,KANTO_CERT_COUNT>=3,FLAG_KANTO_ROUTE_022_DEFEATED,FLAG_KANTO_ROUTE_022_DEFEATED
ENC_KANTO_ROUTE_023,PRESERVE_ORIGINAL_CONSUMER,4118,4118,RETAIN_KANTO_ALLOCATED_ID,TRAINER_BATTLE_SINGLE,TRAINER_BATTLE_SINGLE,KANTO_DUNGEON_POKEMON_TOWER_7_F,KANTO_DUNGEON_POKEMON_TOWER_7_F,SCRIPT_KANTO_ROUTE_023,SCRIPT_KANTO_ROUTE_023,ENC_KANTO_ROUTE_023,,KANTO_CERT_COUNT>=3,FLAG_KANTO_ROUTE_023_DEFEATED,FLAG_KANTO_ROUTE_023_DEFEATED
