dialogue_set_key,encounter_key,state_key,speaker,text,next_state,width_check,status,notes
DIALOGUE_KANTO_BOSS_GYM_01,ENC_KANTO_BOSS_GYM_01,DEFEAT,ニビ認定ジムリーダー,固めた守りを、丁寧に崩されたな。,END,PASS,READY_TO_SERIALIZE,UTF-8 source; repository text encoder integration required
DIALOGUE_KANTO_BOSS_GYM_01,ENC_KANTO_BOSS_GYM_01,INTRO,ニビ認定ジムリーダー,足場が悪くても、こちらの守りは崩れん\nぞ。,BATTLE,PASS,READY_TO_SERIALIZE,UTF-8 source; repository text encoder integration required
DIALOGUE_KANTO_BOSS_GYM_01,ENC_KANTO_BOSS_GYM_01,LOCKED,ニビ認定ジムリーダー,今はまだこの先の認定戦を受けられない\n。先に条件を整えよう。,END,PASS,READY_TO_SERIALIZE,UTF-8 source; repository text encoder integration required
DIALOGUE_KANTO_BOSS_GYM_01,ENC_KANTO_BOSS_GYM_01,POST_BATTLE,ニビ認定ジムリーダー,カントーでは一本道ほど危ない。回復と\n帰路を先に確かめな。,END,PASS,READY_TO_SERIALIZE,UTF-8 source; repository text encoder integration required
DIALOGUE_KANTO_BOSS_GYM_02,ENC_KANTO_BOSS_GYM_02,DEFEAT,ハナダ認定ジムリーダー,波を乗り継ぐ前に、止められちゃった。,END,PASS,READY_TO_SERIALIZE,UTF-8 source; repository text encoder integration required
DIALOGUE_KANTO_BOSS_GYM_02,ENC_KANTO_BOSS_GYM_02,INTRO,ハナダ認定ジムリーダー,波を止めても、次の流れはすぐに来るよ\n。,BATTLE,PASS,READY_TO_SERIALIZE,UTF-8 source; repository text encoder integration required
DIALOGUE_KANTO_BOSS_GYM_02,ENC_KANTO_BOSS_GYM_02,LOCKED,ハナダ認定ジムリーダー,今はまだこの先の認定戦を受けられない\n。先に条件を整えよう。,END,PASS,READY_TO_SERIALIZE,UTF-8 source; repository text encoder integration required
DIALOGUE_KANTO_BOSS_GYM_02,ENC_KANTO_BOSS_GYM_02,POST_BATTLE,ハナダ認定ジムリーダー,カントーでは一本道ほど危ない。回復と\n帰路を先に確かめな。,END,PASS,READY_TO_SERIALIZE,UTF-8 source; repository text encoder integration required
DIALOGUE_KANTO_BOSS_GYM_03,ENC_KANTO_BOSS_GYM_03,DEFEAT,クチバ認定ジムリーダー,仮説より、君の対応が一枚上だった。,END,PASS,READY_TO_SERIALIZE,UTF-8 source; repository text encoder integration required
DIALOGUE_KANTO_BOSS_GYM_03,ENC_KANTO_BOSS_GYM_03,INTRO,クチバ認定ジムリーダー,理論どおりに動くか、実戦で確かめよう\n。,BATTLE,PASS,READY_TO_SERIALIZE,UTF-8 source; repository text encoder integration required
