encounter_key,region,story_phase,trainer_key,trainer_id,identity_key,physical_map_key,group_id,map_id,root_kind,root_index,local_id,x,y,elevation,graphics_id,movement_type,sight_range,script_key,battle_type,pair_or_partner_key,initial_or_rematch,rematch_tier,mandatory,avoidable_path_evidence,unlock_expression,defeat_state_key,party_key,ai_profile_key,trainer_item_keys,reward_key,dialogue_set_key,status,evidence,notes,original_trainer_id,runtime_trainer_id,trainer_id_allocation_reason
ENC_KANTO_BOSS_GYM_01,KANTO,KANTO_NORTH_WEST_CERT_1_3,TRAINER_KEY_KANTO_GYM_01,751,IDENTITY_TRAINER_KEY_KANTO_GYM_01,KANTO_INDOOR_PEWTER_CITY_GYM,98,12,object,0,1,6,5,3,OBJ_EVENT_GFX_BROCK,MOVEMENT_TYPE_FACE_DOWN,0,progress::PewterCity_Gym,TRAINER_BATTLE_SINGLE,NONE,INITIAL,NONE,false,TALK_TO_START_CURRENT_PROGRESSION_OBJECT,CURRENT_KANTO_CERT_OR_LEAGUE_SEQUENCE,FLAG_GYM_01_DEFEATED,PARTY_KANTO_BOSS_GYM_01,AI_FULL_SMART,[],REWARD_KANTO_BOSS_GYM_01,DIALOGUE_KANTO_BOSS_GYM_01,EXISTING_ROM_VERIFIED,current production battle; map=KANTO_INDOOR_PEWTER_CITY_GYM; local=1; trainer_id=751,Current party live fields retained. Ability/nature/EV/mechanic policy remain catalog-only.; TASK06 regional design: target_party_size=6; trainer_role=KANTO_CERTIFICATION_GYM_LEADER; difficulty=HIGH_CHALLENGE_BOSS; primary_gimmick=NONE; physical map/object/script/flag/address facts are unchanged and fail closed,751,751,RETAIN_UNIQUE_ORIGINAL_ID
ENC_KANTO_BOSS_GYM_02,KANTO,KANTO_NORTH_WEST_CERT_1_3,TRAINER_KEY_KANTO_GYM_02,752,IDENTITY_TRAINER_KEY_KANTO_GYM_02,KANTO_INDOOR_CERULEAN_CITY_GYM,98,23,object,2,1,8,6,3,OBJ_EVENT_GFX_MISTY,MOVEMENT_TYPE_FACE_DOWN,0,progress::CeruleanCity_Gym,TRAINER_BATTLE_SINGLE,NONE,INITIAL,NONE,false,TALK_TO_START_CURRENT_PROGRESSION_OBJECT,CURRENT_KANTO_CERT_OR_LEAGUE_SEQUENCE,FLAG_GYM_02_DEFEATED,PARTY_KANTO_BOSS_GYM_02,AI_FULL_SMART,[],REWARD_KANTO_BOSS_GYM_02,DIALOGUE_KANTO_BOSS_GYM_02,EXISTING_ROM_VERIFIED,current production battle; map=KANTO_INDOOR_CERULEAN_CITY_GYM; local=1; trainer_id=752,Current party live fields retained. Ability/nature/EV/mechanic policy remain catalog-only.; TASK06 regional design: target_party_size=6; trainer_role=KANTO_CERTIFICATION_GYM_LEADER; difficulty=HIGH_CHALLENGE_BOSS; primary_gimmick=NONE; physical map/object/script/flag/address facts are unchanged and fail closed,752,752,RETAIN_UNIQUE_ORIGINAL_ID
ENC_KANTO_BOSS_GYM_03,KANTO,KANTO_CENTRAL_CERT_3_5,TRAINER_KEY_KANTO_GYM_03,753,IDENTITY_TRAINER_KEY_KANTO_GYM_03,KANTO_INDOOR_VERMILION_CITY_GYM,98,40,object,0,1,5,2,3,OBJ_EVENT_GFX_LT_SURGE,MOVEMENT_TYPE_FACE_DOWN,0,progress::VermilionCity_Gym,TRAINER_BATTLE_SINGLE,NONE,INITIAL,NONE,false,TALK_TO_START_CURRENT_PROGRESSION_OBJECT,CURRENT_KANTO_CERT_OR_LEAGUE_SEQUENCE,FLAG_GYM_03_DEFEATED,PARTY_KANTO_BOSS_GYM_03,AI_FULL_SMART,[],REWARD_KANTO_BOSS_GYM_03,DIALOGUE_KANTO_BOSS_GYM_03,EXISTING_ROM_VERIFIED,current production battle; map=KANTO_INDOOR_VERMILION_CITY_GYM; local=1; trainer_id=753,Current party live fields retained. Ability/nature/EV/mechanic policy remain catalog-only.; TASK06 regional design: target_party_size=6; trainer_role=KANTO_CERTIFICATION_GYM_LEADER; difficulty=HIGH_CHALLENGE_BOSS; primary_gimmick=NONE; physical map/object/script/flag/address facts are unchanged and fail closed,753,753,RETAIN_UNIQUE_ORIGINAL_ID
ENC_KANTO_BOSS_GYM_04,KANTO,KANTO_CENTRAL_CERT_3_5,TRAINER_KEY_KANTO_GYM_04,754,IDENTITY_TRAINER_KEY_KANTO_GYM_04,KANTO_INDOOR_CELADON_CITY_GYM,98,58,object,6,1,6,4,3,OBJ_EVENT_GFX_ERIKA,MOVEMENT_TYPE_FACE_DOWN,0,progress::CeladonCity_Gym,TRAINER_BATTLE_SINGLE,NONE,INITIAL,NONE,false,TALK_TO_START_CURRENT_PROGRESSION_OBJECT,CURRENT_KANTO_CERT_OR_LEAGUE_SEQUENCE,FLAG_GYM_04_DEFEATED,PARTY_KANTO_BOSS_GYM_04,AI_FULL_SMART,[],REWARD_KANTO_BOSS_GYM_04,DIALOGUE_KANTO_BOSS_GYM_04,EXISTING_ROM_VERIFIED,current production battle; map=KANTO_INDOOR_CELADON_CITY_GYM; local=1; trainer_id=754,Current party live fields retained. Ability/nature/EV/mechanic policy remain catalog-only.; TASK06 regional design: target_party_size=6; trainer_role=KANTO_CERTIFICATION_GYM_LEADER; difficulty=HIGH_CHALLENGE_BOSS; primary_gimmick=NONE; physical map/object/script/flag/address facts are unchanged and fail closed,754,754,RETAIN_UNIQUE_ORIGINAL_ID
ENC_KANTO_BOSS_GYM_05,KANTO,KANTO_EAST_ISLAND_CERT_5_7,TRAINER_KEY_KANTO_GYM_05,755,IDENTITY_TRAINER_KEY_KANTO_GYM_05,KANTO_INDOOR_FUCHSIA_CITY_GYM,98,65,object,6,1,7,13,3,OBJ_EVENT_GFX_KOGA,MOVEMENT_TYPE_FACE_DOWN,0,progress::FuchsiaCity_Gym,TRAINER_BATTLE_SINGLE,NONE,INITIAL,NONE,false,TALK_TO_START_CURRENT_PROGRESSION_OBJECT,CURRENT_KANTO_CERT_OR_LEAGUE_SEQUENCE,FLAG_GYM_05_DEFEATED,PARTY_KANTO_BOSS_GYM_05,AI_FULL_SMART,[],REWARD_KANTO_BOSS_GYM_05,DIALOGUE_KANTO_BOSS_GYM_05,EXISTING_ROM_VERIFIED,current production battle; map=KANTO_INDOOR_FUCHSIA_CITY_GYM; local=1; trainer_id=755,Current party live fields retained. Ability/nature/EV/mechanic policy remain catalog-only.; TASK06 regional design: target_party_size=6; trainer_role=KANTO_CERTIFICATION_GYM_LEADER; difficulty=HIGH_CHALLENGE_BOSS; primary_gimmick=MEGA; physical map/object/script/flag/address facts are unchanged and fail closed,755,755,RETAIN_UNIQUE_ORIGINAL_ID
ENC_KANTO_BOSS_GYM_06,KANTO,KANTO_EAST_ISLAND_CERT_5_7,TRAINER_KEY_KANTO_GYM_06,756,IDENTITY_TRAINER_KEY_KANTO_GYM_06,KANTO_INDOOR_SAFFRON_CITY_GYM,98,85,object,6,1,14,11,3,OBJ_EVENT_GFX_SABRINA,MOVEMENT_TYPE_FACE_DOWN,0,progress::SaffronCity_Gym,TRAINER_BATTLE_SINGLE,NONE,INITIAL,NONE,false,TALK_TO_START_CURRENT_PROGRESSION_OBJECT,CURRENT_KANTO_CERT_OR_LEAGUE_SEQUENCE,FLAG_GYM_06_DEFEATED,PARTY_KANTO_BOSS_GYM_06,AI_FULL_SMART,[],REWARD_KANTO_BOSS_GYM_06,DIALOGUE_KANTO_BOSS_GYM_06,EXISTING_ROM_VERIFIED,current production battle; map=KANTO_INDOOR_SAFFRON_CITY_GYM; local=1; trainer_id=756,Current party live fields retained. Ability/nature/EV/mechanic policy remain catalog-only.; TASK06 regional design: target_party_size=6; trainer_role=KANTO_CERTIFICATION_GYM_LEADER; difficulty=HIGH_CHALLENGE_BOSS; primary_gimmick=MEGA; physical map/object/script/flag/address facts are unchanged and fail closed,756,756,RETAIN_UNIQUE_ORIGINAL_ID
ENC_KANTO_BOSS_GYM_07,KANTO,KANTO_LEAGUE_APPROACH_CERT_8,TRAINER_KEY_KANTO_GYM_07,757,IDENTITY_TRAINER_KEY_KANTO_GYM_07,KANTO_INDOOR_CINNABAR_ISLAND_GYM,98,72,object,7,1,5,4,3,OBJ_EVENT_GFX_BLAINE,MOVEMENT_TYPE_FACE_DOWN,0,progress::CinnabarIsland_Gym,TRAINER_BATTLE_SINGLE,NONE,INITIAL,NONE,false,TALK_TO_START_CURRENT_PROGRESSION_OBJECT,CURRENT_KANTO_CERT_OR_LEAGUE_SEQUENCE,FLAG_GYM_07_DEFEATED,PARTY_KANTO_BOSS_GYM_07,AI_FULL_SMART,[],REWARD_KANTO_BOSS_GYM_07,DIALOGUE_KANTO_BOSS_GYM_07,EXISTING_ROM_VERIFIED,current production battle; map=KANTO_INDOOR_CINNABAR_ISLAND_GYM; local=1; trainer_id=757,Current party live fields retained. Ability/nature/EV/mechanic policy remain catalog-only.; TASK06 regional design: target_party_size=6; trainer_role=KANTO_CERTIFICATION_GYM_LEADER; difficulty=HIGH_CHALLENGE_BOSS; primary_gimmick=MEGA; physical map/object/script/flag/address facts are unchanged and fail closed,757,757,RETAIN_UNIQUE_ORIGINAL_ID
ENC_KANTO_BOSS_GYM_08,KANTO,KANTO_LEAGUE_APPROACH_CERT_8,TRAINER_KEY_KANTO_GYM_08,758,IDENTITY_TRAINER_KEY_KANTO_GYM_08,KANTO_INDOOR_VIRIDIAN_CITY_GYM,98,5,object,7,1,2,2,3,OBJ_EVENT_GFX_GIOVANNI,MOVEMENT_TYPE_FACE_DOWN,0,progress::ViridianCity_Gym,TRAINER_BATTLE_SINGLE,NONE,INITIAL,NONE,false,TALK_TO_START_CURRENT_PROGRESSION_OBJECT,CURRENT_KANTO_CERT_OR_LEAGUE_SEQUENCE,FLAG_GYM_08_DEFEATED,PARTY_KANTO_BOSS_GYM_08,AI_FULL_SMART,[],REWARD_KANTO_BOSS_GYM_08,DIALOGUE_KANTO_BOSS_GYM_08,EXISTING_ROM_VERIFIED,current production battle; map=KANTO_INDOOR_VIRIDIAN_CITY_GYM; local=1; trainer_id=758,Current party live fields retained. Ability/nature/EV/mechanic policy remain catalog-only.; TASK06 regional design: target_party_size=6; trainer_role=KANTO_CERTIFICATION_GYM_LEADER; difficulty=HIGH_CHALLENGE_BOSS; primary_gimmick=MEGA; physical map/object/script/flag/address facts are unchanged and fail closed,758,758,RETAIN_UNIQUE_ORIGINAL_ID
ENC_KANTO_BOSS_LEAGUE_01,KANTO,KANTO_LEAGUE_APPROACH_CERT_8,TRAINER_KEY_KANTO_LEAGUE_01,759,IDENTITY_TRAINER_KEY_KANTO_LEAGUE_01,KANTO_DUNGEON_POKEMON_LEAGUE_LORELEIS_ROOM,97,75,object,0,1,6,5,3,OBJ_EVENT_GFX_LORELEI,MOVEMENT_TYPE_FACE_DOWN,0,progress::PokemonLeague_LoreleisRoom,TRAINER_BATTLE_SINGLE,NONE,INITIAL,NONE,false,TALK_TO_START_CURRENT_PROGRESSION_OBJECT,CURRENT_KANTO_CERT_OR_LEAGUE_SEQUENCE,FLAG_LEAGUE_01_DEFEATED,PARTY_KANTO_BOSS_LEAGUE_01,AI_FULL_SMART,[],REWARD_KANTO_BOSS_LEAGUE_01,DIALOGUE_KANTO_BOSS_LEAGUE_01,EXISTING_ROM_VERIFIED,current production battle; map=KANTO_DUNGEON_POKEMON_LEAGUE_LORELEIS_ROOM; local=1; trainer_id=759,Current party live fields retained. Ability/nature/EV/mechanic policy remain catalog-only.; TASK06 regional design: target_party_size=6; trainer_role=KANTO_LEAGUE_BOSS; difficulty=HIGH_CHALLENGE_BOSS; primary_gimmick=Z_MOVE; physical map/object/script/flag/address facts are unchanged and fail closed,759,759,RETAIN_UNIQUE_ORIGINAL_ID
ENC_KANTO_BOSS_LEAGUE_02,KANTO,KANTO_LEAGUE_APPROACH_CERT_8,TRAINER_KEY_KANTO_LEAGUE_02,760,IDENTITY_TRAINER_KEY_KANTO_LEAGUE_02,KANTO_DUNGEON_POKEMON_LEAGUE_BRUNOS_ROOM,97,76,object,0,1,6,5,3,OBJ_EVENT_GFX_BRUNO,MOVEMENT_TYPE_FACE_DOWN,0,progress::PokemonLeague_BrunosRoom,TRAINER_BATTLE_SINGLE,NONE,INITIAL,NONE,false,TALK_TO_START_CURRENT_PROGRESSION_OBJECT,CURRENT_KANTO_CERT_OR_LEAGUE_SEQUENCE,FLAG_LEAGUE_02_DEFEATED,PARTY_KANTO_BOSS_LEAGUE_02,AI_FULL_SMART,[],REWARD_KANTO_BOSS_LEAGUE_02,DIALOGUE_KANTO_BOSS_LEAGUE_02,EXISTING_ROM_VERIFIED,current production battle; map=KANTO_DUNGEON_POKEMON_LEAGUE_BRUNOS_ROOM; local=1; trainer_id=760,Current party live fields retained. Ability/nature/EV/mechanic policy remain catalog-only.; TASK06 regional design: target_party_size=6; trainer_role=KANTO_LEAGUE_BOSS; difficulty=HIGH_CHALLENGE_BOSS; primary_gimmick=MEGA; physical map/object/script/flag/address facts are unchanged and fail closed,760,760,RETAIN_UNIQUE_ORIGINAL_ID
