party_key,slot,species_key,form_key,level,held_item_key,move1_key,move2_key,move3_key,move4_key,iv_floor,ability_key,nature_key,hp_ev,atk_ev,def_ev,spa_ev,spd_ev,spe_ev,tactical_role,lead_or_ace,field_runtime_status,legality_evidence,phase_fairness_evidence,notes
PARTY_KANTO_BOSS_GYM_01,1,SPECIES_KEY_GARGANACL,NONE,78,ITEM_KEY_LEFTOVERS,MOVE_KEY_SALTCURE,MOVE_KEY_RECOVER,MOVE_KEY_BODYPRESS,MOVE_KEY_STEALTHROCK,31,ABILITY_KEY_PURIFYINGSALT,NATURE_ADAMANT,252,252,0,0,4,0,先発・削り,LEAD,species|form|level|held_item|moves|iv_floor=LIVE_CURRENT_ABI;ability|nature|ev_spread=CATALOG_ONLY,supplied manifest TRAINER_KEY_KANTO_GYM_01:1; TASK06 registry check; IV=31; EV profile=BULKY_PHYSICAL; total=508<=510; nature=NATURE_ADAMANT,Kanto fixed high-difficulty optional progression; level 78-100 cap; regional fixed level 78-80; global level_policy=FIXED_KANTO_CERT_HIGH_BAND KANTO_NORTH_WEST_CERT_1_3 / L78-80; coreは上限-2以上、aceはL80、certificate/map population固定、Tohoku帯流用・player-level scaling禁止、hard cap=100。; no player scaling,ability/nature/EV_SPREAD_ROLE_510 are catalog-only; mechanic=NONE; TASK06 functional tags=TEMPO_CONTROL+BULKY_PIVOT; ability/nature/EV remain CATALOG_ONLY until final consumer integration
PARTY_KANTO_BOSS_GYM_01,2,SPECIES_KEY_KLEAVOR,NONE,78,ITEM_KEY_FOCUS_SASH,MOVE_KEY_STONEAXE,MOVE_KEY_XSCISSOR,MOVE_KEY_NIGHTSLASH,MOVE_KEY_QUICKATTACK,31,ABILITY_KEY_SHARPNESS,NATURE_JOLLY,4,252,0,0,0,252,設置兼速攻,CORE,species|form|level|held_item|moves|iv_floor=LIVE_CURRENT_ABI;ability|nature|ev_spread=CATALOG_ONLY,supplied manifest TRAINER_KEY_KANTO_GYM_01:2; TASK06 registry check; IV=31; EV profile=FAST_PHYSICAL; total=508<=510; nature=NATURE_JOLLY,Kanto fixed high-difficulty optional progression; level 78-100 cap; regional fixed level 78-80; global level_policy=FIXED_KANTO_CERT_HIGH_BAND KANTO_NORTH_WEST_CERT_1_3 / L78-80; coreは上限-2以上、aceはL80、certificate/map population固定、Tohoku帯流用・player-level scaling禁止、hard cap=100。; no player scaling,ability/nature/EV_SPREAD_ROLE_510 are catalog-only; mechanic=NONE; TASK06 functional tags=TEMPO_CONTROL+PHYSICAL_BREAKER+SPEED_CONTROL_PRIORITY; ability/nature/EV remain CATALOG_ONLY until final consumer integration
PARTY_KANTO_BOSS_GYM_01,3,SPECIES_KEY_COALOSSAL,NONE,79,ITEM_KEY_WEAKNESS_POLICY,MOVE_KEY_HEATCRASH,MOVE_KEY_ROCKBLAST,MOVE_KEY_BODYPRESS,MOVE_KEY_TARSHOT,31,ABILITY_KEY_STEAMENGINE,NATURE_ADAMANT,4,252,0,0,0,252,弱点誘発,CORE,species|form|level|held_item|moves|iv_floor=LIVE_CURRENT_ABI;ability|nature|ev_spread=CATALOG_ONLY,supplied manifest TRAINER_KEY_KANTO_GYM_01:3; TASK06 registry check; IV=31; EV profile=FAST_PHYSICAL; total=508<=510; nature=NATURE_ADAMANT,Kanto fixed high-difficulty optional progression; level 78-100 cap; regional fixed level 78-80; global level_policy=FIXED_KANTO_CERT_HIGH_BAND KANTO_NORTH_WEST_CERT_1_3 / L78-80; coreは上限-2以上、aceはL80、certificate/map population固定、Tohoku帯流用・player-level scaling禁止、hard cap=100。; no player scaling,ability/nature/EV_SPREAD_ROLE_510 are catalog-only; mechanic=NONE; TASK06 functional tags=PHYSICAL_BREAKER; ability/nature/EV remain CATALOG_ONLY until final consumer integration
PARTY_KANTO_BOSS_GYM_01,4,SPECIES_KEY_RHYPERIOR,NONE,79,ITEM_KEY_ASSAULT_VEST,MOVE_KEY_EARTHQUAKE,MOVE_KEY_ROCKWRECKER,MOVE_KEY_ICEPUNCH,MOVE_KEY_HAMMERARM,31,ABILITY_KEY_SOLIDROCK,NATURE_CAREFUL,252,0,4,0,252,0,特殊受け崩し,CORE,species|form|level|held_item|moves|iv_floor=LIVE_CURRENT_ABI;ability|nature|ev_spread=CATALOG_ONLY,supplied manifest TRAINER_KEY_KANTO_GYM_01:4; TASK06 registry check; IV=31; EV profile=SPECIAL_WALL; total=508<=510; nature=NATURE_CAREFUL,Kanto fixed high-difficulty optional progression; level 78-100 cap; regional fixed level 78-80; global level_policy=FIXED_KANTO_CERT_HIGH_BAND KANTO_NORTH_WEST_CERT_1_3 / L78-80; coreは上限-2以上、aceはL80、certificate/map population固定、Tohoku帯流用・player-level scaling禁止、hard cap=100。; no player scaling,ability/nature/EV_SPREAD_ROLE_510 are catalog-only; mechanic=NONE; TASK06 functional tags=PHYSICAL_BREAKER+BULKY_PIVOT; ability/nature/EV remain CATALOG_ONLY until final consumer integration
PARTY_KANTO_BOSS_GYM_01,5,SPECIES_KEY_CRUSTLE,NONE,78,ITEM_KEY_WHITE_HERB,MOVE_KEY_SHELLSMASH,MOVE_KEY_ROCKSLIDE,MOVE_KEY_XSCISSOR,MOVE_KEY_EARTHQUAKE,31,ABILITY_KEY_STURDY,NATURE_ADAMANT,4,252,0,0,0,252,積みエース,CORE,species|form|level|held_item|moves|iv_floor=LIVE_CURRENT_ABI;ability|nature|ev_spread=CATALOG_ONLY,supplied manifest TRAINER_KEY_KANTO_GYM_01:5; TASK06 registry check; IV=31; EV profile=FAST_PHYSICAL; total=508<=510; nature=NATURE_ADAMANT,Kanto fixed high-difficulty optional progression; level 78-100 cap; regional fixed level 78-80; global level_policy=FIXED_KANTO_CERT_HIGH_BAND KANTO_NORTH_WEST_CERT_1_3 / L78-80; coreは上限-2以上、aceはL80、certificate/map population固定、Tohoku帯流用・player-level scaling禁止、hard cap=100。; no player scaling,ability/nature/EV_SPREAD_ROLE_510 are catalog-only; mechanic=NONE; TASK06 functional tags=PHYSICAL_BREAKER+CLEANER_ACE; ability/nature/EV remain CATALOG_ONLY until final consumer integration
PARTY_KANTO_BOSS_GYM_01,6,SPECIES_KEY_AERODACTYL,NONE,80,ITEM_KEY_FOCUS_SASH,MOVE_KEY_STONEEDGE,MOVE_KEY_DUALWINGBEAT,MOVE_KEY_ICEFANG,MOVE_KEY_EARTHQUAKE,31,ABILITY_KEY_TOUGHCLAWS,NATURE_ADAMANT,4,252,0,0,0,252,切り札,ACE,species|form|level|held_item|moves|iv_floor=LIVE_CURRENT_ABI;ability|nature|ev_spread=CATALOG_ONLY,supplied manifest TRAINER_KEY_KANTO_GYM_01:6; TASK06 registry check; IV=31; EV profile=FAST_PHYSICAL; total=508<=510; nature=NATURE_ADAMANT,Kanto fixed high-difficulty optional progression; level 78-100 cap; regional fixed level 78-80; global level_policy=FIXED_KANTO_CERT_HIGH_BAND KANTO_NORTH_WEST_CERT_1_3 / L78-80; coreは上限-2以上、aceはL80、certificate/map population固定、Tohoku帯流用・player-level scaling禁止、hard cap=100。; no player scaling,ability/nature/EV_SPREAD_ROLE_510 are catalog-only; mechanic=MEGA; TASK06 item decision: ITEM_KEY_AERODACTYLITE->ITEM_KEY_FOCUS_SASH for primary_gimmick=NONE; TASK06 functional tags=PHYSICAL_BREAKER+CLEANER_ACE; ability/nature/EV remain CATALOG_ONLY until final consumer integration
PARTY_KANTO_BOSS_GYM_02,1,SPECIES_KEY_PALAFIN,NONE,81,ITEM_KEY_MYSTIC_WATER,MOVE_KEY_FLIPTURN,MOVE_KEY_WAVECRASH,MOVE_KEY_JETPUNCH,MOVE_KEY_CLOSECOMBAT,31,ABILITY_KEY_WATERVEIL,NATURE_JOLLY,4,252,0,0,0,252,先発・交代で英雄化,LEAD,species|form|level|held_item|moves|iv_floor=LIVE_CURRENT_ABI;ability|nature|ev_spread=CATALOG_ONLY,supplied manifest TRAINER_KEY_KANTO_GYM_02:1; TASK06 registry check; IV=31; EV profile=FAST_PHYSICAL; total=508<=510; nature=NATURE_JOLLY,Kanto fixed high-difficulty optional progression; level 78-100 cap; regional fixed level 81-83; global level_policy=FIXED_KANTO_CERT_HIGH_BAND KANTO_NORTH_WEST_CERT_1_3 / L81-83; coreは上限-2以上、aceはL83、certificate/map population固定、Tohoku帯流用・player-level scaling禁止、hard cap=100。; no player scaling,ability/nature/EV_SPREAD_ROLE_510 are catalog-only; mechanic=NONE; TASK06 functional tags=TEMPO_CONTROL+PHYSICAL_BREAKER+BULKY_PIVOT+SPEED_CONTROL_PRIORITY; ability/nature/EV remain CATALOG_ONLY until final consumer integration
PARTY_KANTO_BOSS_GYM_02,2,SPECIES_KEY_BASCULEGION_M,NONE,81,ITEM_KEY_CHOICE_SCARF,MOVE_KEY_WAVECRASH,MOVE_KEY_LASTRESPECTS,MOVE_KEY_AQUAJET,MOVE_KEY_FLIPTURN,31,ABILITY_KEY_ADAPTABILITY,NATURE_JOLLY,4,252,0,0,0,252,高速掃除,CORE,species|form|level|held_item|moves|iv_floor=LIVE_CURRENT_ABI;ability|nature|ev_spread=CATALOG_ONLY,supplied manifest TRAINER_KEY_KANTO_GYM_02:2; TASK06 registry check; IV=31; EV profile=FAST_PHYSICAL; total=508<=510; nature=NATURE_JOLLY,Kanto fixed high-difficulty optional progression; level 78-100 cap; regional fixed level 81-83; global level_policy=FIXED_KANTO_CERT_HIGH_BAND KANTO_NORTH_WEST_CERT_1_3 / L81-83; coreは上限-2以上、aceはL83、certificate/map population固定、Tohoku帯流用・player-level scaling禁止、hard cap=100。; no player scaling,ability/nature/EV_SPREAD_ROLE_510 are catalog-only; mechanic=NONE; TASK06 functional tags=TEMPO_CONTROL+PHYSICAL_BREAKER+BULKY_PIVOT+SPEED_CONTROL_PRIORITY+CLEANER_ACE; ability/nature/EV remain CATALOG_ONLY until final consumer integration
PARTY_KANTO_BOSS_GYM_02,3,SPECIES_KEY_TOXAPEX,NONE,82,ITEM_KEY_BLACK_SLUDGE,MOVE_KEY_SCALD,MOVE_KEY_RECOVER,MOVE_KEY_TOXICSPIKES,MOVE_KEY_HAZE,31,ABILITY_KEY_REGENERATOR,NATURE_MODEST,252,0,0,252,4,0,受け・設置,CORE,species|form|level|held_item|moves|iv_floor=LIVE_CURRENT_ABI;ability|nature|ev_spread=CATALOG_ONLY,supplied manifest TRAINER_KEY_KANTO_GYM_02:3; TASK06 registry check; IV=31; EV profile=BULKY_SPECIAL; total=508<=510; nature=NATURE_MODEST,Kanto fixed high-difficulty optional progression; level 78-100 cap; regional fixed level 81-83; global level_policy=FIXED_KANTO_CERT_HIGH_BAND KANTO_NORTH_WEST_CERT_1_3 / L81-83; coreは上限-2以上、aceはL83、certificate/map population固定、Tohoku帯流用・player-level scaling禁止、hard cap=100。; no player scaling,ability/nature/EV_SPREAD_ROLE_510 are catalog-only; mechanic=NONE; TASK06 functional tags=TEMPO_CONTROL+BULKY_PIVOT; ability/nature/EV remain CATALOG_ONLY until final consumer integration
PARTY_KANTO_BOSS_GYM_02,4,SPECIES_KEY_ROTOM,NONE,82,ITEM_KEY_VEGA_142,MOVE_KEY_HYDROPUMP,MOVE_KEY_VOLTSWITCH,MOVE_KEY_WILLOWISP,MOVE_KEY_PROTECT,31,ABILITY_KEY_LEVITATE,NATURE_MODEST,252,0,0,252,4,0,対面操作,CORE,species|form|level|held_item|moves|iv_floor=LIVE_CURRENT_ABI;ability|nature|ev_spread=CATALOG_ONLY,supplied manifest TRAINER_KEY_KANTO_GYM_02:4; TASK06 registry check; IV=31; EV profile=BULKY_SPECIAL; total=508<=510; nature=NATURE_MODEST,Kanto fixed high-difficulty optional progression; level 78-100 cap; regional fixed level 81-83; global level_policy=FIXED_KANTO_CERT_HIGH_BAND KANTO_NORTH_WEST_CERT_1_3 / L81-83; coreは上限-2以上、aceはL83、certificate/map population固定、Tohoku帯流用・player-level scaling禁止、hard cap=100。; no player scaling,ability/nature/EV_SPREAD_ROLE_510 are catalog-only; mechanic=NONE; TASK06 functional tags=TEMPO_CONTROL+SPECIAL_BREAKER+BULKY_PIVOT; ability/nature/EV remain CATALOG_ONLY until final consumer integration
