encounter_key,trainer_key,trainer_id,map_event_owner,object_or_script_address,record_address,party_pointer,party_record_kind,party_stride,defeat_flag_key,rematch_state_key,serializer_owner,status,evidence,original_trainer_id,runtime_trainer_id,trainer_id_allocation_reason
ENC_KANTO_BOSS_GYM_01,TRAINER_KEY_KANTO_GYM_01,751,KANTO_INDOOR_PEWTER_CITY_GYM,source_object_index=0;local_id=1,gTrainers[751],CURRENT_STAGE19_POINTER,ITEM_CUSTOM_MOVES,16,FLAG_GYM_01_DEFEATED,NONE,CURRENT_KANTO_PROGRESSION,EXISTING_ROM_VERIFIED,species|level|held_item|moves|iv_floor|ai_profile,751,751,RETAIN_UNIQUE_ORIGINAL_ID
ENC_KANTO_BOSS_GYM_02,TRAINER_KEY_KANTO_GYM_02,752,KANTO_INDOOR_CERULEAN_CITY_GYM,source_object_index=2;local_id=1,gTrainers[752],CURRENT_STAGE19_POINTER,ITEM_CUSTOM_MOVES,16,FLAG_GYM_02_DEFEATED,NONE,CURRENT_KANTO_PROGRESSION,EXISTING_ROM_VERIFIED,species|level|held_item|moves|iv_floor|ai_profile,752,752,RETAIN_UNIQUE_ORIGINAL_ID
ENC_KANTO_BOSS_GYM_03,TRAINER_KEY_KANTO_GYM_03,753,KANTO_INDOOR_VERMILION_CITY_GYM,source_object_index=0;local_id=1,gTrainers[753],CURRENT_STAGE19_POINTER,ITEM_CUSTOM_MOVES,16,FLAG_GYM_03_DEFEATED,NONE,CURRENT_KANTO_PROGRESSION,EXISTING_ROM_VERIFIED,species|level|held_item|moves|iv_floor|ai_profile,753,753,RETAIN_UNIQUE_ORIGINAL_ID
ENC_KANTO_BOSS_GYM_04,TRAINER_KEY_KANTO_GYM_04,754,KANTO_INDOOR_CELADON_CITY_GYM,source_object_index=6;local_id=1,gTrainers[754],CURRENT_STAGE19_POINTER,ITEM_CUSTOM_MOVES,16,FLAG_GYM_04_DEFEATED,NONE,CURRENT_KANTO_PROGRESSION,EXISTING_ROM_VERIFIED,species|level|held_item|moves|iv_floor|ai_profile,754,754,RETAIN_UNIQUE_ORIGINAL_ID
ENC_KANTO_BOSS_GYM_05,TRAINER_KEY_KANTO_GYM_05,755,KANTO_INDOOR_FUCHSIA_CITY_GYM,source_object_index=6;local_id=1,gTrainers[755],CURRENT_STAGE19_POINTER,ITEM_CUSTOM_MOVES,16,FLAG_GYM_05_DEFEATED,NONE,CURRENT_KANTO_PROGRESSION,EXISTING_ROM_VERIFIED,species|level|held_item|moves|iv_floor|ai_profile,755,755,RETAIN_UNIQUE_ORIGINAL_ID
ENC_KANTO_BOSS_GYM_06,TRAINER_KEY_KANTO_GYM_06,756,KANTO_INDOOR_SAFFRON_CITY_GYM,source_object_index=6;local_id=1,gTrainers[756],CURRENT_STAGE19_POINTER,ITEM_CUSTOM_MOVES,16,FLAG_GYM_06_DEFEATED,NONE,CURRENT_KANTO_PROGRESSION,EXISTING_ROM_VERIFIED,species|level|held_item|moves|iv_floor|ai_profile,756,756,RETAIN_UNIQUE_ORIGINAL_ID
ENC_KANTO_BOSS_GYM_07,TRAINER_KEY_KANTO_GYM_07,757,KANTO_INDOOR_CINNABAR_ISLAND_GYM,source_object_index=7;local_id=1,gTrainers[757],CURRENT_STAGE19_POINTER,ITEM_CUSTOM_MOVES,16,FLAG_GYM_07_DEFEATED,NONE,CURRENT_KANTO_PROGRESSION,EXISTING_ROM_VERIFIED,species|level|held_item|moves|iv_floor|ai_profile,757,757,RETAIN_UNIQUE_ORIGINAL_ID
ENC_KANTO_BOSS_GYM_08,TRAINER_KEY_KANTO_GYM_08,758,KANTO_INDOOR_VIRIDIAN_CITY_GYM,source_object_index=7;local_id=1,gTrainers[758],CURRENT_STAGE19_POINTER,ITEM_CUSTOM_MOVES,16,FLAG_GYM_08_DEFEATED,NONE,CURRENT_KANTO_PROGRESSION,EXISTING_ROM_VERIFIED,species|level|held_item|moves|iv_floor|ai_profile,758,758,RETAIN_UNIQUE_ORIGINAL_ID
ENC_KANTO_BOSS_LEAGUE_01,TRAINER_KEY_KANTO_LEAGUE_01,759,KANTO_DUNGEON_POKEMON_LEAGUE_LORELEIS_ROOM,source_object_index=0;local_id=1,gTrainers[759],CURRENT_STAGE19_POINTER,ITEM_CUSTOM_MOVES,16,FLAG_LEAGUE_01_DEFEATED,NONE,CURRENT_KANTO_PROGRESSION,EXISTING_ROM_VERIFIED,species|level|held_item|moves|iv_floor|ai_profile,759,759,RETAIN_UNIQUE_ORIGINAL_ID
ENC_KANTO_BOSS_LEAGUE_02,TRAINER_KEY_KANTO_LEAGUE_02,760,KANTO_DUNGEON_POKEMON_LEAGUE_BRUNOS_ROOM,source_object_index=0;local_id=1,gTrainers[760],CURRENT_STAGE19_POINTER,ITEM_CUSTOM_MOVES,16,FLAG_LEAGUE_02_DEFEATED,NONE,CURRENT_KANTO_PROGRESSION,EXISTING_ROM_VERIFIED,species|level|held_item|moves|iv_floor|ai_profile,760,760,RETAIN_UNIQUE_ORIGINAL_ID
ENC_KANTO_BOSS_LEAGUE_03,TRAINER_KEY_KANTO_LEAGUE_03,761,KANTO_DUNGEON_POKEMON_LEAGUE_AGATHAS_ROOM,source_object_index=0;local_id=1,gTrainers[761],CURRENT_STAGE19_POINTER,ITEM_CUSTOM_MOVES,16,FLAG_LEAGUE_03_DEFEATED,NONE,CURRENT_KANTO_PROGRESSION,EXISTING_ROM_VERIFIED,species|level|held_item|moves|iv_floor|ai_profile,761,761,RETAIN_UNIQUE_ORIGINAL_ID
ENC_KANTO_BOSS_LEAGUE_04,TRAINER_KEY_KANTO_LEAGUE_04,762,KANTO_DUNGEON_POKEMON_LEAGUE_LANCES_ROOM,source_object_index=0;local_id=1,gTrainers[762],CURRENT_STAGE19_POINTER,ITEM_CUSTOM_MOVES,16,FLAG_LEAGUE_04_DEFEATED,NONE,CURRENT_KANTO_PROGRESSION,EXISTING_ROM_VERIFIED,species|level|held_item|moves|iv_floor|ai_profile,762,762,RETAIN_UNIQUE_ORIGINAL_ID
ENC_KANTO_BOSS_LEAGUE_05,TRAINER_KEY_KANTO_LEAGUE_05,763,KANTO_DUNGEON_POKEMON_LEAGUE_CHAMPIONS_ROOM,source_object_index=0;local_id=1,gTrainers[763],CURRENT_STAGE19_POINTER,ITEM_CUSTOM_MOVES,16,FLAG_LEAGUE_05_DEFEATED,NONE,CURRENT_KANTO_PROGRESSION,EXISTING_ROM_VERIFIED,species|level|held_item|moves|iv_floor|ai_profile,763,763,RETAIN_UNIQUE_ORIGINAL_ID
ENC_KANTO_ROUTE_001,TRAINER_KEY_KANTO_ROUTE_001,4096,KANTO_DUNGEON_MT_MOON_1_F,"source_object=0@(20,26,3)",ALLOCATOR::TRAINER_RECORD::TRAINER_KEY_KANTO_ROUTE_001,ALLOCATOR::PARTY::PARTY_KANTO_ROUTE_001,ITEM_CUSTOM_MOVES,16,FLAG_KANTO_ROUTE_001_DEFEATED,NONE,src/serialize_kanto_population.py,DESIGN_COMPLETE_PHYSICAL_AUDIT_REQUIRED,candidate coordinates from imported FireRed map object catalog; story IDs/flags intentionally not imported,4096,4096,RETAIN_KANTO_ALLOCATED_ID
