encounter_key,runtime_trainer_id,source_trainer_id,original_trainer_id,binding_mode,command_address,trainerbattle_kind,battle_type,battle_format,party_key,ai_profile_key,gimmick_type,gimmick_user_party_slot,gimmick_required_item_key,source_template_id,physical_flag,unlock_expression,dialogue_set_key,reward_key,original_binding_owner
ENC_KANTO_BOSS_GYM_01,751,751,751,KANTO_NEW,source_object_index=0;local_id=1,0,TRAINER_BATTLE_SINGLE,SINGLE,PARTY_KANTO_BOSS_GYM_01,AI_FULL_SMART,NONE,0,ITEM_KEY_NONE,INSTANCE::PARTY_KANTO_BOSS_GYM_01,FLAG_GYM_01_DEFEATED,CURRENT_KANTO_CERT_OR_LEAGUE_SEQUENCE,DIALOGUE_KANTO_BOSS_GYM_01,REWARD_KANTO_BOSS_GYM_01,KANTO_INDOOR_PEWTER_CITY_GYM
ENC_KANTO_BOSS_GYM_02,752,752,752,KANTO_NEW,source_object_index=2;local_id=1,0,TRAINER_BATTLE_SINGLE,SINGLE,PARTY_KANTO_BOSS_GYM_02,AI_FULL_SMART,NONE,0,ITEM_KEY_NONE,INSTANCE::PARTY_KANTO_BOSS_GYM_02,FLAG_GYM_02_DEFEATED,CURRENT_KANTO_CERT_OR_LEAGUE_SEQUENCE,DIALOGUE_KANTO_BOSS_GYM_02,REWARD_KANTO_BOSS_GYM_02,KANTO_INDOOR_CERULEAN_CITY_GYM
ENC_KANTO_BOSS_GYM_03,753,753,753,KANTO_NEW,source_object_index=0;local_id=1,0,TRAINER_BATTLE_SINGLE,SINGLE,PARTY_KANTO_BOSS_GYM_03,AI_FULL_SMART,NONE,0,ITEM_KEY_NONE,INSTANCE::PARTY_KANTO_BOSS_GYM_03,FLAG_GYM_03_DEFEATED,CURRENT_KANTO_CERT_OR_LEAGUE_SEQUENCE,DIALOGUE_KANTO_BOSS_GYM_03,REWARD_KANTO_BOSS_GYM_03,KANTO_INDOOR_VERMILION_CITY_GYM
ENC_KANTO_BOSS_GYM_04,754,754,754,KANTO_NEW,source_object_index=6;local_id=1,0,TRAINER_BATTLE_SINGLE,SINGLE,PARTY_KANTO_BOSS_GYM_04,AI_FULL_SMART,NONE,0,ITEM_KEY_NONE,INSTANCE::PARTY_KANTO_BOSS_GYM_04,FLAG_GYM_04_DEFEATED,CURRENT_KANTO_CERT_OR_LEAGUE_SEQUENCE,DIALOGUE_KANTO_BOSS_GYM_04,REWARD_KANTO_BOSS_GYM_04,KANTO_INDOOR_CELADON_CITY_GYM
ENC_KANTO_BOSS_GYM_05,755,755,755,KANTO_NEW,source_object_index=6;local_id=1,0,TRAINER_BATTLE_SINGLE,SINGLE,PARTY_KANTO_BOSS_GYM_05,AI_FULL_SMART,MEGA,6,ITEM_KEY_BEEDRILLITE,INSTANCE::PARTY_KANTO_BOSS_GYM_05,FLAG_GYM_05_DEFEATED,CURRENT_KANTO_CERT_OR_LEAGUE_SEQUENCE,DIALOGUE_KANTO_BOSS_GYM_05,REWARD_KANTO_BOSS_GYM_05,KANTO_INDOOR_FUCHSIA_CITY_GYM
ENC_KANTO_BOSS_GYM_06,756,756,756,KANTO_NEW,source_object_index=6;local_id=1,0,TRAINER_BATTLE_SINGLE,SINGLE,PARTY_KANTO_BOSS_GYM_06,AI_FULL_SMART,MEGA,6,ITEM_KEY_ALAKAZITE,INSTANCE::PARTY_KANTO_BOSS_GYM_06,FLAG_GYM_06_DEFEATED,CURRENT_KANTO_CERT_OR_LEAGUE_SEQUENCE,DIALOGUE_KANTO_BOSS_GYM_06,REWARD_KANTO_BOSS_GYM_06,KANTO_INDOOR_SAFFRON_CITY_GYM
ENC_KANTO_BOSS_GYM_07,757,757,757,KANTO_NEW,source_object_index=7;local_id=1,0,TRAINER_BATTLE_SINGLE,SINGLE,PARTY_KANTO_BOSS_GYM_07,AI_FULL_SMART,MEGA,6,ITEM_KEY_CHARIZARDITE_Y,INSTANCE::PARTY_KANTO_BOSS_GYM_07,FLAG_GYM_07_DEFEATED,CURRENT_KANTO_CERT_OR_LEAGUE_SEQUENCE,DIALOGUE_KANTO_BOSS_GYM_07,REWARD_KANTO_BOSS_GYM_07,KANTO_INDOOR_CINNABAR_ISLAND_GYM
ENC_KANTO_BOSS_GYM_08,758,758,758,KANTO_NEW,source_object_index=7;local_id=1,0,TRAINER_BATTLE_SINGLE,SINGLE,PARTY_KANTO_BOSS_GYM_08,AI_FULL_SMART,MEGA,6,ITEM_KEY_PIDGEOTITE,INSTANCE::PARTY_KANTO_BOSS_GYM_08,FLAG_GYM_08_DEFEATED,CURRENT_KANTO_CERT_OR_LEAGUE_SEQUENCE,DIALOGUE_KANTO_BOSS_GYM_08,REWARD_KANTO_BOSS_GYM_08,KANTO_INDOOR_VIRIDIAN_CITY_GYM
ENC_KANTO_BOSS_LEAGUE_01,759,759,759,KANTO_NEW,source_object_index=0;local_id=1,0,TRAINER_BATTLE_SINGLE,SINGLE,PARTY_KANTO_BOSS_LEAGUE_01,AI_FULL_SMART,Z_MOVE,6,ITEM_KEY_ICIUM_Z,INSTANCE::PARTY_KANTO_BOSS_LEAGUE_01,FLAG_LEAGUE_01_DEFEATED,CURRENT_KANTO_CERT_OR_LEAGUE_SEQUENCE,DIALOGUE_KANTO_BOSS_LEAGUE_01,REWARD_KANTO_BOSS_LEAGUE_01,KANTO_DUNGEON_POKEMON_LEAGUE_LORELEIS_ROOM
ENC_KANTO_BOSS_LEAGUE_02,760,760,760,KANTO_NEW,source_object_index=0;local_id=1,0,TRAINER_BATTLE_SINGLE,SINGLE,PARTY_KANTO_BOSS_LEAGUE_02,AI_FULL_SMART,MEGA,6,ITEM_KEY_HERACRONITE,INSTANCE::PARTY_KANTO_BOSS_LEAGUE_02,FLAG_LEAGUE_02_DEFEATED,CURRENT_KANTO_CERT_OR_LEAGUE_SEQUENCE,DIALOGUE_KANTO_BOSS_LEAGUE_02,REWARD_KANTO_BOSS_LEAGUE_02,KANTO_DUNGEON_POKEMON_LEAGUE_BRUNOS_ROOM
