species_key,id,vega_id,dpe_id,dpe_symbol,classification,display_name,form_key,is_official,canonical_national_dex,review_state,status,notes
SPECIES_KEY_VEGA_001,1,1,,,VEGA_ORIGINAL,リープン,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_VEGA_004,4,4,,,VEGA_ORIGINAL,ファマー,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_VEGA_007,7,7,,,VEGA_ORIGINAL,アクタシ,,false,0,REVIEWED_VEGA_ORIGINAL,FROZEN,
SPECIES_KEY_PINECO,39,39,204,SPECIES_PINECO,VEGA_DPE_CANONICAL,クヌギダマ,,true,204,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_DWEBBLE,317,317,610,SPECIES_DWEBBLE,VEGA_DPE_CANONICAL,イシズマイ,,true,557,AUTO_REVIEWED_UNIQUE_NAME,FROZEN,
SPECIES_KEY_CATERPIE,412,,10,SPECIES_CATERPIE,DPE_SPECIES_APPEND,キャタピー,,true,10,REVIEWED_DPE_APPEND,APPENDED,
SPECIES_KEY_PIDGEY,418,,16,SPECIES_PIDGEY,DPE_SPECIES_APPEND,ポッポ,,true,16,REVIEWED_DPE_APPEND,APPENDED,
SPECIES_KEY_SCATTERBUG,953,,772,SPECIES_SCATTERBUG,DPE_SPECIES_APPEND,コフキムシ,,true,664,REVIEWED_DPE_APPEND,APPENDED,
SPECIES_KEY_LECHONK,1484,,1303,SPECIES_LECHONK,DPE_SPECIES_APPEND,グルトン,,true,915,REVIEWED_DPE_APPEND,APPENDED,
SPECIES_KEY_TAROUNTULA,1487,,1306,SPECIES_TAROUNTULA,DPE_SPECIES_APPEND,タマンチュラ,,true,917,REVIEWED_DPE_APPEND,APPENDED,
SPECIES_KEY_NYMBLE,1489,,1308,SPECIES_NYMBLE,DPE_SPECIES_APPEND,マメバッタ,,true,919,REVIEWED_DPE_APPEND,APPENDED,
SPECIES_KEY_PAWMI,1491,,1310,SPECIES_PAWMI,DPE_SPECIES_APPEND,パモ,,true,921,REVIEWED_DPE_APPEND,APPENDED,
SPECIES_KEY_FIDOUGH,1497,,1316,SPECIES_FIDOUGH,DPE_SPECIES_APPEND,パピモッチ,,true,926,REVIEWED_DPE_APPEND,APPENDED,
