ability_key,id,vega_id,cfru_id,cfru_symbol,dpe_symbol,classification,display_name,description_key,effect_key,runtime_binding,status,notes
ABILITY_KEY_STURDY,5,5,5,ABILITY_STURDY,ABILITY_STURDY,VEGA_CFRU_CANONICAL,がんじょう,ABILITY_DESC_STURDY,ABILITY_EFFECT_STURDY,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_STATIC,9,9,9,ABILITY_STATIC,ABILITY_STATIC,VEGA_CFRU_CANONICAL,せいでんき,ABILITY_DESC_STATIC,ABILITY_EFFECT_STATIC,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_COMPOUNDEYES,14,14,14,ABILITY_COMPOUNDEYES,ABILITY_COMPOUNDEYES,VEGA_CFRU_CANONICAL,ふくがん,ABILITY_DESC_COMPOUNDEYES,ABILITY_EFFECT_COMPOUNDEYES,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_INSOMNIA,15,15,15,ABILITY_INSOMNIA,ABILITY_INSOMNIA,VEGA_CFRU_CANONICAL,ふみん,ABILITY_DESC_INSOMNIA,ABILITY_EFFECT_INSOMNIA,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_SHIELDDUST,19,19,19,ABILITY_SHIELDDUST,ABILITY_SHIELDDUST,VEGA_CFRU_CANONICAL,りんぷん,ABILITY_DESC_SHIELDDUST,ABILITY_EFFECT_SHIELDDUST,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_OWNTEMPO,20,20,20,ABILITY_OWNTEMPO,ABILITY_OWNTEMPO,VEGA_CFRU_CANONICAL,マイペース,ABILITY_DESC_OWNTEMPO,ABILITY_EFFECT_OWNTEMPO,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_KEENEYE,51,51,51,ABILITY_KEENEYE,ABILITY_KEENEYE,VEGA_CFRU_CANONICAL,するどいめ,ABILITY_DESC_KEENEYE,ABILITY_EFFECT_KEENEYE,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_OVERGROW,65,65,65,ABILITY_OVERGROW,ABILITY_OVERGROW,VEGA_CFRU_CANONICAL,しんりょく,ABILITY_DESC_OVERGROW,ABILITY_EFFECT_OVERGROW,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_BLAZE,66,66,66,ABILITY_BLAZE,ABILITY_BLAZE,VEGA_CFRU_CANONICAL,もうか,ABILITY_DESC_BLAZE,ABILITY_EFFECT_BLAZE,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_TORRENT,67,67,67,ABILITY_TORRENT,ABILITY_TORRENT,VEGA_CFRU_CANONICAL,げきりゅう,ABILITY_DESC_TORRENT,ABILITY_EFFECT_TORRENT,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_SWARM,68,68,68,ABILITY_SWARM,ABILITY_SWARM,VEGA_CFRU_CANONICAL,むしのしらせ,ABILITY_DESC_SWARM,ABILITY_EFFECT_SWARM,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_SIMPLE,87,NONE,86,ABILITY_SIMPLE,ABILITY_SIMPLE,CFRU_APPEND,たんじゅん,ABILITY_DESC_SIMPLE,ABILITY_EFFECT_SIMPLE,T06_CFRU_RUNTIME_BIND_PENDING,APPENDED,CFRU/DPE source ID alias generated
ABILITY_KEY_UNNERVE,128,NONE,127,ABILITY_UNNERVE,ABILITY_UNNERVE,CFRU_APPEND,きんちょうかん,ABILITY_DESC_UNNERVE,ABILITY_EFFECT_UNNERVE,T06_CFRU_RUNTIME_BIND_PENDING,APPENDED,CFRU/DPE source ID alias generated
ABILITY_KEY_AROMAVEIL,166,NONE,165,ABILITY_AROMAVEIL,ABILITY_AROMAVEIL,CFRU_APPEND,アロマベール,ABILITY_DESC_AROMAVEIL,ABILITY_EFFECT_AROMAVEIL,T06_CFRU_RUNTIME_BIND_PENDING,APPENDED,CFRU/DPE source ID alias generated
