encounter_key,region,story_phase,trainer_key,trainer_id,identity_key,physical_map_key,group_id,map_id,root_kind,root_index,local_id,x,y,elevation,graphics_id,movement_type,sight_range,script_key,battle_type,pair_or_partner_key,initial_or_rematch,rematch_tier,mandatory,avoidable_path_evidence,unlock_expression,defeat_state_key,party_key,ai_profile_key,trainer_item_keys,reward_key,dialogue_set_key,status,evidence,notes
ENC_TOHOKU_REF_0001,TOHOKU,TOHOKU_BADGE1_TO_2,TRAINER_KEY_TOHOKU_REF_0001,1024,IDENTITY_TOHOKU_T001_JP_LASS,VEGA_PHYSICAL_22_001,22,1,map_script,2:0,,,,,,PRESERVE_EXISTING_MAP_OBJECT,PRESERVE_EXISTING,SCRIPT_TRAINER_V5_TOHOKU_REF_0001,TRAINER_BATTLE_SINGLE_NO_INTRO_TEXT,NONE,INITIAL,NONE,true,SCRIPT_OWNED_MANDATORY,PRESERVE_EXISTING_SCRIPT_CONDITION,FLAG_TRAINER_V5_TOHOKU_REF_0001_DEFEATED,PARTY_TOHOKU_REF_0001,AI_BASIC,[],REWARD_TOHOKU_REF_0001,DIALOGUE_TOHOKU_REF_0001,READY_TO_SERIALIZE,reference_index=1; trainer_id=1; instruction=0x0842A553; script=0x0842A4EF; roots=1; logical=UNMAPPED_PHYSICAL,archetype=LASS; original_avg=8.50; map_median=8.50; instance-level replacement of TPL_S1_LASS; catalog-only ability/nature/EV are not tactical dependencies
ENC_TOHOKU_REF_0004,TOHOKU,TOHOKU_PROLOGUE_PRE_GYM1,TRAINER_KEY_TOHOKU_REF_0004,100,IDENTITY_TOHOKU_T100_JP_BUG,VEGA_PHYSICAL_03_021,3,21,object,11,12,11,25,,17,PRESERVE_EXISTING_MAP_OBJECT,PRESERVE_EXISTING,SCRIPT_TRAINER_V5_TOHOKU_REF_0004,TRAINER_BATTLE_REMATCH_DOUBLE,PAIR_ENC_TOHOKU_REF_0004,REMATCH,BATTLE_SEARCHER_TIER,false,EXISTING_OBJECT_SIGHTLINE;NO_GEOMETRY_CHANGE,PRESERVE_EXISTING_SCRIPT_CONDITION,FLAG_TRAINER_V5_TOHOKU_REF_0004_DEFEATED,PARTY_TOHOKU_REF_0004,AI_SEMI_SMART,[],REWARD_TOHOKU_REF_0004,DIALOGUE_TOHOKU_REF_0004,READY_TO_SERIALIZE,reference_index=4; trainer_id=100; instruction=0x081AAB40; script=0x081AAB40; roots=2; logical=T502,archetype=BUG; original_avg=6.00; map_median=7.50; instance-level replacement of TPL_S1_BUG; catalog-only ability/nature/EV are not tactical dependencies
ENC_TOHOKU_REF_0005,TOHOKU,TOHOKU_PROLOGUE_PRE_GYM1,TRAINER_KEY_TOHOKU_REF_0005,1026,IDENTITY_TOHOKU_T100_JP_BUG,VEGA_PHYSICAL_03_021,3,21,object,11,12,11,25,,17,PRESERVE_EXISTING_MAP_OBJECT,PRESERVE_EXISTING,SCRIPT_TRAINER_V5_TOHOKU_REF_0005,TRAINER_BATTLE_DOUBLE,PAIR_ENC_TOHOKU_REF_0005,REMATCH,BATTLE_SEARCHER_TIER,false,EXISTING_OBJECT_SIGHTLINE;NO_GEOMETRY_CHANGE,PRESERVE_EXISTING_SCRIPT_CONDITION,FLAG_TRAINER_V5_TOHOKU_REF_0005_DEFEATED,PARTY_TOHOKU_REF_0005,AI_SEMI_SMART,[],REWARD_TOHOKU_REF_0005,DIALOGUE_TOHOKU_REF_0005,READY_TO_SERIALIZE,reference_index=5; trainer_id=100; instruction=0x08E03600; script=0x08E03600; roots=2; logical=T502,archetype=BUG; original_avg=6.00; map_median=7.50; instance-level replacement of TPL_S1_BUG; catalog-only ability/nature/EV are not tactical dependencies
ENC_TOHOKU_REF_0006,TOHOKU,TOHOKU_BADGE1_TO_2,TRAINER_KEY_TOHOKU_REF_0006,101,IDENTITY_TOHOKU_T101_JP_CAMPER,VEGA_PHYSICAL_03_021,3,21,object,2,3,13,12,,39,PRESERVE_EXISTING_MAP_OBJECT,PRESERVE_EXISTING,SCRIPT_TRAINER_V5_TOHOKU_REF_0006,TRAINER_BATTLE_SINGLE,NONE,REMATCH,BATTLE_SEARCHER_TIER,false,EXISTING_OBJECT_SIGHTLINE;NO_GEOMETRY_CHANGE,PRESERVE_EXISTING_SCRIPT_CONDITION,FLAG_TRAINER_V5_TOHOKU_REF_0006_DEFEATED,PARTY_TOHOKU_REF_0006,AI_SEMI_SMART,[],REWARD_TOHOKU_REF_0006,DIALOGUE_TOHOKU_REF_0006,READY_TO_SERIALIZE,reference_index=6; trainer_id=101; instruction=0x08E03380; script=0x08E03380; roots=1; logical=T502,archetype=CAMPER; original_avg=7.50; map_median=7.50; instance-level replacement of TPL_S1_CAMPER; catalog-only ability/nature/EV are not tactical dependencies
ENC_TOHOKU_REF_0007,TOHOKU,TOHOKU_BADGE1_TO_2,TRAINER_KEY_TOHOKU_REF_0007,1027,IDENTITY_TOHOKU_T101_JP_CAMPER,VEGA_PHYSICAL_03_021,3,21,object,2,3,13,12,,39,PRESERVE_EXISTING_MAP_OBJECT,PRESERVE_EXISTING,SCRIPT_TRAINER_V5_TOHOKU_REF_0007,TRAINER_BATTLE_REMATCH,NONE,REMATCH,BATTLE_SEARCHER_TIER,false,EXISTING_OBJECT_SIGHTLINE;NO_GEOMETRY_CHANGE,PRESERVE_EXISTING_SCRIPT_CONDITION,FLAG_TRAINER_V5_TOHOKU_REF_0007_DEFEATED,PARTY_TOHOKU_REF_0007,AI_SEMI_SMART,[],REWARD_TOHOKU_REF_0007,DIALOGUE_TOHOKU_REF_0007,READY_TO_SERIALIZE,reference_index=7; trainer_id=101; instruction=0x08E033A8; script=0x08E033A8; roots=1; logical=T502,archetype=CAMPER; original_avg=7.50; map_median=7.50; instance-level replacement of TPL_S1_CAMPER; catalog-only ability/nature/EV are not tactical dependencies
ENC_TOHOKU_REF_0008,TOHOKU,TOHOKU_BADGE1_TO_2,TRAINER_KEY_TOHOKU_REF_0008,102,IDENTITY_TOHOKU_T102_JP_PICNICKER,VEGA_PHYSICAL_03_021,3,21,object,5,6,21,27,,40,PRESERVE_EXISTING_MAP_OBJECT,PRESERVE_EXISTING,SCRIPT_TRAINER_V5_TOHOKU_REF_0008,TRAINER_BATTLE_SINGLE,NONE,REMATCH,BATTLE_SEARCHER_TIER,false,EXISTING_OBJECT_SIGHTLINE;NO_GEOMETRY_CHANGE,PRESERVE_EXISTING_SCRIPT_CONDITION,FLAG_TRAINER_V5_TOHOKU_REF_0008_DEFEATED,PARTY_TOHOKU_REF_0008,AI_SEMI_SMART,[],REWARD_TOHOKU_REF_0008,DIALOGUE_TOHOKU_REF_0008,READY_TO_SERIALIZE,reference_index=8; trainer_id=102; instruction=0x08E033C0; script=0x08E033C0; roots=1; logical=T502,archetype=PICNICKER; original_avg=7.50; map_median=7.50; instance-level replacement of TPL_S1_CAMPER; catalog-only ability/nature/EV are not tactical dependencies
ENC_TOHOKU_REF_0009,TOHOKU,TOHOKU_BADGE1_TO_2,TRAINER_KEY_TOHOKU_REF_0009,1028,IDENTITY_TOHOKU_T102_JP_PICNICKER,VEGA_PHYSICAL_03_021,3,21,object,5,6,21,27,,40,PRESERVE_EXISTING_MAP_OBJECT,PRESERVE_EXISTING,SCRIPT_TRAINER_V5_TOHOKU_REF_0009,TRAINER_BATTLE_REMATCH,NONE,REMATCH,BATTLE_SEARCHER_TIER,false,EXISTING_OBJECT_SIGHTLINE;NO_GEOMETRY_CHANGE,PRESERVE_EXISTING_SCRIPT_CONDITION,FLAG_TRAINER_V5_TOHOKU_REF_0009_DEFEATED,PARTY_TOHOKU_REF_0009,AI_SEMI_SMART,[],REWARD_TOHOKU_REF_0009,DIALOGUE_TOHOKU_REF_0009,READY_TO_SERIALIZE,reference_index=9; trainer_id=102; instruction=0x08E033E8; script=0x08E033E8; roots=1; logical=T502,archetype=PICNICKER; original_avg=7.50; map_median=7.50; instance-level replacement of TPL_S1_CAMPER; catalog-only ability/nature/EV are not tactical dependencies
ENC_TOHOKU_REF_0010,TOHOKU,TOHOKU_PROLOGUE_PRE_GYM1,TRAINER_KEY_TOHOKU_REF_0010,103,IDENTITY_TOHOKU_T103_JP_CAMPER,VEGA_PHYSICAL_03_021,3,21,object,9,10,13,76,,18,PRESERVE_EXISTING_MAP_OBJECT,PRESERVE_EXISTING,SCRIPT_TRAINER_V5_TOHOKU_REF_0010,TRAINER_BATTLE_SINGLE,NONE,REMATCH,BATTLE_SEARCHER_TIER,false,EXISTING_OBJECT_SIGHTLINE;NO_GEOMETRY_CHANGE,PRESERVE_EXISTING_SCRIPT_CONDITION,FLAG_TRAINER_V5_TOHOKU_REF_0010_DEFEATED,PARTY_TOHOKU_REF_0010,AI_SEMI_SMART,[],REWARD_TOHOKU_REF_0010,DIALOGUE_TOHOKU_REF_0010,READY_TO_SERIALIZE,reference_index=10; trainer_id=103; instruction=0x08E03580; script=0x08E03580; roots=1; logical=T502,archetype=CAMPER; original_avg=6.67; map_median=7.50; instance-level replacement of TPL_S1_CAMPER; catalog-only ability/nature/EV are not tactical dependencies
ENC_TOHOKU_REF_0011,TOHOKU,TOHOKU_PROLOGUE_PRE_GYM1,TRAINER_KEY_TOHOKU_REF_0011,1029,IDENTITY_TOHOKU_T103_JP_CAMPER,VEGA_PHYSICAL_03_021,3,21,object,9,10,13,76,,18,PRESERVE_EXISTING_MAP_OBJECT,PRESERVE_EXISTING,SCRIPT_TRAINER_V5_TOHOKU_REF_0011,TRAINER_BATTLE_REMATCH,NONE,REMATCH,BATTLE_SEARCHER_TIER,false,EXISTING_OBJECT_SIGHTLINE;NO_GEOMETRY_CHANGE,PRESERVE_EXISTING_SCRIPT_CONDITION,FLAG_TRAINER_V5_TOHOKU_REF_0011_DEFEATED,PARTY_TOHOKU_REF_0011,AI_SEMI_SMART,[],REWARD_TOHOKU_REF_0011,DIALOGUE_TOHOKU_REF_0011,READY_TO_SERIALIZE,reference_index=11; trainer_id=103; instruction=0x08E035A8; script=0x08E035A8; roots=1; logical=T502,archetype=CAMPER; original_avg=6.67; map_median=7.50; instance-level replacement of TPL_S1_CAMPER; catalog-only ability/nature/EV are not tactical dependencies
ENC_TOHOKU_REF_0014,TOHOKU,TOHOKU_PROLOGUE_PRE_GYM1,TRAINER_KEY_TOHOKU_REF_0014,105,IDENTITY_TOHOKU_T105_JP_CAMPER,VEGA_PHYSICAL_03_021,3,21,object,10,11,5,49,,17,PRESERVE_EXISTING_MAP_OBJECT,PRESERVE_EXISTING,SCRIPT_TRAINER_V5_TOHOKU_REF_0014,TRAINER_BATTLE_SINGLE,NONE,REMATCH,BATTLE_SEARCHER_TIER,false,EXISTING_OBJECT_SIGHTLINE;NO_GEOMETRY_CHANGE,PRESERVE_EXISTING_SCRIPT_CONDITION,FLAG_TRAINER_V5_TOHOKU_REF_0014_DEFEATED,PARTY_TOHOKU_REF_0014,AI_SEMI_SMART,[],REWARD_TOHOKU_REF_0014,DIALOGUE_TOHOKU_REF_0014,READY_TO_SERIALIZE,reference_index=14; trainer_id=105; instruction=0x08E035C0; script=0x08E035C0; roots=1; logical=T502,archetype=CAMPER; original_avg=6.67; map_median=7.50; instance-level replacement of TPL_S1_CAMPER; catalog-only ability/nature/EV are not tactical dependencies
