party_key,encounter_key,battle_format,party_size,level_floor,level_cap,shared_party_policy,sharing_reason,ai_profile_key,trainer_item_keys,gimmick_key,runtime_status,notes
PARTY_TOHOKU_REF_0001,ENC_TOHOKU_REF_0001,SINGLE,2,8,12,UNIQUE_INSTANCE,NONE,AI_BASIC,[],NONE_CURRENT_ABI,READY_TO_SERIALIZE,Party tactics use only current live ABI fields.
PARTY_TOHOKU_REF_0004,ENC_TOHOKU_REF_0004,DOUBLE,4,6,10,UNIQUE_INSTANCE,NONE,AI_SEMI_SMART,[],NONE_CURRENT_ABI,READY_TO_SERIALIZE,Party tactics use only current live ABI fields.
PARTY_TOHOKU_REF_0005,ENC_TOHOKU_REF_0005,DOUBLE,4,6,10,UNIQUE_INSTANCE,NONE,AI_SEMI_SMART,[],NONE_CURRENT_ABI,READY_TO_SERIALIZE,Party tactics use only current live ABI fields.
PARTY_TOHOKU_REF_0006,ENC_TOHOKU_REF_0006,SINGLE,4,8,12,UNIQUE_INSTANCE,NONE,AI_SEMI_SMART,[],NONE_CURRENT_ABI,READY_TO_SERIALIZE,Party tactics use only current live ABI fields.
PARTY_TOHOKU_REF_0007,ENC_TOHOKU_REF_0007,SINGLE,4,8,12,UNIQUE_INSTANCE,NONE,AI_SEMI_SMART,[],NONE_CURRENT_ABI,READY_TO_SERIALIZE,Party tactics use only current live ABI fields.
PARTY_TOHOKU_REF_0008,ENC_TOHOKU_REF_0008,SINGLE,4,8,12,UNIQUE_INSTANCE,NONE,AI_SEMI_SMART,[],NONE_CURRENT_ABI,READY_TO_SERIALIZE,Party tactics use only current live ABI fields.
PARTY_TOHOKU_REF_0009,ENC_TOHOKU_REF_0009,SINGLE,4,8,12,UNIQUE_INSTANCE,NONE,AI_SEMI_SMART,[],NONE_CURRENT_ABI,READY_TO_SERIALIZE,Party tactics use only current live ABI fields.
PARTY_TOHOKU_REF_0010,ENC_TOHOKU_REF_0010,SINGLE,3,7,11,UNIQUE_INSTANCE,NONE,AI_SEMI_SMART,[],NONE_CURRENT_ABI,READY_TO_SERIALIZE,Party tactics use only current live ABI fields.
PARTY_TOHOKU_REF_0011,ENC_TOHOKU_REF_0011,SINGLE,3,7,11,UNIQUE_INSTANCE,NONE,AI_SEMI_SMART,[],NONE_CURRENT_ABI,READY_TO_SERIALIZE,Party tactics use only current live ABI fields.
PARTY_TOHOKU_REF_0014,ENC_TOHOKU_REF_0014,SINGLE,3,7,11,UNIQUE_INSTANCE,NONE,AI_SEMI_SMART,[],NONE_CURRENT_ABI,READY_TO_SERIALIZE,Party tactics use only current live ABI fields.
PARTY_TOHOKU_REF_0015,ENC_TOHOKU_REF_0015,SINGLE,3,7,11,UNIQUE_INSTANCE,NONE,AI_SEMI_SMART,[],NONE_CURRENT_ABI,READY_TO_SERIALIZE,Party tactics use only current live ABI fields.
PARTY_TOHOKU_REF_0018,ENC_TOHOKU_REF_0018,SINGLE,4,8,12,UNIQUE_INSTANCE,NONE,AI_SEMI_SMART,[],NONE_CURRENT_ABI,READY_TO_SERIALIZE,Party tactics use only current live ABI fields.
PARTY_TOHOKU_REF_0019,ENC_TOHOKU_REF_0019,SINGLE,4,8,12,UNIQUE_INSTANCE,NONE,AI_SEMI_SMART,[],NONE_CURRENT_ABI,READY_TO_SERIALIZE,Party tactics use only current live ABI fields.
PARTY_TOHOKU_REF_0020,ENC_TOHOKU_REF_0020,SINGLE,3,7,11,UNIQUE_INSTANCE,NONE,AI_SEMI_SMART,[],NONE_CURRENT_ABI,READY_TO_SERIALIZE,Party tactics use only current live ABI fields.
PARTY_TOHOKU_REF_0021,ENC_TOHOKU_REF_0021,SINGLE,3,7,11,UNIQUE_INSTANCE,NONE,AI_SEMI_SMART,[],NONE_CURRENT_ABI,READY_TO_SERIALIZE,Party tactics use only current live ABI fields.
PARTY_TOHOKU_REF_0035,ENC_TOHOKU_REF_0035,SINGLE,3,4,8,UNIQUE_INSTANCE,NONE,AI_SEMI_SMART,[],NONE_CURRENT_ABI,READY_TO_SERIALIZE,Party tactics use only current live ABI fields.
PARTY_TOHOKU_REF_0036,ENC_TOHOKU_REF_0036,SINGLE,3,4,8,UNIQUE_INSTANCE,NONE,AI_SEMI_SMART,[],NONE_CURRENT_ABI,READY_TO_SERIALIZE,Party tactics use only current live ABI fields.
PARTY_TOHOKU_REF_0039,ENC_TOHOKU_REF_0039,SINGLE,3,5,9,UNIQUE_INSTANCE,NONE,AI_SEMI_SMART,[],NONE_CURRENT_ABI,READY_TO_SERIALIZE,Party tactics use only current live ABI fields.
PARTY_TOHOKU_REF_0040,ENC_TOHOKU_REF_0040,SINGLE,3,5,9,UNIQUE_INSTANCE,NONE,AI_SEMI_SMART,[],NONE_CURRENT_ABI,READY_TO_SERIALIZE,Party tactics use only current live ABI fields.
PARTY_TOHOKU_REF_0041,ENC_TOHOKU_REF_0041,SINGLE,3,7,11,UNIQUE_INSTANCE,NONE,AI_SEMI_SMART,[],NONE_CURRENT_ABI,READY_TO_SERIALIZE,Party tactics use only current live ABI fields.
PARTY_TOHOKU_REF_0042,ENC_TOHOKU_REF_0042,SINGLE,3,7,11,UNIQUE_INSTANCE,NONE,AI_SEMI_SMART,[],NONE_CURRENT_ABI,READY_TO_SERIALIZE,Party tactics use only current live ABI fields.
PARTY_TOHOKU_REF_0043,ENC_TOHOKU_REF_0043,SINGLE,3,7,11,UNIQUE_INSTANCE,NONE,AI_SEMI_SMART,[],NONE_CURRENT_ABI,READY_TO_SERIALIZE,Party tactics use only current live ABI fields.
PARTY_TOHOKU_REF_0044,ENC_TOHOKU_REF_0044,SINGLE,3,7,11,UNIQUE_INSTANCE,NONE,AI_SEMI_SMART,[],NONE_CURRENT_ABI,READY_TO_SERIALIZE,Party tactics use only current live ABI fields.
PARTY_TOHOKU_REF_0155,ENC_TOHOKU_REF_0155,SINGLE,3,4,8,UNIQUE_INSTANCE,NONE,AI_SEMI_SMART,[],NONE_CURRENT_ABI,READY_TO_SERIALIZE,Party tactics use only current live ABI fields.
PARTY_TOHOKU_REF_0156,ENC_TOHOKU_REF_0156,SINGLE,3,4,8,UNIQUE_INSTANCE,NONE,AI_SEMI_SMART,[],NONE_CURRENT_ABI,READY_TO_SERIALIZE,Party tactics use only current live ABI fields.
PARTY_TOHOKU_REF_0184,ENC_TOHOKU_REF_0184,SINGLE,3,5,9,UNIQUE_INSTANCE,NONE,AI_SEMI_SMART,[],NONE_CURRENT_ABI,READY_TO_SERIALIZE,Party tactics use only current live ABI fields.
PARTY_TOHOKU_REF_0185,ENC_TOHOKU_REF_0185,SINGLE,3,5,9,UNIQUE_INSTANCE,NONE,AI_SEMI_SMART,[],NONE_CURRENT_ABI,READY_TO_SERIALIZE,Party tactics use only current live ABI fields.
PARTY_TOHOKU_REF_0420,ENC_TOHOKU_REF_0420,SINGLE,2,6,10,UNIQUE_INSTANCE,NONE,AI_BASIC,[],NONE_CURRENT_ABI,READY_TO_SERIALIZE,Party tactics use only current live ABI fields.
PARTY_TOHOKU_REF_0425,ENC_TOHOKU_REF_0425,SINGLE,2,7,11,UNIQUE_INSTANCE,NONE,AI_BASIC,[],NONE_CURRENT_ABI,READY_TO_SERIALIZE,Party tactics use only current live ABI fields.
PARTY_TOHOKU_REF_0440,ENC_TOHOKU_REF_0440,SINGLE,1,5,5,UNIQUE_INSTANCE,NONE,AI_BASIC,[],NONE_CURRENT_ABI,DESIGN_COMPLETE_PHYSICAL_AUDIT_REQUIRED,Party tactics use only current live ABI fields.
