party_key,slot,species_key,form_key,level,held_item_key,move1_key,move2_key,move3_key,move4_key,iv_floor,ability_key,nature_key,hp_ev,atk_ev,def_ev,spa_ev,spd_ev,spe_ev,tactical_role,lead_or_ace,field_runtime_status,legality_evidence,phase_fairness_evidence,notes
PARTY_TOHOKU_REF_0001,1,SPECIES_KEY_VEGA_001,NONE,8,ITEM_KEY_NONE,MOVE_KEY_SCRATCH,MOVE_KEY_TAILWHIP,MOVE_KEY_NONE,MOVE_KEY_NONE,8,ABILITY_KEY_OVERGROW,NATURE_HARDY,0,0,0,0,0,0,御三家の基本対面,LEAD,species|form|level|held_item|moves|iv_floor=LIVE_CURRENT_ABI;ability|nature|ev_spread=CATALOG_ONLY,resolved source loadout V4::RIVAL01_PLAYER_ACTASHI::1; keys validated against supplied manifests,source level 5; target 10; bounded phase filter; TOHOKU_BADGE1_TO_2,ability/nature are catalog-only under current trainer ABI
PARTY_TOHOKU_REF_0001,2,SPECIES_KEY_FIDOUGH,NONE,12,ITEM_KEY_NONE,MOVE_KEY_TACKLE,MOVE_KEY_GROWL,MOVE_KEY_LICK,MOVE_KEY_NONE,8,ABILITY_KEY_OWNTEMPO,NATURE_IMPISH,0,0,0,0,0,0,耐久入門,ACE,species|form|level|held_item|moves|iv_floor=LIVE_CURRENT_ABI;ability|nature|ev_spread=CATALOG_ONLY,resolved source loadout V4::TPL_S1_LASS::1; keys validated against supplied manifests,source level 5; target 10; bounded phase filter; TOHOKU_BADGE1_TO_2,ability/nature are catalog-only under current trainer ABI
PARTY_TOHOKU_REF_0004,1,SPECIES_KEY_TAROUNTULA,NONE,6,ITEM_KEY_VEGA_139,MOVE_KEY_BUGBITE,MOVE_KEY_STRINGSHOT,MOVE_KEY_PROTECT,MOVE_KEY_STRUGGLEBUG,12,ABILITY_KEY_INSOMNIA,NATURE_IMPISH,0,0,0,0,0,0,速度操作,LEAD,species|form|level|held_item|moves|iv_floor=LIVE_CURRENT_ABI;ability|nature|ev_spread=CATALOG_ONLY,resolved source loadout V4::G1_TRAINER_A::2; keys validated against supplied manifests,source level 11; target 8; bounded phase filter; TOHOKU_PROLOGUE_PRE_GYM1,ability/nature are catalog-only under current trainer ABI
PARTY_TOHOKU_REF_0004,2,SPECIES_KEY_NYMBLE,NONE,8,ITEM_KEY_VEGA_139,MOVE_KEY_BUGBITE,MOVE_KEY_DOUBLEKICK,MOVE_KEY_LEER,MOVE_KEY_FEINT,10,ABILITY_KEY_SWARM,NATURE_JOLLY,0,0,0,0,0,0,切り札,CORE,species|form|level|held_item|moves|iv_floor=LIVE_CURRENT_ABI;ability|nature|ev_spread=CATALOG_ONLY,resolved source loadout V4::TPL_S1_BUG::3; keys validated against supplied manifests,source level 7; target 8; bounded phase filter; TOHOKU_PROLOGUE_PRE_GYM1,ability/nature are catalog-only under current trainer ABI
PARTY_TOHOKU_REF_0004,3,SPECIES_KEY_SCATTERBUG,NONE,8,ITEM_KEY_NONE,MOVE_KEY_TACKLE,MOVE_KEY_STRINGSHOT,MOVE_KEY_STRUGGLEBUG,MOVE_KEY_STUNSPORE,10,ABILITY_KEY_COMPOUNDEYES,NATURE_BOLD,0,0,0,0,0,0,状態異常の基本,CORE,species|form|level|held_item|moves|iv_floor=LIVE_CURRENT_ABI;ability|nature|ev_spread=CATALOG_ONLY,resolved source loadout V4::G1_TRAINER_A::1; keys validated against supplied manifests,source level 10; target 8; bounded phase filter; TOHOKU_PROLOGUE_PRE_GYM1,ability/nature are catalog-only under current trainer ABI
PARTY_TOHOKU_REF_0004,4,SPECIES_KEY_CATERPIE,NONE,10,ITEM_KEY_NONE,MOVE_KEY_TACKLE,MOVE_KEY_STRINGSHOT,MOVE_KEY_BUGBITE,MOVE_KEY_NONE,8,ABILITY_KEY_SHIELDDUST,NATURE_HARDY,0,0,0,0,0,0,速度低下,ACE,species|form|level|held_item|moves|iv_floor=LIVE_CURRENT_ABI;ability|nature|ev_spread=CATALOG_ONLY,resolved source loadout V4::TPL_S1_BUG::1; keys validated against supplied manifests,source level 5; target 8; bounded phase filter; TOHOKU_PROLOGUE_PRE_GYM1,ability/nature are catalog-only under current trainer ABI
PARTY_TOHOKU_REF_0005,1,SPECIES_KEY_TAROUNTULA,NONE,6,ITEM_KEY_NONE,MOVE_KEY_STRUGGLEBUG,MOVE_KEY_STRINGSHOT,MOVE_KEY_PROTECT,MOVE_KEY_NONE,8,ABILITY_KEY_INSOMNIA,NATURE_IMPISH,0,0,0,0,0,0,特殊低下,LEAD,species|form|level|held_item|moves|iv_floor=LIVE_CURRENT_ABI;ability|nature|ev_spread=CATALOG_ONLY,resolved source loadout V4::TPL_S1_BUG::2; keys validated against supplied manifests,source level 5; target 8; bounded phase filter; TOHOKU_PROLOGUE_PRE_GYM1,ability/nature are catalog-only under current trainer ABI
PARTY_TOHOKU_REF_0005,2,SPECIES_KEY_NYMBLE,NONE,8,ITEM_KEY_VEGA_139,MOVE_KEY_BUGBITE,MOVE_KEY_DOUBLEKICK,MOVE_KEY_LEER,MOVE_KEY_FEINT,10,ABILITY_KEY_SWARM,NATURE_JOLLY,0,0,0,0,0,0,切り札,CORE,species|form|level|held_item|moves|iv_floor=LIVE_CURRENT_ABI;ability|nature|ev_spread=CATALOG_ONLY,resolved source loadout V4::TPL_S1_BUG::3; keys validated against supplied manifests,source level 7; target 8; bounded phase filter; TOHOKU_PROLOGUE_PRE_GYM1,ability/nature are catalog-only under current trainer ABI
PARTY_TOHOKU_REF_0005,3,SPECIES_KEY_SCATTERBUG,NONE,8,ITEM_KEY_NONE,MOVE_KEY_TACKLE,MOVE_KEY_STRINGSHOT,MOVE_KEY_STRUGGLEBUG,MOVE_KEY_STUNSPORE,10,ABILITY_KEY_COMPOUNDEYES,NATURE_BOLD,0,0,0,0,0,0,状態異常の基本,CORE,species|form|level|held_item|moves|iv_floor=LIVE_CURRENT_ABI;ability|nature|ev_spread=CATALOG_ONLY,resolved source loadout V4::G1_TRAINER_A::1; keys validated against supplied manifests,source level 10; target 8; bounded phase filter; TOHOKU_PROLOGUE_PRE_GYM1,ability/nature are catalog-only under current trainer ABI
PARTY_TOHOKU_REF_0005,4,SPECIES_KEY_CATERPIE,NONE,10,ITEM_KEY_NONE,MOVE_KEY_TACKLE,MOVE_KEY_STRINGSHOT,MOVE_KEY_BUGBITE,MOVE_KEY_NONE,8,ABILITY_KEY_SHIELDDUST,NATURE_HARDY,0,0,0,0,0,0,速度低下,ACE,species|form|level|held_item|moves|iv_floor=LIVE_CURRENT_ABI;ability|nature|ev_spread=CATALOG_ONLY,resolved source loadout V4::TPL_S1_BUG::1; keys validated against supplied manifests,source level 5; target 8; bounded phase filter; TOHOKU_PROLOGUE_PRE_GYM1,ability/nature are catalog-only under current trainer ABI
