move_key,id,vega_id,cfru_symbol,classification,display_name,status,notes
MOVE_KEY_NONE,0,0,MOVE_NONE,VEGA_CFRU_CANONICAL,ー,FROZEN,NFKC完全一致でCFRU identityを対応
MOVE_KEY_POUND,1,1,MOVE_POUND,VEGA_CFRU_CANONICAL,はたく,FROZEN,NFKC完全一致でCFRU identityを対応
MOVE_KEY_SCRATCH,10,10,MOVE_SCRATCH,VEGA_CFRU_CANONICAL,ひっかく,FROZEN,NFKC完全一致でCFRU identityを対応
MOVE_KEY_GUST,16,16,MOVE_GUST,VEGA_CFRU_CANONICAL,かぜおこし,FROZEN,NFKC完全一致でCFRU identityを対応
MOVE_KEY_DOUBLEKICK,24,24,MOVE_DOUBLEKICK,VEGA_CFRU_CANONICAL,にどげり,FROZEN,NFKC完全一致でCFRU identityを対応
MOVE_KEY_SANDATTACK,28,28,MOVE_SANDATTACK,VEGA_CFRU_CANONICAL,すなかけ,FROZEN,NFKC完全一致でCFRU identityを対応
MOVE_KEY_TACKLE,33,33,MOVE_TACKLE,VEGA_CFRU_CANONICAL,たいあたり,FROZEN,NFKC完全一致でCFRU identityを対応
MOVE_KEY_TAILWHIP,39,39,MOVE_TAILWHIP,VEGA_CFRU_CANONICAL,しっぽをふる,FROZEN,NFKC完全一致でCFRU identityを対応
MOVE_KEY_LEER,43,43,MOVE_LEER,VEGA_CFRU_CANONICAL,にらみつける,FROZEN,NFKC完全一致でCFRU identityを対応
MOVE_KEY_GROWL,45,45,MOVE_GROWL,VEGA_CFRU_CANONICAL,なきごえ,FROZEN,NFKC完全一致でCFRU identityを対応
MOVE_KEY_PECK,64,64,MOVE_PECK,VEGA_CFRU_CANONICAL,つつく,FROZEN,NFKC完全一致でCFRU identityを対応
MOVE_KEY_STUNSPORE,78,78,MOVE_STUNSPORE,VEGA_CFRU_CANONICAL,しびれごな,FROZEN,NFKC完全一致でCFRU identityを対応
MOVE_KEY_STRINGSHOT,81,81,MOVE_STRINGSHOT,VEGA_CFRU_CANONICAL,いとをはく,FROZEN,NFKC完全一致でCFRU identityを対応
MOVE_KEY_THUNDERSHOCK,84,84,MOVE_THUNDERSHOCK,VEGA_CFRU_CANONICAL,でんきショック,FROZEN,NFKC完全一致でCFRU identityを対応
MOVE_KEY_ROCKTHROW,88,88,MOVE_ROCKTHROW,VEGA_CFRU_CANONICAL,いわおとし,FROZEN,NFKC完全一致でCFRU identityを対応
MOVE_KEY_QUICKATTACK,98,98,MOVE_QUICKATTACK,VEGA_CFRU_CANONICAL,でんこうせっか,FROZEN,NFKC完全一致でCFRU identityを対応
MOVE_KEY_WITHDRAW,110,110,MOVE_WITHDRAW,VEGA_CFRU_CANONICAL,からにこもる,FROZEN,NFKC完全一致でCFRU identityを対応
MOVE_KEY_DEFENSECURL,111,111,MOVE_DEFENSECURL,VEGA_CFRU_CANONICAL,まるくなる,FROZEN,NFKC完全一致でCFRU identityを対応
MOVE_KEY_SELFDESTRUCT,120,120,MOVE_SELFDESTRUCT,VEGA_CFRU_CANONICAL,じばく,FROZEN,NFKC完全一致でCFRU identityを対応
MOVE_KEY_LICK,122,122,MOVE_LICK,VEGA_CFRU_CANONICAL,したでなめる,FROZEN,NFKC完全一致でCFRU identityを対応
MOVE_KEY_PROTECT,182,182,MOVE_PROTECT,VEGA_CFRU_CANONICAL,まもる,FROZEN,NFKC完全一致でCFRU identityを対応
MOVE_KEY_SPIKES,191,191,MOVE_SPIKES,VEGA_CFRU_CANONICAL,まきびし,FROZEN,NFKC完全一致でCFRU identityを対応
MOVE_KEY_ENDURE,203,203,MOVE_ENDURE,VEGA_CFRU_CANONICAL,こらえる,FROZEN,NFKC完全一致でCFRU identityを対応
MOVE_KEY_ROLLOUT,205,205,MOVE_ROLLOUT,VEGA_CFRU_CANONICAL,ころがる,FROZEN,NFKC完全一致でCFRU identityを対応
MOVE_KEY_SIGNALBEAM,324,324,MOVE_SIGNALBEAM,VEGA_CFRU_CANONICAL,シグナルビーム,FROZEN,NFKC完全一致でCFRU identityを対応
MOVE_KEY_COVET,343,343,MOVE_COVET,VEGA_CFRU_CANONICAL,ほしがる,FROZEN,NFKC完全一致でCFRU identityを対応
MOVE_KEY_VEGA_427,427,427,,VEGA_EXCLUSIVE_V3,ダブルスピン,FROZEN,V3独自技をVega固定IDで保持
MOVE_KEY_BULLDOZE,495,495,MOVE_BULLDOZE,VEGA_CFRU_CANONICAL,じならし,FROZEN,NFKC完全一致でCFRU identityを対応
MOVE_KEY_HONECLAWS,498,498,MOVE_HONECLAWS,VEGA_CFRU_CANONICAL,つめとぎ,FROZEN,NFKC完全一致でCFRU identityを対応
MOVE_KEY_STRUGGLEBUG,506,506,MOVE_STRUGGLEBUG,VEGA_CFRU_CANONICAL,むしのていこう,FROZEN,NFKC完全一致でCFRU identityを対応
MOVE_KEY_BUGBITE,535,,MOVE_BUGBITE,CFRU_APPEND,むしくい,APPENDED,CFRU-JP技をappend-onlyで追加
MOVE_KEY_FEINT,567,,MOVE_FEINT,CFRU_APPEND,フェイント,APPENDED,CFRU-JP技をappend-onlyで追加
MOVE_KEY_SMACKDOWN,584,,MOVE_SMACKDOWN,CFRU_APPEND,うちおとす,APPENDED,CFRU-JP技をappend-onlyで追加
MOVE_KEY_POWERTRIP,673,,MOVE_POWERTRIP,CFRU_APPEND,つけあがる,APPENDED,CFRU-JP技をappend-onlyで追加
