slot_type,slot_no,move_name,source,policy,unlock_gate,compatibility_rule
TM,1,つるぎのまい,ベガ既存TM,番号・既存入手イベント・ジム報酬を保護,ベガ既存進行,現行ベガ互換を土台に、明らかな設定不一致だけ削除。追加公式種はタイプ・身体構造・役割で付与。
TM,2,エアスラッシュ,ベガ既存TM,番号・既存入手イベント・ジム報酬を保護,ベガ既存進行,現行ベガ互換を土台に、明らかな設定不一致だけ削除。追加公式種はタイプ・身体構造・役割で付与。
TM,3,まきびし,ベガ既存TM,番号・既存入手イベント・ジム報酬を保護,ベガ既存進行,現行ベガ互換を土台に、明らかな設定不一致だけ削除。追加公式種はタイプ・身体構造・役割で付与。
TM,4,マグネットボム,ベガ既存TM,番号・既存入手イベント・ジム報酬を保護,ベガ既存進行,現行ベガ互換を土台に、明らかな設定不一致だけ削除。追加公式種はタイプ・身体構造・役割で付与。
TM,5,でんじは,ベガ既存TM,番号・既存入手イベント・ジム報酬を保護,ベガ既存進行,現行ベガ互換を土台に、明らかな設定不一致だけ削除。追加公式種はタイプ・身体構造・役割で付与。
TM,6,ずつき,ベガ既存TM,番号・既存入手イベント・ジム報酬を保護,ベガ既存進行,現行ベガ互換を土台に、明らかな設定不一致だけ削除。追加公式種はタイプ・身体構造・役割で付与。
TM,7,メガホーン,ベガ既存TM,番号・既存入手イベント・ジム報酬を保護,ベガ既存進行,現行ベガ互換を土台に、明らかな設定不一致だけ削除。追加公式種はタイプ・身体構造・役割で付与。
TM,8,ビルドアップ,ベガ既存TM,番号・既存入手イベント・ジム報酬を保護,ベガ既存進行,現行ベガ互換を土台に、明らかな設定不一致だけ削除。追加公式種はタイプ・身体構造・役割で付与。
TM,9,いわなだれ,ベガ既存TM,番号・既存入手イベント・ジム報酬を保護,ベガ既存進行,現行ベガ互換を土台に、明らかな設定不一致だけ削除。追加公式種はタイプ・身体構造・役割で付与。
TM,10,ドラゴンダイブ,ベガ既存TM,番号・既存入手イベント・ジム報酬を保護,ベガ既存進行,現行ベガ互換を土台に、明らかな設定不一致だけ削除。追加公式種はタイプ・身体構造・役割で付与。
TM,11,シャドークロー,ベガ既存TM,番号・既存入手イベント・ジム報酬を保護,ベガ既存進行,現行ベガ互換を土台に、明らかな設定不一致だけ削除。追加公式種はタイプ・身体構造・役割で付与。
TM,12,ドわすれ,ベガ既存TM,番号・既存入手イベント・ジム報酬を保護,ベガ既存進行,現行ベガ互換を土台に、明らかな設定不一致だけ削除。追加公式種はタイプ・身体構造・役割で付与。
TM,13,みがわり,ベガ既存TM,番号・既存入手イベント・ジム報酬を保護,ベガ既存進行,現行ベガ互換を土台に、明らかな設定不一致だけ削除。追加公式種はタイプ・身体構造・役割で付与。
TM,14,ピッカリだま,ベガ既存TM,番号・既存入手イベント・ジム報酬を保護,ベガ既存進行,現行ベガ互換を土台に、明らかな設定不一致だけ削除。追加公式種はタイプ・身体構造・役割で付与。
TM,15,シグナルビーム,ベガ既存TM,番号・既存入手イベント・ジム報酬を保護,ベガ既存進行,現行ベガ互換を土台に、明らかな設定不一致だけ削除。追加公式種はタイプ・身体構造・役割で付与。
TM,16,エナジーボール,ベガ既存TM,番号・既存入手イベント・ジム報酬を保護,ベガ既存進行,現行ベガ互換を土台に、明らかな設定不一致だけ削除。追加公式種はタイプ・身体構造・役割で付与。
TM,17,あくのはどう,ベガ既存TM,番号・既存入手イベント・ジム報酬を保護,ベガ既存進行,現行ベガ互換を土台に、明らかな設定不一致だけ削除。追加公式種はタイプ・身体構造・役割で付与。
TM,18,アクアボルト,ベガ既存TM,番号・既存入手イベント・ジム報酬を保護,ベガ既存進行,現行ベガ互換を土台に、明らかな設定不一致だけ削除。追加公式種はタイプ・身体構造・役割で付与。
TM,19,ポイズンリーフ,ベガ既存TM,番号・既存入手イベント・ジム報酬を保護,ベガ既存進行,現行ベガ互換を土台に、明らかな設定不一致だけ削除。追加公式種はタイプ・身体構造・役割で付与。
TM,20,こごえるかぜ,ベガ既存TM,番号・既存入手イベント・ジム報酬を保護,ベガ既存進行,現行ベガ互換を土台に、明らかな設定不一致だけ削除。追加公式種はタイプ・身体構造・役割で付与。
TM,21,やどりぎのタネ,ベガ既存TM,番号・既存入手イベント・ジム報酬を保護,ベガ既存進行,現行ベガ互換を土台に、明らかな設定不一致だけ削除。追加公式種はタイプ・身体構造・役割で付与。
