species_national_no,species_name,form_identifier,japanese_form_name,class,battle_only,mega,separate_learnset,move_inheritance_policy,storage_note,verification
172,ピチュー,spiky-eared,ギザみみ,恒常・条件フォーム,no,no,conditional,タイプ・能力・設定が変わる恒常フォームは独立レベル技を許可。共通技は基礎種から継承し、フォーム固有STABを進化時／Lv1に追加。,能力差ありは独立ID、外見差のみFormId,最終種族ID／FormId表と照合し、戦闘終了後の技復帰をテスト
201,アンノーン,b,Ｂ,模様・外見差分,no,no,no,外見差のみのため基礎種と完全共有。技表を増やさない。,基礎種ID＋FormId,最終種族ID／FormId表と照合し、戦闘終了後の技復帰をテスト
201,アンノーン,c,Ｃ,模様・外見差分,no,no,no,外見差のみのため基礎種と完全共有。技表を増やさない。,基礎種ID＋FormId,最終種族ID／FormId表と照合し、戦闘終了後の技復帰をテスト
201,アンノーン,d,Ｄ,模様・外見差分,no,no,no,外見差のみのため基礎種と完全共有。技表を増やさない。,基礎種ID＋FormId,最終種族ID／FormId表と照合し、戦闘終了後の技復帰をテスト
201,アンノーン,e,Ｅ,模様・外見差分,no,no,no,外見差のみのため基礎種と完全共有。技表を増やさない。,基礎種ID＋FormId,最終種族ID／FormId表と照合し、戦闘終了後の技復帰をテスト
201,アンノーン,f,Ｆ,模様・外見差分,no,no,no,外見差のみのため基礎種と完全共有。技表を増やさない。,基礎種ID＋FormId,最終種族ID／FormId表と照合し、戦闘終了後の技復帰をテスト
201,アンノーン,g,Ｇ,模様・外見差分,no,no,no,外見差のみのため基礎種と完全共有。技表を増やさない。,基礎種ID＋FormId,最終種族ID／FormId表と照合し、戦闘終了後の技復帰をテスト
201,アンノーン,h,Ｈ,模様・外見差分,no,no,no,外見差のみのため基礎種と完全共有。技表を増やさない。,基礎種ID＋FormId,最終種族ID／FormId表と照合し、戦闘終了後の技復帰をテスト
201,アンノーン,i,Ｉ,模様・外見差分,no,no,no,外見差のみのため基礎種と完全共有。技表を増やさない。,基礎種ID＋FormId,最終種族ID／FormId表と照合し、戦闘終了後の技復帰をテスト
201,アンノーン,j,Ｊ,模様・外見差分,no,no,no,外見差のみのため基礎種と完全共有。技表を増やさない。,基礎種ID＋FormId,最終種族ID／FormId表と照合し、戦闘終了後の技復帰をテスト
