evolution_chain_id,root_name,family,types_in_family,family_category,vega_inclusion,primary_role,recommended_level_up_core,recommended_tm_core,recommended_tutor_core,progression_rule,overcoverage_rule,manual_review_priority
1,フシギダネ,フシギダネ → フシギソウ → フシギバナ,くさ / どく,御三家,既存（トーホク図鑑152）; 既存（トーホク図鑑153）; 既存（トーホク図鑑154）,特殊寄り,メガドレイン / やどりぎのタネ / アシッドボム / どくどく / ギガドレイン / ヘドロばくだん / はなふぶき / エナジーボール,くさむすび / ベノムショック,グラススライダー / ダストシュート,基礎形は早期STAB、中間は中威力STAB、進化先は役割技と終盤大技。分岐進化は分岐後に個性技を追加。,異タイプ高火力技は最大2タイプまで。元々の設定・身体構造・図鑑説明に根拠がない技は削除または教え技化。,P0
2,ヒトカゲ,ヒトカゲ → リザード → リザードン,ひこう / ほのお,御三家,既存（トーホク図鑑155）; 既存（トーホク図鑑156）; 既存（トーホク図鑑157）,両刀・可変,ひのこ / おにび / かえんほうしゃ / れんごく / ニトロチャージ,かえんほうしゃ / アクロバット,ねっぷう / おいかぜ,基礎形は早期STAB、中間は中威力STAB、進化先は役割技と終盤大技。分岐進化は分岐後に個性技を追加。,異タイプ高火力技は最大2タイプまで。元々の設定・身体構造・図鑑説明に根拠がない技は削除または教え技化。,P0
3,ゼニガメ,ゼニガメ → カメール → カメックス,みず,御三家,既存（トーホク図鑑158）; 既存（トーホク図鑑159）; 既存（トーホク図鑑160）,両刀・可変,アクアジェット / みずのはどう / アクアブレイク / なみのり / からをやぶる（殿堂入り後） / あまごい,アクアブレイク,クイックターン,基礎形は早期STAB、中間は中威力STAB、進化先は役割技と終盤大技。分岐進化は分岐後に個性技を追加。,異タイプ高火力技は最大2タイプまで。元々の設定・身体構造・図鑑説明に根拠がない技は削除または教え技化。,P0
4,キャタピー,キャタピー → トランセル → バタフリー,ひこう / むし,通常生態,未収録・追加対象,特殊アタッカー,むしくい / ねばねばネット / シザークロス / かふんだんご / ぼうふう / おいかぜ,とんぼがえり / アクロバット,むしくい / おいかぜ,基礎形は早期STAB、中間は中威力STAB、進化先は役割技と終盤大技。分岐進化は分岐後に個性技を追加。,異タイプ高火力技は最大2タイプまで。元々の設定・身体構造・図鑑説明に根拠がない技は削除または教え技化。,P1
5,ビードル,ビードル → コクーン → スピアー,どく / むし,通常生態,未収録・追加対象,物理アタッカー,むしくい / ねばねばネット / どくばり / どくどく / シザークロス / どくづき / メガホーン / ダストシュート,とんぼがえり / ベノムショック,むしくい / ダストシュート,基礎形は早期STAB、中間は中威力STAB、進化先は役割技と終盤大技。分岐進化は分岐後に個性技を追加。,異タイプ高火力技は最大2タイプまで。元々の設定・身体構造・図鑑説明に根拠がない技は削除または教え技化。,P1
6,ポッポ,ポッポ → ピジョン → ピジョット,ひこう / ノーマル,通常生態,未収録・追加対象,物理寄り,ずつき / アンコール / つばさでうつ / おいかぜ / のしかかり / ドリルくちばし / すてみタックル / ブレイブバード,まもる / アクロバット,てだすけ / おいかぜ,基礎形は早期STAB、中間は中威力STAB、進化先は役割技と終盤大技。分岐進化は分岐後に個性技を追加。,異タイプ高火力技は最大2タイプまで。元々の設定・身体構造・図鑑説明に根拠がない技は削除または教え技化。,P1
7,コラッタ,コラッタ → ラッタ,ノーマル,通常生態,未収録・追加対象,物理アタッカー,ずつき / アンコール / すてみタックル,まもる,てだすけ,基礎形は早期STAB、中間は中威力STAB、進化先は役割技と終盤大技。分岐進化は分岐後に個性技を追加。,異タイプ高火力技は最大2タイプまで。元々の設定・身体構造・図鑑説明に根拠がない技は削除または教え技化。,P1
8,オニスズメ,オニスズメ → オニドリル,ひこう / ノーマル,通常生態,未収録・追加対象,物理アタッカー,ずつき / アンコール / つばさでうつ / おいかぜ / すてみタックル / ブレイブバード,まもる / アクロバット,てだすけ / おいかぜ,基礎形は早期STAB、中間は中威力STAB、進化先は役割技と終盤大技。分岐進化は分岐後に個性技を追加。,異タイプ高火力技は最大2タイプまで。元々の設定・身体構造・図鑑説明に根拠がない技は削除または教え技化。,P1
9,アーボ,アーボ → アーボック,どく,通常生態,既存（トーホク図鑑261）; 既存（トーホク図鑑262）,物理アタッカー,どくばり / アシッドボム / ダストシュート / どくどく,ベノムショック,ダストシュート,基礎形は早期STAB、中間は中威力STAB、進化先は役割技と終盤大技。分岐進化は分岐後に個性技を追加。,異タイプ高火力技は最大2タイプまで。元々の設定・身体構造・図鑑説明に根拠がない技は削除または教え技化。,P0
10,ピチュー,ピチュー → ピカチュウ → ライチュウ,でんき,ベビィ含有,既存（トーホク図鑑024）; 既存（トーホク図鑑025）; 既存（トーホク図鑑026）,特殊寄り,ボルテッカー / 10まんボルト / でんじは / かみなり / でんきショック,ボルトチェンジ,エレキネット,基礎形は早期STAB、中間は中威力STAB、進化先は役割技と終盤大技。分岐進化は分岐後に個性技を追加。,異タイプ高火力技は最大2タイプまで。元々の設定・身体構造・図鑑説明に根拠がない技は削除または教え技化。,P0
11,サンド,サンド → サンドパン,じめん,通常生態,既存（トーホク図鑑293）; 既存（トーホク図鑑294）,物理アタッカー,どろかけ / すなあらし / じしん,じならし,ねっさのだいち,基礎形は早期STAB、中間は中威力STAB、進化先は役割技と終盤大技。分岐進化は分岐後に個性技を追加。,異タイプ高火力技は最大2タイプまで。元々の設定・身体構造・図鑑説明に根拠がない技は削除または教え技化。,P0
12,ニドラン♀,ニドラン♀ → ニドリーナ → ニドクイン,じめん / どく,通常生態,既存（トーホク図鑑029）; 既存（トーホク図鑑030）; 既存（トーホク図鑑031）,両刀・可変,どくばり / アシッドボム / どくづき / ヘドロばくだん / どくどく / じならし,ベノムショック / じならし,ダストシュート / ねっさのだいち,基礎形は早期STAB、中間は中威力STAB、進化先は役割技と終盤大技。分岐進化は分岐後に個性技を追加。,異タイプ高火力技は最大2タイプまで。元々の設定・身体構造・図鑑説明に根拠がない技は削除または教え技化。,P0
13,ニドラン♂,ニドラン♂ → ニドリーノ → ニドキング,じめん / どく,通常生態,既存（トーホク図鑑032）; 既存（トーホク図鑑033）; 既存（トーホク図鑑034）,両刀・可変,どくばり / アシッドボム / どくづき / ヘドロばくだん / どくどく / じならし,ベノムショック / じならし,ダストシュート / ねっさのだいち,基礎形は早期STAB、中間は中威力STAB、進化先は役割技と終盤大技。分岐進化は分岐後に個性技を追加。,異タイプ高火力技は最大2タイプまで。元々の設定・身体構造・図鑑説明に根拠がない技は削除または教え技化。,P0
14,ピィ,ピィ → ピッピ → ピクシー,フェアリー,ベビィ含有,未収録・追加対象,特殊寄り,マジカルシャイン / あまえる / ミストフィールド / ようせいのかぜ,マジカルシャイン,ミストバースト,基礎形は早期STAB、中間は中威力STAB、進化先は役割技と終盤大技。分岐進化は分岐後に個性技を追加。,異タイプ高火力技は最大2タイプまで。元々の設定・身体構造・図鑑説明に根拠がない技は削除または教え技化。,P1
15,ロコン,ロコン → キュウコン,ほのお,通常生態,未収録・追加対象,特殊アタッカー,ひのこ / おにび / だいもんじ,かえんほうしゃ,ねっぷう,基礎形は早期STAB、中間は中威力STAB、進化先は役割技と終盤大技。分岐進化は分岐後に個性技を追加。,異タイプ高火力技は最大2タイプまで。元々の設定・身体構造・図鑑説明に根拠がない技は削除または教え技化。,P1
16,ププリン,ププリン → プリン → プクリン,ノーマル / フェアリー,ベビィ含有,未収録・追加対象,補助寄り両刀,のしかかり / ハイパーボイス / じゃれつく / マジカルシャイン / アンコール / あくび / ずつき / スピードスター,まもる / マジカルシャイン,てだすけ / ミストバースト,基礎形は早期STAB、中間は中威力STAB、進化先は役割技と終盤大技。分岐進化は分岐後に個性技を追加。,異タイプ高火力技は最大2タイプまで。元々の設定・身体構造・図鑑説明に根拠がない技は削除または教え技化。,P1
17,ズバット,ズバット → ゴルバット → クロバット,どく / ひこう,通常生態,未収録・追加対象,両刀・可変,どくばり / アシッドボム / つばさでうつ / かぜおこし / どくづき / ヘドロばくだん / ドリルくちばし / エアスラッシュ,ベノムショック / アクロバット,ダストシュート / おいかぜ,基礎形は早期STAB、中間は中威力STAB、進化先は役割技と終盤大技。分岐進化は分岐後に個性技を追加。,異タイプ高火力技は最大2タイプまで。元々の設定・身体構造・図鑑説明に根拠がない技は削除または教え技化。,P1
18,ナゾノクサ,ナゾノクサ → クサイハナ → ラフレシア → キレイハナ,くさ / どく,通常生態,未収録・追加対象,特殊寄り,メガドレイン / やどりぎのタネ / アシッドボム / どくどく / エナジーボール / ヘドロウェーブ,くさむすび / ベノムショック,グラススライダー / ダストシュート,基礎形は早期STAB、中間は中威力STAB、進化先は役割技と終盤大技。分岐進化は分岐後に個性技を追加。,異タイプ高火力技は最大2タイプまで。元々の設定・身体構造・図鑑説明に根拠がない技は削除または教え技化。,P1
19,パラス,パラス → パラセクト,くさ / むし,通常生態,未収録・追加対象,両刀・可変,むしくい / むしのていこう / はっぱカッター / メガドレイン / シザークロス / むしのさざめき / ねばねばネット / タネばくだん,とんぼがえり / くさむすび,むしくい / グラススライダー,基礎形は早期STAB、中間は中威力STAB、進化先は役割技と終盤大技。分岐進化は分岐後に個性技を追加。,異タイプ高火力技は最大2タイプまで。元々の設定・身体構造・図鑑説明に根拠がない技は削除または教え技化。,P1
20,コンパン,コンパン → モルフォン,どく / むし,通常生態,未収録・追加対象,特殊アタッカー,むしくい / ねばねばネット / どくばり / どくどく / かふんだんご / ヘドロウェーブ,とんぼがえり / ベノムショック,むしくい / ダストシュート,基礎形は早期STAB、中間は中威力STAB、進化先は役割技と終盤大技。分岐進化は分岐後に個性技を追加。,異タイプ高火力技は最大2タイプまで。元々の設定・身体構造・図鑑説明に根拠がない技は削除または教え技化。,P1
21,ディグダ,ディグダ → ダグトリオ,じめん,通常生態,既存（トーホク図鑑016）; 既存（トーホク図鑑017）,物理アタッカー,どろかけ / すなあらし / じしん,じならし,ねっさのだいち,基礎形は早期STAB、中間は中威力STAB、進化先は役割技と終盤大技。分岐進化は分岐後に個性技を追加。,異タイプ高火力技は最大2タイプまで。元々の設定・身体構造・図鑑説明に根拠がない技は削除または教え技化。,P0
22,ニャース,ニャース → ペルシアン → ニャイキング,はがね / ノーマル,通常生態,未収録・追加対象,物理アタッカー,ずつき / アンコール / のしかかり / ヘビーボンバー / てっぺき,まもる / ラスターカノン,てだすけ / アイアンヘッド,基礎形は早期STAB、中間は中威力STAB、進化先は役割技と終盤大技。分岐進化は分岐後に個性技を追加。,異タイプ高火力技は最大2タイプまで。元々の設定・身体構造・図鑑説明に根拠がない技は削除または教え技化。,P1
23,コダック,コダック → ゴルダック,みず,通常生態,未収録・追加対象,両刀・可変,アクアジェット / みずのはどう / アクアブレイク / なみのり / あまごい,アクアブレイク,クイックターン,基礎形は早期STAB、中間は中威力STAB、進化先は役割技と終盤大技。分岐進化は分岐後に個性技を追加。,異タイプ高火力技は最大2タイプまで。元々の設定・身体構造・図鑑説明に根拠がない技は削除または教え技化。,P1
24,マンキー,マンキー → オコリザル → コノヨザル,かくとう / ゴースト,通常生態,未収録・追加対象,物理アタッカー,いわくだき / ビルドアップ / かわらわり / ふんどのこぶし / インファイト / ポルターガイスト,ドレインパンチ / シャドークロー,コーチング / ポルターガイスト,基礎形は早期STAB、中間は中威力STAB、進化先は役割技と終盤大技。分岐進化は分岐後に個性技を追加。,異タイプ高火力技は最大2タイプまで。元々の設定・身体構造・図鑑説明に根拠がない技は削除または教え技化。,P0
25,ガーディ,ガーディ → ウインディ,ほのお,通常生態,未収録・追加対象,両刀・可変,ひのこ / おにび / ニトロチャージ / かえんほうしゃ,かえんほうしゃ,ねっぷう,基礎形は早期STAB、中間は中威力STAB、進化先は役割技と終盤大技。分岐進化は分岐後に個性技を追加。,異タイプ高火力技は最大2タイプまで。元々の設定・身体構造・図鑑説明に根拠がない技は削除または教え技化。,P1
26,ニョロモ,ニョロモ → ニョロゾ → ニョロボン → ニョロトノ,かくとう / みず,通常生態,未収録・追加対象,特殊アタッカー,アクアジェット / みずのはどう / アクアブレイク / なみのり / あまごい / かわらわり / ハイドロポンプ,アクアブレイク / ドレインパンチ,クイックターン / コーチング,基礎形は早期STAB、中間は中威力STAB、進化先は役割技と終盤大技。分岐進化は分岐後に個性技を追加。,異タイプ高火力技は最大2タイプまで。元々の設定・身体構造・図鑑説明に根拠がない技は削除または教え技化。,P1
27,ケーシィ,ケーシィ → ユンゲラー → フーディン,エスパー,通常生態,未収録・追加対象,特殊アタッカー,ねんりき / めいそう / サイコキネシス / サイコショック,サイコショック,トリック,基礎形は早期STAB、中間は中威力STAB、進化先は役割技と終盤大技。分岐進化は分岐後に個性技を追加。,異タイプ高火力技は最大2タイプまで。元々の設定・身体構造・図鑑説明に根拠がない技は削除または教え技化。,P1
28,ワンリキー,ワンリキー → ゴーリキー → カイリキー,かくとう,通常生態,未収録・追加対象,物理アタッカー,いわくだき / ビルドアップ / かわらわり / インファイト,ドレインパンチ,コーチング,基礎形は早期STAB、中間は中威力STAB、進化先は役割技と終盤大技。分岐進化は分岐後に個性技を追加。,異タイプ高火力技は最大2タイプまで。元々の設定・身体構造・図鑑説明に根拠がない技は削除または教え技化。,P1
