scope,species_key,name,types,role,stage,tohoku_planned_level,kanto_planned_level,recommended_move1,recommended_move2,recommended_move3,recommended_move4,safety_checks
公式,1,フシギダネ,くさ／どく,特殊寄り,基礎形,既存値,Lv.82～90,メガドレイン,アシッドボム,やどりぎのタネ,まもる,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,2,フシギソウ,くさ／どく,特殊寄り,中間進化,既存値,Lv.82～90,ギガドレイン,ヘドロばくだん,やどりぎのタネ,まもる,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,3,フシギバナ,くさ／どく,特殊寄り,進化先／最終形,既存値,Lv.82～90,ギガドレイン,ヘドロばくだん,やどりぎのタネ,まもる,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,4,ヒトカゲ,ほのお,特殊寄り,基礎形,既存値,Lv.71～75,ひのこ,おにび,まもる,たいあたり,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,5,リザード,ほのお,特殊寄り,中間進化,既存値,Lv.71～75,かえんほうしゃ,おにび,まもる,たいあたり,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,6,リザードン,ほのお／ひこう,両刀・可変,進化先／最終形,既存値,Lv.71～75,ニトロチャージ,かえんほうしゃ,ドリルくちばし,エアスラッシュ,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,7,ゼニガメ,みず,両刀・可変,基礎形,既存値,Lv.85～90,アクアジェット,みずのはどう,あまごい,まもる,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,8,カメール,みず,両刀・可変,中間進化,既存値,Lv.85～90,アクアブレイク,なみのり,あまごい,まもる,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,9,カメックス,みず,両刀・可変,進化先／最終形,既存値,Lv.85～90,アクアブレイク,なみのり,あまごい,まもる,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,10,キャタピー,むし,物理寄り,基礎形,Lv.3～6,Lv.70～76,むしくい,ねばねばネット,まもる,たいあたり,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,11,トランセル,むし,物理寄り,中間進化,Lv.3～6,Lv.70～76,シザークロス,ねばねばネット,まもる,たいあたり,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,12,バタフリー,むし／ひこう,特殊アタッカー,進化先／最終形,Lv.3～6,Lv.70～76,むしのさざめき,エアスラッシュ,ねばねばネット,まもる,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,13,ビードル,むし／どく,物理寄り,基礎形,Lv.9～13,Lv.70～76,むしくい,どくばり,ねばねばネット,まもる,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,14,コクーン,むし／どく,物理寄り,中間進化,Lv.9～13,Lv.70～76,シザークロス,どくづき,ねばねばネット,まもる,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
公式,15,スピアー,むし／どく,物理アタッカー,進化先／最終形,Lv.9～13,Lv.70～76,シザークロス,どくづき,ねばねばネット,まもる,命中90以上STABあり／自爆・逃走技のみでない／反動大技は最大1つ／捕獲必須個体は回復・自傷ループを避ける
