bank,start_hex,end_hex,vega_changed,factory_changed,overlap
00,0x00000000,0x000FFFFF,1508,7437,465
01,0x00100000,0x001FFFFF,38936,3036,88
02,0x00200000,0x002FFFFF,361333,145,0
03,0x00300000,0x003FFFFF,158666,1046,148
04,0x00400000,0x004FFFFF,64894,67,4
05,0x00500000,0x005FFFFF,0,0,0
06,0x00600000,0x006FFFFF,382692,120,52
07,0x00700000,0x007FFFFF,1042398,18,18
08,0x00800000,0x008FFFFF,911827,0,0
09,0x00900000,0x009FFFFF,0,0,0
0A,0x00A00000,0x00AFFFFF,0,0,0
0B,0x00B00000,0x00BFFFFF,0,0,0
0C,0x00C00000,0x00CFFFFF,157160,1318,0
0D,0x00D00000,0x00DFFFFF,499642,0,0
0E,0x00E00000,0x00EFFFFF,152700,0,0
0F,0x00F00000,0x00FFFFFF,10380,0,0
