start_hex,length,end_hex
0x006C7D40,36,0x006C7D63
0x003C4946,26,0x003C495F
0x003C4982,20,0x003C4995
0x00777770,18,0x00777781
0x003C49E9,13,0x003C49F5
0x006C7DB8,12,0x006C7DC3
0x00015B78,7,0x00015B7E
0x000254E0,7,0x000254E6
0x00026C40,7,0x00026C46
0x00028FC8,7,0x00028FCE
0x0002B658,7,0x0002B65E
0x000E63EC,7,0x000E63F2
0x0003E454,4,0x0003E457
0x0003E4A8,4,0x0003E4AB
0x0003EC7C,4,0x0003EC7F
0x003C496C,4,0x003C496F
0x0042B714,4,0x0042B717
0x006C7D90,4,0x006C7D93
0x00000148,3,0x0000014A
0x000001CC,3,0x000001CE
0x0000DDB0,3,0x0000DDB2
0x0001211C,3,0x0001211E
0x000123F4,3,0x000123F6
0x00014880,3,0x00014882
0x000157D0,3,0x000157D2
0x00015904,3,0x00015906
0x00015A4C,3,0x00015A4E
0x00016EE8,3,0x00016EEA
0x000171A0,3,0x000171A2
0x00018D54,3,0x00018D56
0x00018FB4,3,0x00018FB6
0x00019400,3,0x00019402
0x000198E0,3,0x000198E2
0x00019EF8,3,0x00019EFA
0x00019F50,3,0x00019F52
0x0001A250,3,0x0001A252
0x0001A31C,3,0x0001A31E
0x0001A410,3,0x0001A412
0x0001A4EC,3,0x0001A4EE
0x0001A5C8,3,0x0001A5CA
0x0001A69C,3,0x0001A69E
0x0001A808,3,0x0001A80A
0x0001C710,3,0x0001C712
0x0001C8A8,3,0x0001C8AA
0x0001CAAC,3,0x0001CAAE
0x0001D144,3,0x0001D146
0x0001D1E0,3,0x0001D1E2
0x0001D2A0,3,0x0001D2A2
0x0001D400,3,0x0001D402
0x0001D47C,3,0x0001D47E
0x0001D5C4,3,0x0001D5C6
0x0001D678,3,0x0001D67A
0x0001D798,3,0x0001D79A
0x0001D910,3,0x0001D912
0x0001D9B8,3,0x0001D9BA
0x0001DA98,3,0x0001DA9A
0x0001DCE8,3,0x0001DCEA
0x0001DE90,3,0x0001DE92
0x0001DF78,3,0x0001DF7A
0x0001E000,3,0x0001E002
0x0001E040,3,0x0001E042
0x0001E120,3,0x0001E122
0x0001E2AC,3,0x0001E2AE
0x0001E30C,3,0x0001E30E
0x0001E540,3,0x0001E542
0x0001E5C4,3,0x0001E5C6
0x0001E5F4,3,0x0001E5F6
0x0001E6A4,3,0x0001E6A6
0x0001E7D8,3,0x0001E7DA
0x0001E840,3,0x0001E842
0x0001E8D4,3,0x0001E8D6
0x0001EA68,3,0x0001EA6A
0x0001ED4C,3,0x0001ED4E
0x0001EF60,3,0x0001EF62
0x00020968,3,0x0002096A
0x000209A0,3,0x000209A2
0x00022B28,3,0x00022B2A
0x00022B4C,3,0x00022B4E
0x00022C90,3,0x00022C92
0x0002313C,3,0x0002313E
0x00023314,3,0x00023316
0x00023420,3,0x00023422
0x0002349C,3,0x0002349E
0x0002366C,3,0x0002366E
0x000238C4,3,0x000238C6
0x000258E8,3,0x000258EA
0x00026828,3,0x0002682A
0x00027E78,3,0x00027E7A
0x00027F1C,3,0x00027F1E
0x00028244,3,0x00028246
0x00028324,3,0x00028326
0x00028C0C,3,0x00028C0E
0x00028E84,3,0x00028E86
0x00029958,3,0x0002995A
0x000299C8,3,0x000299CA
0x00029A54,3,0x00029A56
0x0002A4D8,3,0x0002A4DA
0x0002A5F0,3,0x0002A5F2
0x0002A628,3,0x0002A62A
0x0002B298,3,0x0002B29A
