vega_dex_no,vega_name,kind,national_species_id,integration_policy,symbolic_internal_id,actual_internal_id,national_dex_link
1,リープン,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_001,ROM抽出で確定,
2,リーティン,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_002,ROM抽出で確定,
3,リーテイル,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_003,ROM抽出で確定,
4,ファマー,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_004,ROM抽出で確定,
5,ファイマー,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_005,ROM抽出で確定,
6,ファマイン,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_006,ROM抽出で確定,
7,アクタシ,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_007,ROM抽出で確定,
8,レクオレ,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_008,ROM抽出で確定,
9,タテボーシ,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_009,ROM抽出で確定,
10,スバメ,公式ポケモン,276.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_010,ROM抽出で確定,276.0
11,オオスバメ,公式ポケモン,277.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_011,ROM抽出で確定,277.0
12,リオル,公式ポケモン,447.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_012,ROM抽出で確定,447.0
13,ルカリオ,公式ポケモン,448.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_013,ROM抽出で確定,448.0
14,デルビル,公式ポケモン,228.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_014,ROM抽出で確定,228.0
15,ヘルガー,公式ポケモン,229.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_015,ROM抽出で確定,229.0
16,ディグダ,公式ポケモン,50.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_016,ROM抽出で確定,50.0
17,ダグトリオ,公式ポケモン,51.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_017,ROM抽出で確定,51.0
18,トゲピー,公式ポケモン,175.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_018,ROM抽出で確定,175.0
19,トゲチック,公式ポケモン,176.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_019,ROM抽出で確定,176.0
20,トゲキッス,公式ポケモン,468.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_020,ROM抽出で確定,468.0
21,フロン,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_021,ROM抽出で確定,
22,フロルル,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_022,ROM抽出で確定,
23,フローリア,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_023,ROM抽出で確定,
24,ピチュー,公式ポケモン,172.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_024,ROM抽出で確定,172.0
25,ピカチュウ,公式ポケモン,25.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_025,ROM抽出で確定,25.0
26,ライチュウ,公式ポケモン,26.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_026,ROM抽出で確定,26.0
27,ゴリチュウ,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_027,ROM抽出で確定,
28,エアームド,公式ポケモン,227.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_028,ROM抽出で確定,227.0
29,ニドラン♀,公式ポケモン,29.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_029,ROM抽出で確定,29.0
30,ニドリーナ,公式ポケモン,30.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_030,ROM抽出で確定,30.0
31,ニドクイン,公式ポケモン,31.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_031,ROM抽出で確定,31.0
32,ニドラン♂,公式ポケモン,32.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_032,ROM抽出で確定,32.0
33,ニドリーノ,公式ポケモン,33.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_033,ROM抽出で確定,33.0
34,ニドキング,公式ポケモン,34.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_034,ROM抽出で確定,34.0
35,ブイゼル,公式ポケモン,418.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_035,ROM抽出で確定,418.0
36,フローゼル,公式ポケモン,419.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_036,ROM抽出で確定,419.0
37,ララベリー,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_037,ROM抽出で確定,
38,セラーナ,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_038,ROM抽出で確定,
39,クヌギダマ,公式ポケモン,204.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_039,ROM抽出で確定,204.0
40,フォレトス,公式ポケモン,205.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_040,ROM抽出で確定,205.0
41,シェルダー,公式ポケモン,90.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_041,ROM抽出で確定,90.0
42,パルシェン,公式ポケモン,91.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_042,ROM抽出で確定,91.0
43,マホース,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_043,ROM抽出で確定,
44,ペガーン,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_044,ROM抽出で確定,
45,ユニサス,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_045,ROM抽出で確定,
46,バルキー,公式ポケモン,236.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_046,ROM抽出で確定,236.0
47,サワムラー,公式ポケモン,106.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_047,ROM抽出で確定,106.0
48,エビワラー,公式ポケモン,107.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_048,ROM抽出で確定,107.0
49,カポエラー,公式ポケモン,237.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_049,ROM抽出で確定,237.0
50,ライノス,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_050,ROM抽出で確定,
51,メタゲラス,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_051,ROM抽出で確定,
52,アブソル,公式ポケモン,359.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_052,ROM抽出で確定,359.0
53,ディザソル,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_053,ROM抽出で確定,
54,キリンリキ,公式ポケモン,203.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_054,ROM抽出で確定,203.0
55,フォリキー,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_055,ROM抽出で確定,
56,バーニン,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_056,ROM抽出で確定,
57,ファントマ,ベガ／AS系オリジナル,,ベガ固有種として既存IDを固定,VEGA_FAKEMON_057,ROM抽出で確定,
58,コイル,公式ポケモン,81.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_058,ROM抽出で確定,81.0
59,レアコイル,公式ポケモン,82.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_059,ROM抽出で確定,82.0
60,ジバコイル,公式ポケモン,462.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_060,ROM抽出で確定,462.0
61,ヒトデマン,公式ポケモン,120.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_061,ROM抽出で確定,120.0
62,スターミー,公式ポケモン,121.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_062,ROM抽出で確定,121.0
63,ゴース,公式ポケモン,92.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_063,ROM抽出で確定,92.0
64,ゴースト,公式ポケモン,93.0,既存ID・既存グラフィック・既存イベントを固定,VEGA_NATIVE_064,ROM抽出で確定,93.0
