national_no,name,identifier,generation,types,evolution_chain_id,family_category,is_legendary,is_mythical,vega_status,integration_action,earliest_gate,primary_area,acquisition_method,encounter_rate_or_limit,conditions,dex_policy,id_policy
1,フシギダネ,bulbasaur,1,くさ／どく,1,御三家,no,no,既存（トーホク図鑑152）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.152。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_152（実ROMから確定）
2,フシギソウ,ivysaur,1,くさ／どく,1,御三家,no,no,既存（トーホク図鑑153）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.153。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_153（実ROMから確定）
3,フシギバナ,venusaur,1,くさ／どく,1,御三家,no,no,既存（トーホク図鑑154）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.154。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_154（実ROMから確定）
4,ヒトカゲ,charmander,1,ほのお,2,御三家,no,no,既存（トーホク図鑑155）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.155。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_155（実ROMから確定）
5,リザード,charmeleon,1,ほのお,2,御三家,no,no,既存（トーホク図鑑156）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.156。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_156（実ROMから確定）
6,リザードン,charizard,1,ほのお／ひこう,2,御三家,no,no,既存（トーホク図鑑157）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.157。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_157（実ROMから確定）
7,ゼニガメ,squirtle,1,みず,3,御三家,no,no,既存（トーホク図鑑158）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.158。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_158（実ROMから確定）
8,カメール,wartortle,1,みず,3,御三家,no,no,既存（トーホク図鑑159）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.159。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_159（実ROMから確定）
9,カメックス,blastoise,1,みず,3,御三家,no,no,既存（トーホク図鑑160）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.160。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_160（実ROMから確定）
10,キャタピー,caterpie,1,むし,4,通常生態,no,no,未収録・追加対象,新IDへ追加,殿堂入り後,全国生態保護区（サファリ増設区画）,生態保護区ローテーション,対象日10～20%（チケットで固定可）,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0010（新規16bit ID）
11,トランセル,metapod,1,むし,4,通常生態,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,全国生態保護区（サファリ増設区画）,進化,―,レベルアップ＋Lv.7以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0011（新規16bit ID）
12,バタフリー,butterfree,1,むし／ひこう,4,通常生態,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,全国生態保護区（サファリ増設区画）,進化,―,レベルアップ＋Lv.10以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0012（新規16bit ID）
13,ビードル,weedle,1,むし／どく,5,通常生態,no,no,未収録・追加対象,新IDへ追加,殿堂入り後,ハクジのもり,草むらオーバーレイ,8～12%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0013（新規16bit ID）
14,コクーン,kakuna,1,むし／どく,5,通常生態,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,ハクジのもり,進化,―,レベルアップ＋Lv.7以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0014（新規16bit ID）
15,スピアー,beedrill,1,むし／どく,5,通常生態,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,ハクジのもり,進化,―,レベルアップ＋Lv.10以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0015（新規16bit ID）
16,ポッポ,pidgey,1,ノーマル／ひこう,6,通常生態,no,no,未収録・追加対象,新IDへ追加,殿堂入り後,504～506ばんどうろ,時間帯オーバーレイ,8～12%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0016（新規16bit ID）
17,ピジョン,pidgeotto,1,ノーマル／ひこう,6,通常生態,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,504～506ばんどうろ,進化,―,レベルアップ＋Lv.18以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0017（新規16bit ID）
18,ピジョット,pidgeot,1,ノーマル／ひこう,6,通常生態,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,504～506ばんどうろ,進化,―,レベルアップ＋Lv.36以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0018（新規16bit ID）
19,コラッタ,rattata,1,ノーマル,7,通常生態,no,no,未収録・追加対象,新IDへ追加,殿堂入り後,502ばんどうろ,図鑑ナビ隠し枠,通常表0%／ナビ検索時1～5%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0019（新規16bit ID）
20,ラッタ,raticate,1,ノーマル,7,通常生態,no,no,未収録・追加対象,新IDへ追加（進化入手）,殿堂入り後,502ばんどうろ,進化,―,レベルアップ＋Lv.20以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0020（新規16bit ID）
21,オニスズメ,spearow,1,ノーマル／ひこう,8,通常生態,no,no,未収録・追加対象,新IDへ追加,殿堂入り後,501ばんどうろ,草むらオーバーレイ,8～12%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0021（新規16bit ID）
