evolution_chain_id,root_national_no,family,generation_first,types,category,vega_existing_members,new_members_to_import,integration_mode,earliest_gate,primary_area,primary_method,suggested_rate,condition_design,table_policy,implementation_priority
1,1,フシギダネ → フシギソウ → フシギバナ,1,どく／くさ,御三家,フシギダネ・フシギソウ・フシギバナ,なし,ベガ既存系統を完全保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存テーブル無変更,P0
2,4,ヒトカゲ → リザード → リザードン,1,ひこう／ほのお,御三家,ヒトカゲ・リザード・リザードン,なし,ベガ既存系統を完全保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存テーブル無変更,P0
3,7,ゼニガメ → カメール → カメックス,1,みず,御三家,ゼニガメ・カメール・カメックス,なし,ベガ既存系統を完全保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存テーブル無変更,P0
4,10,キャタピー → トランセル → バタフリー,1,ひこう／むし,通常生態,なし,キャタピー・トランセル・バタフリー,外来生態レイヤーへ追加,殿堂入り後,全国生態保護区（サファリ増設区画）,生態保護区ローテーション,対象日10～20%（チケットで固定可）,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
5,13,ビードル → コクーン → スピアー,1,どく／むし,通常生態,なし,ビードル・コクーン・スピアー,外来生態レイヤーへ追加,殿堂入り後,ハクジのもり,草むらオーバーレイ,8～12%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
6,16,ポッポ → ピジョン → ピジョット,1,ノーマル／ひこう,通常生態,なし,ポッポ・ピジョン・ピジョット,外来生態レイヤーへ追加,殿堂入り後,504～506ばんどうろ,時間帯オーバーレイ,8～12%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
7,19,コラッタ → ラッタ,1,ノーマル,通常生態,なし,コラッタ・ラッタ,外来生態レイヤーへ追加,殿堂入り後,502ばんどうろ,図鑑ナビ隠し枠,通常表0%／ナビ検索時1～5%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
8,21,オニスズメ → オニドリル,1,ノーマル／ひこう,通常生態,なし,オニスズメ・オニドリル,外来生態レイヤーへ追加,殿堂入り後,501ばんどうろ,草むらオーバーレイ,8～12%,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
9,23,アーボ → アーボック,1,どく,通常生態,アーボ・アーボック,なし,ベガ既存系統を完全保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存テーブル無変更,P0
10,172,ピチュー → ピカチュウ → ライチュウ,1,でんき,ベビィ含有,ピカチュウ・ライチュウ・ピチュー,なし,ベガ既存系統を完全保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,既存テーブル無変更,P0
