symbol,source_kind,vega_dex_no,national_no,display_name,protected_old_id,assigned_new_id,graphics_key,cry_key,dex_seen_bit,dex_caught_bit,status,notes
VEGA_FAKEMON_001,Vega protected original,1,,リープン,ROM抽出で確定,既存値を固定,VEGA_FAKEMON_001_GFX,VEGA_FAKEMON_001_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_FAKEMON_002,Vega protected original,2,,リーティン,ROM抽出で確定,既存値を固定,VEGA_FAKEMON_002_GFX,VEGA_FAKEMON_002_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_FAKEMON_003,Vega protected original,3,,リーテイル,ROM抽出で確定,既存値を固定,VEGA_FAKEMON_003_GFX,VEGA_FAKEMON_003_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_FAKEMON_004,Vega protected original,4,,ファマー,ROM抽出で確定,既存値を固定,VEGA_FAKEMON_004_GFX,VEGA_FAKEMON_004_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_FAKEMON_005,Vega protected original,5,,ファイマー,ROM抽出で確定,既存値を固定,VEGA_FAKEMON_005_GFX,VEGA_FAKEMON_005_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_FAKEMON_006,Vega protected original,6,,ファマイン,ROM抽出で確定,既存値を固定,VEGA_FAKEMON_006_GFX,VEGA_FAKEMON_006_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_FAKEMON_007,Vega protected original,7,,アクタシ,ROM抽出で確定,既存値を固定,VEGA_FAKEMON_007_GFX,VEGA_FAKEMON_007_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_FAKEMON_008,Vega protected original,8,,レクオレ,ROM抽出で確定,既存値を固定,VEGA_FAKEMON_008_GFX,VEGA_FAKEMON_008_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_FAKEMON_009,Vega protected original,9,,タテボーシ,ROM抽出で確定,既存値を固定,VEGA_FAKEMON_009_GFX,VEGA_FAKEMON_009_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_NATIVE_010,Vega protected official,10,276,スバメ,ROM抽出で確定,既存値を固定,VEGA_NATIVE_010_GFX,VEGA_NATIVE_010_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_NATIVE_011,Vega protected official,11,277,オオスバメ,ROM抽出で確定,既存値を固定,VEGA_NATIVE_011_GFX,VEGA_NATIVE_011_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_NATIVE_012,Vega protected official,12,447,リオル,ROM抽出で確定,既存値を固定,VEGA_NATIVE_012_GFX,VEGA_NATIVE_012_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_NATIVE_013,Vega protected official,13,448,ルカリオ,ROM抽出で確定,既存値を固定,VEGA_NATIVE_013_GFX,VEGA_NATIVE_013_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
VEGA_NATIVE_014,Vega protected official,14,228,デルビル,ROM抽出で確定,既存値を固定,VEGA_NATIVE_014_GFX,VEGA_NATIVE_014_CRY,既存位置を監査,既存位置を監査,PENDING_ROM_EXTRACTION,既存スクリプト参照を保持
