gym_id,gym,leader,slot,pokemon,level,ability,held_item,moves,battle_role,ev_policy,ai_policy
K-GYM01,ニビジム,タケシ,1,キョジオーン,78,きよめのしお,たべのこし,しおづけ／じこさいせい／ボディプレス／ステルスロック,先発・削り,HP/攻撃または特攻/素早さを役割別に510相当。個体値31。,CFRU上位AI。交代・設置・積み・ギミック使用を許可。
K-GYM01,ニビジム,タケシ,2,バサギリ,78,きれあじ,きあいのタスキ,がんせきアックス／シザークロス／つじぎり／でんこうせっか,設置兼速攻,HP/攻撃または特攻/素早さを役割別に510相当。個体値31。,CFRU上位AI。交代・設置・積み・ギミック使用を許可。
K-GYM01,ニビジム,タケシ,3,セキタンザン,79,じょうききかん,じゃくてんほけん,ヒートスタンプ／ロックブラスト／ボディプレス／タールショット,弱点誘発,HP/攻撃または特攻/素早さを役割別に510相当。個体値31。,CFRU上位AI。交代・設置・積み・ギミック使用を許可。
K-GYM01,ニビジム,タケシ,4,ドサイドン,79,ハードロック,とつげきチョッキ,じしん／がんせきほう／れいとうパンチ／アームハンマー,特殊受け崩し,HP/攻撃または特攻/素早さを役割別に510相当。個体値31。,CFRU上位AI。交代・設置・積み・ギミック使用を許可。
K-GYM01,ニビジム,タケシ,5,イワパレス,78,がんじょう,しろいハーブ,からをやぶる／いわなだれ／シザークロス／じしん,積みエース,HP/攻撃または特攻/素早さを役割別に510相当。個体値31。,CFRU上位AI。交代・設置・積み・ギミック使用を許可。
K-GYM01,ニビジム,タケシ,6,メガプテラ,80,かたいツメ,プテラナイト,ストーンエッジ／ダブルウイング／こおりのキバ／じしん,切り札,HP/攻撃または特攻/素早さを役割別に510相当。個体値31。,CFRU上位AI。交代・設置・積み・ギミック使用を許可。
K-GYM02,ハナダジム,カスミ,1,イルカマン,81,みずのベール,しんぴのしずく,クイックターン／ウェーブタックル／ジェットパンチ／インファイト,先発・交代で英雄化,HP/攻撃または特攻/素早さを役割別に510相当。個体値31。,CFRU上位AI。交代・設置・積み・ギミック使用を許可。
K-GYM02,ハナダジム,カスミ,2,イダイトウ,81,てきおうりょく,こだわりスカーフ,ウェーブタックル／おはかまいり／アクアジェット／クイックターン,高速掃除,HP/攻撃または特攻/素早さを役割別に510相当。個体値31。,CFRU上位AI。交代・設置・積み・ギミック使用を許可。
K-GYM02,ハナダジム,カスミ,3,ドヒドイデ,82,さいせいりょく,くろいヘドロ,ねっとう／じこさいせい／どくびし／くろいきり,受け・設置,HP/攻撃または特攻/素早さを役割別に510相当。個体値31。,CFRU上位AI。交代・設置・積み・ギミック使用を許可。
K-GYM02,ハナダジム,カスミ,4,ウォッシュロトム,82,ふゆう,オボンのみ,ハイドロポンプ／ボルトチェンジ／おにび／まもる,対面操作,HP/攻撃または特攻/素早さを役割別に510相当。個体値31。,CFRU上位AI。交代・設置・積み・ギミック使用を許可。
K-GYM02,ハナダジム,カスミ,5,ミロカロス,82,ふしぎなうろこ,かえんだま,ねっとう／じこさいせい／れいとうビーム／くろいきり,耐久,HP/攻撃または特攻/素早さを役割別に510相当。個体値31。,CFRU上位AI。交代・設置・積み・ギミック使用を許可。
K-GYM02,ハナダジム,カスミ,6,メガヤドラン,83,シェルアーマー,ヤドランナイト,ねっとう／サイコキネシス／めいそう／なまける,切り札,HP/攻撃または特攻/素早さを役割別に510相当。個体値31。,CFRU上位AI。交代・設置・積み・ギミック使用を許可。
K-GYM03,クチバジム,マチス,1,パーモット,84,てつのこぶし,きあいのタスキ,でんこうそうげき／インファイト／マッハパンチ／ほっぺすりすり,先発・麻痺,HP/攻撃または特攻/素早さを役割別に510相当。個体値31。,CFRU上位AI。交代・設置・積み・ギミック使用を許可。
K-GYM03,クチバジム,マチス,2,ストリンダー,84,パンクロック,のどスプレー,オーバードライブ／ばくおんぱ／ヘドロばくだん／ギアチェンジ,特殊積み,HP/攻撃または特攻/素早さを役割別に510相当。個体値31。,CFRU上位AI。交代・設置・積み・ギミック使用を許可。
