member_id,trainer,specialty,slot,species,level,ability,held_item,move1,move2,move3,move4,battle_role
K-E4-01,カンナ,こおり／みず,1,キュウコン（アローラ）,94,ゆきふらし,ひかりのねんど,オーロラベール,ふぶき,ムーンフォース,アンコール,雪・壁始動
K-E4-01,カンナ,こおり／みず,2,モスノウ,94,こおりのりんぷん,あつぞこブーツ,ちょうのまい,れいとうビーム,むしのさざめき,ギガドレイン,特殊積み
K-E4-01,カンナ,こおり／みず,3,パルシェン,95,スキルリンク,おうじゃのしるし,からをやぶる,つららばり,ロックブラスト,こおりのつぶて,物理積み
K-E4-01,カンナ,こおり／みず,4,ハルクジラ,95,ちからずく,いのちのたま,つららおとし,アクアブレイク,じしん,こおりのつぶて,物理圧力
K-E4-01,カンナ,こおり／みず,5,ヤドキング（ガラル）,96,さいせいりょく,くろいヘドロ,さむいギャグ,ヘドロばくだん,サイコキネシス,なまける,雪再展開
K-E4-01,カンナ,こおり／みず,6,ラプラス,97,ちょすい,じゃくてんほけん,フリーズドライ,ハイドロポンプ,10まんボルト,ほろびのうた,切り札・耐久
K-E4-02,シバ,かくとう／いわ,1,バサギリ,95,きれあじ,きあいのタスキ,がんせきアックス,シザークロス,インファイト,でんこうせっか,先発設置
K-E4-02,シバ,かくとう／いわ,2,コノヨザル,95,まけんき,たべのこし,ふんどのこぶし,ドレインパンチ,ビルドアップ,ちょうはつ,積み
K-E4-02,シバ,かくとう／いわ,3,タイレーツ,96,まけんき,ラムのみ,はいすいのじん,インファイト,アイアンヘッド,どくづき,全能力強化
K-E4-02,シバ,かくとう／いわ,4,ルチャブル,96,かるわざ,グラスシード,アクロバット,インファイト,つるぎのまい,ちょうはつ,高速物理
K-E4-02,シバ,かくとう／いわ,5,ローブシン,97,こんじょう,かえんだま,ドレインパンチ,マッハパンチ,からげんき,はたきおとす,耐久突破
K-E4-02,シバ,かくとう／いわ,6,ヘラクロス,98,じしんかじょう,ヘラクロスナイト,ミサイルばり,インファイト,ロックブラスト,タネマシンガン,メガ切り札
K-E4-03,キクコ,ゴースト／どく,1,ハカドッグ,96,すなかき,さらさらいわ,おはかまいり,じゃれつく,あくび,すなあらし,砂始動
K-E4-03,キクコ,ゴースト／どく,2,ドオー,96,てんねん,くろいヘドロ,どくどく,じしん,じこさいせい,ステルスロック,積み抑制
K-E4-03,キクコ,ゴースト／どく,3,ヤバソチャ,97,おもてなし,オボンのみ,シャカシャカほう,ギガドレイン,トリックルーム,いかりのこな,回復・速度反転
K-E4-03,キクコ,ゴースト／どく,4,ミミッキュ,97,ばけのかわ,いのちのたま,じゃれつく,かげうち,つるぎのまい,のろい,物理積み
K-E4-03,キクコ,ゴースト／どく,5,ソウブレイズ,98,くだけるよろい,きあいのタスキ,むねんのつるぎ,かげうち,インファイト,つるぎのまい,高速化
K-E4-03,キクコ,ゴースト／どく,6,ゲンガー,99,のろわれボディ,ゲンガナイト,シャドーボール,ヘドロばくだん,きあいだま,みちづれ,メガ切り札
K-E4-04,ワタル,ドラゴン,1,ドラミドロ,97,てきおうりょく,とつげきチョッキ,りゅうせいぐん,ヘドロウェーブ,ハイドロポンプ,10まんボルト,特殊受け
K-E4-04,ワタル,ドラゴン,2,ブリジュラス,97,じきゅうりょく,パワフルハーブ,エレクトロビーム,ラスターカノン,りゅうのはどう,ボディプレス,防御上昇
K-E4-04,ワタル,ドラゴン,3,セグレイブ,98,ねつこうかん,いかさまダイス,つららばり,きょけんとつげき,じしん,こおりのつぶて,物理突破
K-E4-04,ワタル,ドラゴン,4,ドラパルト,98,すりぬけ,こだわりメガネ,りゅうせいぐん,シャドーボール,かえんほうしゃ,とんぼがえり,高速特殊
K-E4-04,ワタル,ドラゴン,5,ジャラランガ,99,ぼうおん,のどスプレー,スケイルノイズ,ボディプレス,かえんほうしゃ,ソウルビート,積みエース
K-E4-04,ワタル,ドラゴン,6,ボーマンダ,100,いかく,ボーマンダナイト,すてみタックル,じしん,りゅうのまい,はねやすめ,メガ切り札
K-CHAMP,グリーン,総合,1,バンギラス,98,すなおこし,さらさらいわ,ストーンエッジ,かみくだく,ステルスロック,でんじは,先発・砂
K-CHAMP,グリーン,総合,2,ゴリランダー,98,グラスメイカー,こだわりハチマキ,グラススライダー,ウッドハンマー,10まんばりき,とんぼがえり,場奪取
K-CHAMP,グリーン,総合,3,イルカマン,99,マイティチェンジ,しんぴのしずく,クイックターン,ウェーブタックル,ジェットパンチ,インファイト,交代切り札
K-CHAMP,グリーン,総合,4,グレンアルマ,99,くだけるよろい,じゃくてんほけん,アーマーキャノン,サイコキネシス,エナジーボール,こらえる,特殊突破
K-CHAMP,グリーン,総合,5,メタグロス,99,クリアボディ,とつげきチョッキ,コメットパンチ,しねんのずつき,じしん,バレットパンチ,中核
K-CHAMP,グリーン,総合,6,ピジョット,100,ちどりあし,ピジョットナイト,ぼうふう,ねっぷう,とんぼがえり,はねやすめ,メガ切り札
