leader,city,rematch_location,slot,species,level,ability,held_item,move1,move2,move3,move4,battle_role
アマナ,アヤメシティ,ハクジのもり・増設区画,1,エクスレッグ,78,いろめがね,きあいのタスキ,ねばねばネット,であいがしら,ふいうち,とんぼがえり,先発・設置
アマナ,アヤメシティ,ハクジのもり・増設区画,2,アブリボン,79,りんぷん,おんみつマント,ムーンフォース,かふんだんご,おいかぜ,しびれごな,速度支援
アマナ,アヤメシティ,ハクジのもり・増設区画,3,オニシズクモ,80,すいほう,しんぴのしずく,アクアブレイク,きゅうけつ,ワイドガード,ミラーコート,特殊受け
アマナ,アヤメシティ,ハクジのもり・増設区画,4,モスノウ,81,こおりのりんぷん,あつぞこブーツ,ちょうのまい,れいとうビーム,むしのさざめき,ギガドレイン,積みエース
アマナ,アヤメシティ,ハクジのもり・増設区画,5,バサギリ,82,きれあじ,いのちのたま,がんせきアックス,シザークロス,つじぎり,でんこうせっか,削り・岩設置
アマナ,アヤメシティ,ハクジのもり・増設区画,6,ハッサム,84,テクニシャン,ハッサムナイト,バレットパンチ,シザークロス,つるぎのまい,はねやすめ,メガ切り札
ナギナタ,ミルシティ,ちえのどうくつ・拡張層,1,ドオー,81,ちょすい,くろいヘドロ,どくどく,じしん,じこさいせい,ステルスロック,受け・設置
ナギナタ,ミルシティ,ちえのどうくつ・拡張層,2,サダイジャ,82,すなはき,さらさらいわ,へびにらみ,じしん,ストーンエッジ,とぐろをまく,砂始動
ナギナタ,ミルシティ,ちえのどうくつ・拡張層,3,リククラゲ,83,きんしのちから,たべのこし,だいちのちから,キノコのほうし,ギガドレイン,こうそくスピン,妨害・除去
ナギナタ,ミルシティ,ちえのどうくつ・拡張層,4,ドリュウズ,84,すなかき,ふうせん,じしん,アイアンヘッド,いわなだれ,つるぎのまい,砂エース
ナギナタ,ミルシティ,ちえのどうくつ・拡張層,5,ガチグマ,85,こんじょう,かえんだま,からげんき,ぶちかまし,かみくだく,まもる,物理突破
ナギナタ,ミルシティ,ちえのどうくつ・拡張層,6,バクーダ,87,ちからずく,バクーダナイト,だいちのちから,ふんか,ラスターカノン,まもる,メガ切り札
キリ,シオウシティ,かいていトンネル・観測区,1,ペリッパー,84,あめふらし,しめったいわ,ぼうふう,ハイドロポンプ,とんぼがえり,はねやすめ,雨始動
キリ,シオウシティ,かいていトンネル・観測区,2,イルカマン,85,マイティチェンジ,こだわりハチマキ,クイックターン,ウェーブタックル,ジェットパンチ,インファイト,交代・再登場
キリ,シオウシティ,かいていトンネル・観測区,3,イダイトウ,86,てきおうりょく,こだわりスカーフ,ウェーブタックル,おはかまいり,アクアジェット,サイコファング,高速突破
キリ,シオウシティ,かいていトンネル・観測区,4,ヘイラッシャ,87,てんねん,たべのこし,ウェーブタックル,じわれ,あくび,ねむる,積み抑制
キリ,シオウシティ,かいていトンネル・観測区,5,ウォッシュロトム,88,ふゆう,オボンのみ,ハイドロポンプ,10まんボルト,ボルトチェンジ,おにび,対面操作
キリ,シオウシティ,かいていトンネル・観測区,6,ラグラージ,90,げきりゅう,ラグラージナイト,たきのぼり,じしん,れいとうパンチ,あまごい,雨メガ切り札
ハンザ,ヒスイシティ,サファリゾーン中央・観察闘技場,1,イッカネズミ,86,テクニシャン,こうかくレンズ,ネズミざん,アンコール,おかたづけ,かみつく,高速展開
ハンザ,ヒスイシティ,サファリゾーン中央・観察闘技場,2,モトトカゲ,87,さいせいりょく,だっしゅつパック,しっぽきり,りゅうせいぐん,こうそくスピン,とんぼがえり,身代わり支援
ハンザ,ヒスイシティ,サファリゾーン中央・観察闘技場,3,リキキリン,88,テイルアーマー,のどスプレー,ハイパーボイス,サイコキネシス,めいそう,トリックルーム,先制封じ
ハンザ,ヒスイシティ,サファリゾーン中央・観察闘技場,4,ノココッチ,89,てんのめぐみ,たべのこし,ハイパードリル,へびにらみ,はねやすめ,ばくおんぱ,麻痺耐久
ハンザ,ヒスイシティ,サファリゾーン中央・観察闘技場,5,ガチグマ（アカツキ）,90,しんがん,とつげきチョッキ,ブラッドムーン,だいちのちから,しんくうは,ムーンフォース,特殊重砲
ハンザ,ヒスイシティ,サファリゾーン中央・観察闘技場,6,ミミロップ,92,ぶきよう,ミミロップナイト,ねこだまし,インファイト,おんがえし,トリプルアクセル,メガ切り札
モク＆レン,オウニシティ,ダークタワー最上階・放送ステージ,1,ゴリランダー,88,グラスメイカー,グラスシード,グラススライダー,ねこだまし,10まんばりき,まもる,草場始動
モク＆レン,オウニシティ,ダークタワー最上階・放送ステージ,2,タイカイデン,89,かちき,きあいのタスキ,おいかぜ,ほうでん,ぼうふう,まもる,追い風・放電
モク＆レン,オウニシティ,ダークタワー最上階・放送ステージ,3,オリーヴァ,90,こぼれダネ,のどスプレー,ハイパーボイス,だいちのちから,かふんだんご,まもる,回復支援
モク＆レン,オウニシティ,ダークタワー最上階・放送ステージ,4,アーマーガア,91,ミラーアーマー,ゴツゴツメット,ブレイブバード,ボディプレス,おいかぜ,はねやすめ,耐久・速度再設定
モク＆レン,オウニシティ,ダークタワー最上階・放送ステージ,5,カラミンゴ,92,きょうえん,いのちのたま,ブレイブバード,インファイト,ワイドガード,みきり,能力コピー
モク＆レン,オウニシティ,ダークタワー最上階・放送ステージ,6,ジュカイン,94,しんりょく,ジュカインナイト,リーフストーム,りゅうのはどう,きあいだま,まもる,メガ切り札
サザンカ,カラスバシティ,ユキユキやま・慰霊洞,1,ハカドッグ,90,すなかき,さらさらいわ,おはかまいり,じゃれつく,あくび,すなあらし,墓参・砂始動
サザンカ,カラスバシティ,ユキユキやま・慰霊洞,2,コノヨザル,91,まけんき,たべのこし,ふんどのこぶし,ドレインパンチ,ビルドアップ,ちょうはつ,積み突破
サザンカ,カラスバシティ,ユキユキやま・慰霊洞,3,ヤバソチャ,92,おもてなし,オボンのみ,シャカシャカほう,ギガドレイン,いかりのこな,トリックルーム,回復・攪乱
サザンカ,カラスバシティ,ユキユキやま・慰霊洞,4,ゾロアーク（ヒスイ）,93,イリュージョン,きあいのタスキ,うらみつらみ,ハイパーボイス,かえんほうしゃ,わるだくみ,擬態特殊
サザンカ,カラスバシティ,ユキユキやま・慰霊洞,5,ソウブレイズ,94,くだけるよろい,いのちのたま,むねんのつるぎ,かげうち,インファイト,つるぎのまい,物理エース
