form_id_source,source_scope,pokemon_id_source,species_national_no,species_name,pokemon_identifier,form_identifier,japanese_form_name,class,battle_only,mega,acquisition_policy,integration_method,storage_policy,dex_policy,verification
PokeAPI:10065,PokeAPI pokemon_id<=10277（Pecharunt／SV DLC相当まで）,172,172,ピチュー,pichu,spiky-eared,ギザみみ,恒常・条件フォーム,no,no,フォームごとに条件入手,道具、時間帯、天候、特性処理、フォルムチェンジ端末のいずれかで切替。,能力差ありは独立ID、外見差のみFormId,同一全国番号のフォームタブ。外見差分は完成条件外。恒常・能力差フォームは入手済み表示のみ。,DPE-JP species.h／フォームテーブルと名前照合。DPEに独立IDがない外見差分は共有FormId方式。
PokeAPI:10001,PokeAPI pokemon_id<=10277（Pecharunt／SV DLC相当まで）,201,201,アンノーン,unown,b,Ｂ,模様・外見差分,no,no,基礎種と同じ経路,模様・色・アメざい等をFormIdで保存し、種族IDの消費を抑える。能力差があるものだけ例外。,基礎種ID＋FormId,同一全国番号のフォームタブ。外見差分は完成条件外。恒常・能力差フォームは入手済み表示のみ。,DPE-JP species.h／フォームテーブルと名前照合。DPEに独立IDがない外見差分は共有FormId方式。
PokeAPI:10002,PokeAPI pokemon_id<=10277（Pecharunt／SV DLC相当まで）,201,201,アンノーン,unown,c,Ｃ,模様・外見差分,no,no,基礎種と同じ経路,模様・色・アメざい等をFormIdで保存し、種族IDの消費を抑える。能力差があるものだけ例外。,基礎種ID＋FormId,同一全国番号のフォームタブ。外見差分は完成条件外。恒常・能力差フォームは入手済み表示のみ。,DPE-JP species.h／フォームテーブルと名前照合。DPEに独立IDがない外見差分は共有FormId方式。
PokeAPI:10003,PokeAPI pokemon_id<=10277（Pecharunt／SV DLC相当まで）,201,201,アンノーン,unown,d,Ｄ,模様・外見差分,no,no,基礎種と同じ経路,模様・色・アメざい等をFormIdで保存し、種族IDの消費を抑える。能力差があるものだけ例外。,基礎種ID＋FormId,同一全国番号のフォームタブ。外見差分は完成条件外。恒常・能力差フォームは入手済み表示のみ。,DPE-JP species.h／フォームテーブルと名前照合。DPEに独立IDがない外見差分は共有FormId方式。
PokeAPI:10004,PokeAPI pokemon_id<=10277（Pecharunt／SV DLC相当まで）,201,201,アンノーン,unown,e,Ｅ,模様・外見差分,no,no,基礎種と同じ経路,模様・色・アメざい等をFormIdで保存し、種族IDの消費を抑える。能力差があるものだけ例外。,基礎種ID＋FormId,同一全国番号のフォームタブ。外見差分は完成条件外。恒常・能力差フォームは入手済み表示のみ。,DPE-JP species.h／フォームテーブルと名前照合。DPEに独立IDがない外見差分は共有FormId方式。
PokeAPI:10005,PokeAPI pokemon_id<=10277（Pecharunt／SV DLC相当まで）,201,201,アンノーン,unown,f,Ｆ,模様・外見差分,no,no,基礎種と同じ経路,模様・色・アメざい等をFormIdで保存し、種族IDの消費を抑える。能力差があるものだけ例外。,基礎種ID＋FormId,同一全国番号のフォームタブ。外見差分は完成条件外。恒常・能力差フォームは入手済み表示のみ。,DPE-JP species.h／フォームテーブルと名前照合。DPEに独立IDがない外見差分は共有FormId方式。
PokeAPI:10006,PokeAPI pokemon_id<=10277（Pecharunt／SV DLC相当まで）,201,201,アンノーン,unown,g,Ｇ,模様・外見差分,no,no,基礎種と同じ経路,模様・色・アメざい等をFormIdで保存し、種族IDの消費を抑える。能力差があるものだけ例外。,基礎種ID＋FormId,同一全国番号のフォームタブ。外見差分は完成条件外。恒常・能力差フォームは入手済み表示のみ。,DPE-JP species.h／フォームテーブルと名前照合。DPEに独立IDがない外見差分は共有FormId方式。
PokeAPI:10007,PokeAPI pokemon_id<=10277（Pecharunt／SV DLC相当まで）,201,201,アンノーン,unown,h,Ｈ,模様・外見差分,no,no,基礎種と同じ経路,模様・色・アメざい等をFormIdで保存し、種族IDの消費を抑える。能力差があるものだけ例外。,基礎種ID＋FormId,同一全国番号のフォームタブ。外見差分は完成条件外。恒常・能力差フォームは入手済み表示のみ。,DPE-JP species.h／フォームテーブルと名前照合。DPEに独立IDがない外見差分は共有FormId方式。
PokeAPI:10008,PokeAPI pokemon_id<=10277（Pecharunt／SV DLC相当まで）,201,201,アンノーン,unown,i,Ｉ,模様・外見差分,no,no,基礎種と同じ経路,模様・色・アメざい等をFormIdで保存し、種族IDの消費を抑える。能力差があるものだけ例外。,基礎種ID＋FormId,同一全国番号のフォームタブ。外見差分は完成条件外。恒常・能力差フォームは入手済み表示のみ。,DPE-JP species.h／フォームテーブルと名前照合。DPEに独立IDがない外見差分は共有FormId方式。
PokeAPI:10009,PokeAPI pokemon_id<=10277（Pecharunt／SV DLC相当まで）,201,201,アンノーン,unown,j,Ｊ,模様・外見差分,no,no,基礎種と同じ経路,模様・色・アメざい等をFormIdで保存し、種族IDの消費を抑える。能力差があるものだけ例外。,基礎種ID＋FormId,同一全国番号のフォームタブ。外見差分は完成条件外。恒常・能力差フォームは入手済み表示のみ。,DPE-JP species.h／フォームテーブルと名前照合。DPEに独立IDがない外見差分は共有FormId方式。
PokeAPI:10010,PokeAPI pokemon_id<=10277（Pecharunt／SV DLC相当まで）,201,201,アンノーン,unown,k,Ｋ,模様・外見差分,no,no,基礎種と同じ経路,模様・色・アメざい等をFormIdで保存し、種族IDの消費を抑える。能力差があるものだけ例外。,基礎種ID＋FormId,同一全国番号のフォームタブ。外見差分は完成条件外。恒常・能力差フォームは入手済み表示のみ。,DPE-JP species.h／フォームテーブルと名前照合。DPEに独立IDがない外見差分は共有FormId方式。
PokeAPI:10011,PokeAPI pokemon_id<=10277（Pecharunt／SV DLC相当まで）,201,201,アンノーン,unown,l,Ｌ,模様・外見差分,no,no,基礎種と同じ経路,模様・色・アメざい等をFormIdで保存し、種族IDの消費を抑える。能力差があるものだけ例外。,基礎種ID＋FormId,同一全国番号のフォームタブ。外見差分は完成条件外。恒常・能力差フォームは入手済み表示のみ。,DPE-JP species.h／フォームテーブルと名前照合。DPEに独立IDがない外見差分は共有FormId方式。
PokeAPI:10012,PokeAPI pokemon_id<=10277（Pecharunt／SV DLC相当まで）,201,201,アンノーン,unown,m,Ｍ,模様・外見差分,no,no,基礎種と同じ経路,模様・色・アメざい等をFormIdで保存し、種族IDの消費を抑える。能力差があるものだけ例外。,基礎種ID＋FormId,同一全国番号のフォームタブ。外見差分は完成条件外。恒常・能力差フォームは入手済み表示のみ。,DPE-JP species.h／フォームテーブルと名前照合。DPEに独立IDがない外見差分は共有FormId方式。
PokeAPI:10013,PokeAPI pokemon_id<=10277（Pecharunt／SV DLC相当まで）,201,201,アンノーン,unown,n,Ｎ,模様・外見差分,no,no,基礎種と同じ経路,模様・色・アメざい等をFormIdで保存し、種族IDの消費を抑える。能力差があるものだけ例外。,基礎種ID＋FormId,同一全国番号のフォームタブ。外見差分は完成条件外。恒常・能力差フォームは入手済み表示のみ。,DPE-JP species.h／フォームテーブルと名前照合。DPEに独立IDがない外見差分は共有FormId方式。
PokeAPI:10014,PokeAPI pokemon_id<=10277（Pecharunt／SV DLC相当まで）,201,201,アンノーン,unown,o,Ｏ,模様・外見差分,no,no,基礎種と同じ経路,模様・色・アメざい等をFormIdで保存し、種族IDの消費を抑える。能力差があるものだけ例外。,基礎種ID＋FormId,同一全国番号のフォームタブ。外見差分は完成条件外。恒常・能力差フォームは入手済み表示のみ。,DPE-JP species.h／フォームテーブルと名前照合。DPEに独立IDがない外見差分は共有FormId方式。
PokeAPI:10015,PokeAPI pokemon_id<=10277（Pecharunt／SV DLC相当まで）,201,201,アンノーン,unown,p,Ｐ,模様・外見差分,no,no,基礎種と同じ経路,模様・色・アメざい等をFormIdで保存し、種族IDの消費を抑える。能力差があるものだけ例外。,基礎種ID＋FormId,同一全国番号のフォームタブ。外見差分は完成条件外。恒常・能力差フォームは入手済み表示のみ。,DPE-JP species.h／フォームテーブルと名前照合。DPEに独立IDがない外見差分は共有FormId方式。
PokeAPI:10016,PokeAPI pokemon_id<=10277（Pecharunt／SV DLC相当まで）,201,201,アンノーン,unown,q,Ｑ,模様・外見差分,no,no,基礎種と同じ経路,模様・色・アメざい等をFormIdで保存し、種族IDの消費を抑える。能力差があるものだけ例外。,基礎種ID＋FormId,同一全国番号のフォームタブ。外見差分は完成条件外。恒常・能力差フォームは入手済み表示のみ。,DPE-JP species.h／フォームテーブルと名前照合。DPEに独立IDがない外見差分は共有FormId方式。
PokeAPI:10017,PokeAPI pokemon_id<=10277（Pecharunt／SV DLC相当まで）,201,201,アンノーン,unown,r,Ｒ,模様・外見差分,no,no,基礎種と同じ経路,模様・色・アメざい等をFormIdで保存し、種族IDの消費を抑える。能力差があるものだけ例外。,基礎種ID＋FormId,同一全国番号のフォームタブ。外見差分は完成条件外。恒常・能力差フォームは入手済み表示のみ。,DPE-JP species.h／フォームテーブルと名前照合。DPEに独立IDがない外見差分は共有FormId方式。
PokeAPI:10018,PokeAPI pokemon_id<=10277（Pecharunt／SV DLC相当まで）,201,201,アンノーン,unown,s,Ｓ,模様・外見差分,no,no,基礎種と同じ経路,模様・色・アメざい等をFormIdで保存し、種族IDの消費を抑える。能力差があるものだけ例外。,基礎種ID＋FormId,同一全国番号のフォームタブ。外見差分は完成条件外。恒常・能力差フォームは入手済み表示のみ。,DPE-JP species.h／フォームテーブルと名前照合。DPEに独立IDがない外見差分は共有FormId方式。
PokeAPI:10019,PokeAPI pokemon_id<=10277（Pecharunt／SV DLC相当まで）,201,201,アンノーン,unown,t,Ｔ,模様・外見差分,no,no,基礎種と同じ経路,模様・色・アメざい等をFormIdで保存し、種族IDの消費を抑える。能力差があるものだけ例外。,基礎種ID＋FormId,同一全国番号のフォームタブ。外見差分は完成条件外。恒常・能力差フォームは入手済み表示のみ。,DPE-JP species.h／フォームテーブルと名前照合。DPEに独立IDがない外見差分は共有FormId方式。
PokeAPI:10020,PokeAPI pokemon_id<=10277（Pecharunt／SV DLC相当まで）,201,201,アンノーン,unown,u,Ｕ,模様・外見差分,no,no,基礎種と同じ経路,模様・色・アメざい等をFormIdで保存し、種族IDの消費を抑える。能力差があるものだけ例外。,基礎種ID＋FormId,同一全国番号のフォームタブ。外見差分は完成条件外。恒常・能力差フォームは入手済み表示のみ。,DPE-JP species.h／フォームテーブルと名前照合。DPEに独立IDがない外見差分は共有FormId方式。
PokeAPI:10021,PokeAPI pokemon_id<=10277（Pecharunt／SV DLC相当まで）,201,201,アンノーン,unown,v,Ｖ,模様・外見差分,no,no,基礎種と同じ経路,模様・色・アメざい等をFormIdで保存し、種族IDの消費を抑える。能力差があるものだけ例外。,基礎種ID＋FormId,同一全国番号のフォームタブ。外見差分は完成条件外。恒常・能力差フォームは入手済み表示のみ。,DPE-JP species.h／フォームテーブルと名前照合。DPEに独立IDがない外見差分は共有FormId方式。
PokeAPI:10022,PokeAPI pokemon_id<=10277（Pecharunt／SV DLC相当まで）,201,201,アンノーン,unown,w,Ｗ,模様・外見差分,no,no,基礎種と同じ経路,模様・色・アメざい等をFormIdで保存し、種族IDの消費を抑える。能力差があるものだけ例外。,基礎種ID＋FormId,同一全国番号のフォームタブ。外見差分は完成条件外。恒常・能力差フォームは入手済み表示のみ。,DPE-JP species.h／フォームテーブルと名前照合。DPEに独立IDがない外見差分は共有FormId方式。
PokeAPI:10023,PokeAPI pokemon_id<=10277（Pecharunt／SV DLC相当まで）,201,201,アンノーン,unown,x,Ｘ,模様・外見差分,no,no,基礎種と同じ経路,模様・色・アメざい等をFormIdで保存し、種族IDの消費を抑える。能力差があるものだけ例外。,基礎種ID＋FormId,同一全国番号のフォームタブ。外見差分は完成条件外。恒常・能力差フォームは入手済み表示のみ。,DPE-JP species.h／フォームテーブルと名前照合。DPEに独立IDがない外見差分は共有FormId方式。
PokeAPI:10024,PokeAPI pokemon_id<=10277（Pecharunt／SV DLC相当まで）,201,201,アンノーン,unown,y,Ｙ,模様・外見差分,no,no,基礎種と同じ経路,模様・色・アメざい等をFormIdで保存し、種族IDの消費を抑える。能力差があるものだけ例外。,基礎種ID＋FormId,同一全国番号のフォームタブ。外見差分は完成条件外。恒常・能力差フォームは入手済み表示のみ。,DPE-JP species.h／フォームテーブルと名前照合。DPEに独立IDがない外見差分は共有FormId方式。
