symbolic_name,kind,purpose,numeric_id,save_location,reset_policy
FOREIGN_ECOLOGY_ENABLED,flag,外来生態レイヤー解禁,ROM監査後に割当,拡張SaveBlock,新規ゲーム時のみ初期化
DEXNAV_RECEIVED,flag,フィールドスキャナ受取,ROM監査後に割当,拡張SaveBlock,新規ゲーム時のみ初期化
RESEARCH_RANK,var,全国研究ランク0～5,ROM監査後に割当,拡張SaveBlock,新規ゲーム時のみ初期化
MEGA_UNLOCKED,flag,メガ解禁,ROM監査後に割当,拡張SaveBlock,新規ゲーム時のみ初期化
Z_UNLOCKED,flag,Zワザ解禁,ROM監査後に割当,拡張SaveBlock,新規ゲーム時のみ初期化
DYNAMAX_UNLOCKED,flag,レイド解禁,ROM監査後に割当,拡張SaveBlock,新規ゲーム時のみ初期化
TERA_UNLOCKED,flag,テラ解禁,ROM監査後に割当,拡張SaveBlock,新規ゲーム時のみ初期化
RIFT_PAST_UNLOCKED,flag,過去裂け目,ROM監査後に割当,拡張SaveBlock,新規ゲーム時のみ初期化
RIFT_FUTURE_UNLOCKED,flag,未来裂け目,ROM監査後に割当,拡張SaveBlock,新規ゲーム時のみ初期化
UB_RESEARCH_UNLOCKED,flag,UB調査,ROM監査後に割当,拡張SaveBlock,新規ゲーム時のみ初期化
LEGEND_RESPAWN_EPOCH,var,伝説復活世代カウンタ,ROM監査後に割当,拡張SaveBlock,新規ゲーム時のみ初期化
BIO_TICKET_MODE,var,時間・天候固定モード,ROM監査後に割当,拡張SaveBlock,新規ゲーム時のみ初期化
GIMMIGHOUL_COINS,var,古代コイン0～100,ROM監査後に割当,拡張SaveBlock,新規ゲーム時のみ初期化
MELTAN_SCRAPS,var,メタルくず0～40,ROM監査後に割当,拡張SaveBlock,新規ゲーム時のみ初期化
ZYGARDE_CELLS,var,セル0～50,ROM監査後に割当,拡張SaveBlock,新規ゲーム時のみ初期化
PARADOX_TICKET,var,過去／未来チケット状態,ROM監査後に割当,拡張SaveBlock,新規ゲーム時のみ初期化
