national_no,name,identifier,generation,types,evolution_chain_id,family_category,is_legendary,is_mythical,vega_status,integration_action,earliest_gate,primary_area,acquisition_method,encounter_rate_or_limit,conditions,dex_policy,id_policy,root_name,family,integration_mode,tohoku_map_code,tohoku_location,tohoku_method,tohoku_level,tohoku_rate,tohoku_condition,kanto_map_code,kanto_location,kanto_method,kanto_level,kanto_rate,kanto_condition,dual_region_role,table_policy,implementation_priority,tohoku_acquisition_summary,tohoku_final_location,tohoku_final_method,tohoku_final_rate,tohoku_final_condition,kanto_acquisition_summary,kanto_final_location,kanto_final_method,kanto_final_rate,kanto_final_condition,cross_region_completion_rule,source_design
1,フシギダネ,bulbasaur,1,くさ／どく,1,御三家,no,no,既存（トーホク図鑑152）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.152。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_152（実ROMから確定）,フシギダネ,フシギダネ → フシギソウ → フシギバナ,ベガ既存系統を完全保持,VEGA_NATIVE,ベガ既存地点（出現表・配布・進化を変更しない）,ベガ既存入手法,既存値,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,K33,タマムシ温室,ずつき／朝昼オーバーレイ,Lv.82～90,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,既存テーブル無変更,P0,ベガ既存入手法を完全保持,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.152。内部種族ID・図鑑登録・イベント参照を変更しない。,カントー高レベル野生生態,タマムシ温室,ずつき／朝昼オーバーレイ,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,通常系統は両地方で基礎種を捕獲可能。トーホクは早期育成、カントーは高レベル・隠れ特性・タマゴ技探索を担当。,V2二地方生態版／541系統配置マスター＋特殊個体イベントマスター
2,フシギソウ,ivysaur,1,くさ／どく,1,御三家,no,no,既存（トーホク図鑑153）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.153。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_153（実ROMから確定）,フシギダネ,フシギダネ → フシギソウ → フシギバナ,ベガ既存系統を完全保持,VEGA_NATIVE,ベガ既存地点（出現表・配布・進化を変更しない）,ベガ既存入手法,既存値,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,K33,タマムシ温室,ずつき／朝昼オーバーレイ,Lv.82～90,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,既存テーブル無変更,P0,ベガ既存入手法を完全保持,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.153。内部種族ID・図鑑登録・イベント参照を変更しない。,フシギダネをカントーで捕獲して進化,タマムシ温室,進化／認定章6個以降は中間進化がDexNav希少枠,通常野生は基礎種中心,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,通常系統は両地方で基礎種を捕獲可能。トーホクは早期育成、カントーは高レベル・隠れ特性・タマゴ技探索を担当。,V2二地方生態版／541系統配置マスター＋特殊個体イベントマスター
3,フシギバナ,venusaur,1,くさ／どく,1,御三家,no,no,既存（トーホク図鑑154）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.154。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_154（実ROMから確定）,フシギダネ,フシギダネ → フシギソウ → フシギバナ,ベガ既存系統を完全保持,VEGA_NATIVE,ベガ既存地点（出現表・配布・進化を変更しない）,ベガ既存入手法,既存値,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,K33,タマムシ温室,ずつき／朝昼オーバーレイ,Lv.82～90,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,既存テーブル無変更,P0,ベガ既存入手法を完全保持,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.154。内部種族ID・図鑑登録・イベント参照を変更しない。,フシギダネをカントーで捕獲して進化,タマムシ温室,進化／認定章6個以降は中間進化がDexNav希少枠,通常野生は基礎種中心,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,通常系統は両地方で基礎種を捕獲可能。トーホクは早期育成、カントーは高レベル・隠れ特性・タマゴ技探索を担当。,V2二地方生態版／541系統配置マスター＋特殊個体イベントマスター
4,ヒトカゲ,charmander,1,ほのお,2,御三家,no,no,既存（トーホク図鑑155）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.155。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_155（実ROMから確定）,ヒトカゲ,ヒトカゲ → リザード → リザードン,ベガ既存系統を完全保持,VEGA_NATIVE,ベガ既存地点（出現表・配布・進化を変更しない）,ベガ既存入手法,既存値,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,K03,3ばんどうろ,草むらオーバーレイ,Lv.71～75,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,既存テーブル無変更,P0,ベガ既存入手法を完全保持,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.155。内部種族ID・図鑑登録・イベント参照を変更しない。,カントー高レベル野生生態,3ばんどうろ,草むらオーバーレイ,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,通常系統は両地方で基礎種を捕獲可能。トーホクは早期育成、カントーは高レベル・隠れ特性・タマゴ技探索を担当。,V2二地方生態版／541系統配置マスター＋特殊個体イベントマスター
5,リザード,charmeleon,1,ほのお,2,御三家,no,no,既存（トーホク図鑑156）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.156。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_156（実ROMから確定）,ヒトカゲ,ヒトカゲ → リザード → リザードン,ベガ既存系統を完全保持,VEGA_NATIVE,ベガ既存地点（出現表・配布・進化を変更しない）,ベガ既存入手法,既存値,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,K03,3ばんどうろ,草むらオーバーレイ,Lv.71～75,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,既存テーブル無変更,P0,ベガ既存入手法を完全保持,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.156。内部種族ID・図鑑登録・イベント参照を変更しない。,ヒトカゲをカントーで捕獲して進化,3ばんどうろ,進化／認定章6個以降は中間進化がDexNav希少枠,通常野生は基礎種中心,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,通常系統は両地方で基礎種を捕獲可能。トーホクは早期育成、カントーは高レベル・隠れ特性・タマゴ技探索を担当。,V2二地方生態版／541系統配置マスター＋特殊個体イベントマスター
6,リザードン,charizard,1,ほのお／ひこう,2,御三家,no,no,既存（トーホク図鑑157）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.157。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_157（実ROMから確定）,ヒトカゲ,ヒトカゲ → リザード → リザードン,ベガ既存系統を完全保持,VEGA_NATIVE,ベガ既存地点（出現表・配布・進化を変更しない）,ベガ既存入手法,既存値,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,K03,3ばんどうろ,草むらオーバーレイ,Lv.71～75,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,既存テーブル無変更,P0,ベガ既存入手法を完全保持,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.157。内部種族ID・図鑑登録・イベント参照を変更しない。,ヒトカゲをカントーで捕獲して進化,3ばんどうろ,進化／認定章6個以降は中間進化がDexNav希少枠,通常野生は基礎種中心,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,通常系統は両地方で基礎種を捕獲可能。トーホクは早期育成、カントーは高レベル・隠れ特性・タマゴ技探索を担当。,V2二地方生態版／541系統配置マスター＋特殊個体イベントマスター
7,ゼニガメ,squirtle,1,みず,3,御三家,no,no,既存（トーホク図鑑158）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.158。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_158（実ROMから確定）,ゼニガメ,ゼニガメ → カメール → カメックス,ベガ既存系統を完全保持,VEGA_NATIVE,ベガ既存地点（出現表・配布・進化を変更しない）,ベガ既存入手法,既存値,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,K15,15ばんどうろ,水上オーバーレイ,Lv.85～90,通常表10～20%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,既存テーブル無変更,P0,ベガ既存入手法を完全保持,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.158。内部種族ID・図鑑登録・イベント参照を変更しない。,カントー高レベル野生生態,15ばんどうろ,水上オーバーレイ,通常表10～20%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,通常系統は両地方で基礎種を捕獲可能。トーホクは早期育成、カントーは高レベル・隠れ特性・タマゴ技探索を担当。,V2二地方生態版／541系統配置マスター＋特殊個体イベントマスター
8,カメール,wartortle,1,みず,3,御三家,no,no,既存（トーホク図鑑159）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.159。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_159（実ROMから確定）,ゼニガメ,ゼニガメ → カメール → カメックス,ベガ既存系統を完全保持,VEGA_NATIVE,ベガ既存地点（出現表・配布・進化を変更しない）,ベガ既存入手法,既存値,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,K15,15ばんどうろ,水上オーバーレイ,Lv.85～90,通常表10～20%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,既存テーブル無変更,P0,ベガ既存入手法を完全保持,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.159。内部種族ID・図鑑登録・イベント参照を変更しない。,ゼニガメをカントーで捕獲して進化,15ばんどうろ,進化／認定章6個以降は中間進化がDexNav希少枠,通常野生は基礎種中心,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,通常系統は両地方で基礎種を捕獲可能。トーホクは早期育成、カントーは高レベル・隠れ特性・タマゴ技探索を担当。,V2二地方生態版／541系統配置マスター＋特殊個体イベントマスター
9,カメックス,blastoise,1,みず,3,御三家,no,no,既存（トーホク図鑑160）,既存ベガ個体を保持,ベガ既存進行,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.160。内部種族ID・図鑑登録・イベント参照を変更しない。,トーホク図鑑にも既存番号で登録,VEGA_NATIVE_160（実ROMから確定）,ゼニガメ,ゼニガメ → カメール → カメックス,ベガ既存系統を完全保持,VEGA_NATIVE,ベガ既存地点（出現表・配布・進化を変更しない）,ベガ既存入手法,既存値,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,K15,15ばんどうろ,水上オーバーレイ,Lv.85～90,通常表10～20%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,既存テーブル無変更,P0,ベガ既存入手法を完全保持,ベガ既存地点,ベガ既存入手法,既存値,トーホク図鑑No.160。内部種族ID・図鑑登録・イベント参照を変更しない。,ゼニガメをカントーで捕獲して進化,15ばんどうろ,進化／認定章6個以降は中間進化がDexNav希少枠,通常野生は基礎種中心,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,通常系統は両地方で基礎種を捕獲可能。トーホクは早期育成、カントーは高レベル・隠れ特性・タマゴ技探索を担当。,V2二地方生態版／541系統配置マスター＋特殊個体イベントマスター
10,キャタピー,caterpie,1,むし,4,通常生態,no,no,未収録・追加対象,新IDへ追加,殿堂入り後,全国生態保護区（サファリ増設区画）,生態保護区ローテーション,対象日10～20%（チケットで固定可）,主に基礎形のみ出現。中間・最終進化は原則として育成で入手。時間帯・天候は生態チケットで任意固定可能。,全国研究図鑑へ登録（トーホク386完成条件には含めない）,NATIONAL_EXT_0010（新規16bit ID）,キャタピー,キャタピー → トランセル → バタフリー,外来生態レイヤーへ追加,T502,502ばんどうろ／すいどう,ずつき／朝昼オーバーレイ,Lv.3～6,追加抽選3～6%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K26,トキワのもり,ずつき／朝昼オーバーレイ,Lv.70～76,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2,トーホク野生生態,502ばんどうろ／すいどう,ずつき／朝昼オーバーレイ,追加抽選3～6%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,カントー高レベル野生生態,トキワのもり,ずつき／朝昼オーバーレイ,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,通常系統は両地方で基礎種を捕獲可能。トーホクは早期育成、カントーは高レベル・隠れ特性・タマゴ技探索を担当。,V2二地方生態版／541系統配置マスター＋特殊個体イベントマスター
