national_no,name,group,vega_existing,event_arc,primary_capture_region,primary_capture_location,secondary_clue_region,secondary_clue_location,unlock_requirement,event_flow,capture_level,primary_reward,secondary_reward,repeatability,capture_safety,shared_flag_policy,design_note
144,フリーザー,伝説,yes,ベガ既存イベント保持,トーホク,ベガ既存地点,カントー,カントー共鳴碑／研究記録,既存条件,既存の固定シンボル・進化・配布条件を変更しない。再戦救済だけ追加。,Lv.70,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,原則1回／救済再戦あり,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0144_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
145,サンダー,伝説,yes,ベガ既存イベント保持,トーホク,ベガ既存地点,カントー,カントー共鳴碑／研究記録,既存条件,既存の固定シンボル・進化・配布条件を変更しない。再戦救済だけ追加。,Lv.70,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,原則1回／救済再戦あり,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0145_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
146,ファイヤー,伝説,yes,ベガ既存イベント保持,トーホク,ベガ既存地点,カントー,カントー共鳴碑／研究記録,既存条件,既存の固定シンボル・進化・配布条件を変更しない。再戦救済だけ追加。,Lv.70,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,原則1回／救済再戦あり,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0146_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
150,ミュウツー,伝説,yes,ベガ既存イベント保持,トーホク,ベガ既存地点,カントー,カントー共鳴碑／研究記録,既存条件,既存の固定シンボル・進化・配布条件を変更しない。再戦救済だけ追加。,Lv.70,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,原則1回／救済再戦あり,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0150_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
151,ミュウ,幻,yes,ベガ既存イベント保持,トーホク,ベガ既存地点,カントー,カントー共鳴碑／研究記録,既存条件,既存の固定シンボル・進化・配布条件を変更しない。再戦救済だけ追加。,Lv.70,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,原則1回／救済再戦あり,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0151_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
243,ライコウ,伝説,yes,ベガ既存イベント保持,トーホク,ベガ既存地点,カントー,カントー共鳴碑／研究記録,既存条件,既存の固定シンボル・進化・配布条件を変更しない。再戦救済だけ追加。,Lv.70,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,原則1回／救済再戦あり,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0243_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
244,エンテイ,伝説,yes,ベガ既存イベント保持,トーホク,ベガ既存地点,カントー,カントー共鳴碑／研究記録,既存条件,既存の固定シンボル・進化・配布条件を変更しない。再戦救済だけ追加。,Lv.70,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,原則1回／救済再戦あり,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0244_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
245,スイクン,伝説,yes,ベガ既存イベント保持,トーホク,ベガ既存地点,カントー,カントー共鳴碑／研究記録,既存条件,既存の固定シンボル・進化・配布条件を変更しない。再戦救済だけ追加。,Lv.70,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,原則1回／救済再戦あり,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0245_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
249,ルギア,伝説,yes,ベガ既存イベント保持,トーホク,ベガ既存地点,カントー,カントー共鳴碑／研究記録,既存条件,既存の固定シンボル・進化・配布条件を変更しない。再戦救済だけ追加。,Lv.70,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,原則1回／救済再戦あり,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0249_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
250,ホウオウ,伝説,yes,ベガ既存イベント保持,トーホク,ベガ既存地点,カントー,カントー共鳴碑／研究記録,既存条件,既存の固定シンボル・進化・配布条件を変更しない。再戦救済だけ追加。,Lv.70,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,原則1回／救済再戦あり,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0250_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
251,セレビィ,幻,no,時渡りの庭,トーホク,ときのようかん中庭,カントー,トキワのもり・古木,殿堂入り＋ときのかけら3個,館内の時計を3つ直すと庭が出現し、セレビィと固定戦。,Lv.80,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0251_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
377,レジロック,伝説,no,古代巨人の封印,トーホク,ちえのどうくつ／こおりのしま／D・H炉心,カントー,おつきみやま／ふたごじま／シルフ地下,殿堂入り＋点字石板3枚,三つの石室を順に解放。全捕獲でレジギガス条件を立てる。,Lv.75,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0377_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
378,レジアイス,伝説,no,古代巨人の封印,トーホク,ちえのどうくつ／こおりのしま／D・H炉心,カントー,おつきみやま／ふたごじま／シルフ地下,殿堂入り＋点字石板3枚,三つの石室を順に解放。全捕獲でレジギガス条件を立てる。,Lv.75,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0378_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
379,レジスチル,伝説,no,古代巨人の封印,トーホク,ちえのどうくつ／こおりのしま／D・H炉心,カントー,おつきみやま／ふたごじま／シルフ地下,殿堂入り＋点字石板3枚,三つの石室を順に解放。全捕獲でレジギガス条件を立てる。,Lv.75,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0379_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
380,ラティアス,伝説,yes,ベガ既存イベント保持,トーホク,ベガ既存地点,カントー,カントー共鳴碑／研究記録,既存条件,既存の固定シンボル・進化・配布条件を変更しない。再戦救済だけ追加。,Lv.70,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,原則1回／救済再戦あり,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0380_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
381,ラティオス,伝説,yes,ベガ既存イベント保持,トーホク,ベガ既存地点,カントー,カントー共鳴碑／研究記録,既存条件,既存の固定シンボル・進化・配布条件を変更しない。再戦救済だけ追加。,Lv.70,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,原則1回／救済再戦あり,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0381_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
382,カイオーガ,伝説,no,海・陸・空の共鳴,トーホク,三島／スフィアいせき上層,カントー,ふたごじま／グレン火口／23ばんどうろ高空,殿堂入り＋各島の環境調査,天候を正常化する短いダンジョン後に固定戦。,Lv.75,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0382_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
383,グラードン,伝説,no,海・陸・空の共鳴,トーホク,三島／スフィアいせき上層,カントー,ふたごじま／グレン火口／23ばんどうろ高空,殿堂入り＋各島の環境調査,天候を正常化する短いダンジョン後に固定戦。,Lv.75,捕獲個体＋図鑑登録＋専用素材,共鳴記録／専用技素材／再戦解禁。重複個体は与えない。,1回／倒した場合は殿堂入り再更新で復活,倒した場合の復活フラグ、捕獲後の重複防止、手持ち満杯時のPC送付を共通処理,FLAG_SPECIAL_0383_CAUGHT を両地方で共有,一つのROMで全種入手可能。地方移動前に捕獲済みでもイベントは報酬のみ受領可能。
