check_id,category,description,result,actual,expected,severity,notes
B002,バランス,トーホク本編地点の新種比率がポストゲーム級でない,PASS,"['新種15～22%', '新種4～6%', '新種5～7%', '新種6～8%', '新種7～10%', '新種7～9%', '新種8～10%', '新種8～12%', '通常野生なし']",本編地点で60%以上なし,ERROR,
B003,バランス,カントー地点に原作種プールを保持,PASS,46/47,35/47以上,ERROR,
F001,ファイル,主要Markdownが存在,PASS,10,10,ERROR,
F002,ファイル,主要CSVが存在,PASS,15,15,ERROR,
V001,ベガ保護,ベガ既存通常・特殊・追加進化の保護方針が区別済み,PASS,"{'既存通常VEGA_NATIVE': 1, '既存特殊EVENT_T': 1, '追加進化に既存メンバー記録': 1}",全項目True,ERROR,既存系統の拡張5件は新しい進化先の生態地点を持つが、既存個体IDは保持する。
V002,ベガ保護,ベガ既存図鑑ID台帳386枠,PASS,386,386,ERROR,
M008,ローテーション,新系統7以上の地点にローテーション規則,PASS,56地点 / missing=0,missing=0,ERROR,
C002,一意性,進化系統IDが一意,PASS,541,541,ERROR,
C003,一意性,進化系統の根No.が一意,PASS,541,541,ERROR,
C005,一意性,全国図鑑No.が1～1025で一意,PASS,1～1025 / unique=1025,1～1025 / unique=1025,ERROR,
E002,一意性,イベントIDが一意,PASS,34,34,ERROR,
I002,一意性,重要アイテム置換IDが一意,PASS,24,24,ERROR,
M004,一意性,マップコードが一意,PASS,96,96,ERROR,
S004,一意性,特殊個体の全国No.が一意,PASS,125,125,ERROR,
S008,一意性,特殊個体の共有捕獲フラグが一意,PASS,125,125,ERROR,
C011,二地方導線,追加対象系統が両地方導線を持つ,PASS,436,436,ERROR,
C012,二地方導線,通常系統の両地方方法が固定イベント表記ではない,PASS,通常系統に重複捕獲なし表記=0,0,ERROR,
R001,代表配置,サニーゴのトーホク配置,PASS,509ばんどうろ／すいどう,509ばんを含む,ERROR,
R002,代表配置,バスラオのトーホク配置,PASS,513ばんどうろ／すいどう,513ばんを含む,ERROR,
R003,代表配置,プルリルのトーホク配置,PASS,513ばんどうろ／すいどう,513ばんを含む,ERROR,
R004,代表配置,パモのトーホク配置,PASS,501ばんどうろ／すいどう,501ばんを含む,ERROR,
R005,代表配置,セビエのトーホク配置,PASS,ユキユキやま,ユキユキやまを含む,ERROR,
C001,件数,進化系統マスターの行数,PASS,541,541,ERROR,
C004,件数,公式ポケモン入手マスターの行数,PASS,1025,1025,ERROR,
C007,件数,系統×地方の遭遇詳細行数,PASS,1082,1082,ERROR,
E001,件数,追加イベント34件,PASS,34,34,ERROR,
G001,件数,カントージム8件,PASS,8,8,ERROR,
G003,件数,トーホク再戦8件,PASS,8,8,ERROR,
I001,件数,カントー重要アイテム置換24件,PASS,24,24,ERROR,
M001,件数,マップ別レイヤーが96地点,PASS,96,96,ERROR,
M002,件数,トーホク地点数,PASS,49,49,ERROR,
M003,件数,カントー地点数,PASS,47,47,ERROR,
N001,件数,カントーNPC・イベント監査26件,PASS,26,26,ERROR,
S003,件数,特殊個体マスターが125種,PASS,125,125,ERROR,
C006,参照整合,全ポケモンが進化系統へ結合済み,PASS,1025,1025,ERROR,
C008,参照整合,各系統にトーホク・カントーの2導線,PASS,2地方=541/541,541/541,ERROR,
E005,参照整合,マップの連動イベントIDが定義済み,PASS,なし,なし,ERROR,
M005,参照整合,系統配置のマップコードが定義済み,PASS,なし,なし,ERROR,T_FOSSILとT_LABは野生マップではなく、考古学室／研究所の仮想取得コード。
E003,地域分担,トーホク16・カントー18イベント,PASS,"{'カントー': 18, 'トーホク': 16}","{'トーホク': 16, 'カントー': 18}",ERROR,
S005,地域分担,特殊個体の主捕獲地域は両地方に存在,PASS,"{'トーホク': 85, 'カントー': 40}",トーホク・カントー,ERROR,
C009,必須値,両地方の場所・方法・条件が空欄なし,PASS,0,0,ERROR,
C010,必須値,全1025種に両地方の最終入手欄,PASS,0,0,ERROR,
E004,必須値,イベント必須欄が空欄なし,PASS,0,0,ERROR,
G006,必須値,カントージム48体に特性・持ち物・4技,PASS,"欠損=0, 4技=48/48","欠損=0, 4技=48/48",ERROR,
G007,必須値,トーホク再戦48体に特性・持ち物・4技,PASS,0,0,ERROR,
G008,必須値,カントーリーグ30体に特性・持ち物・4技,PASS,0,0,ERROR,
G002,手持ち,カントージムは各6体,PASS,"{'K-GYM01': 6, 'K-GYM02': 6, 'K-GYM03': 6, 'K-GYM04': 6, 'K-GYM05': 6, 'K-GYM06': 6, 'K-GYM07': 6, 'K-GYM08': 6}",各6体,ERROR,
G004,手持ち,トーホク再戦は各6体,PASS,"{'アマナ': 6, 'キリ': 6, 'コナギ': 6, 'サザンカ': 6, 'スレナ／ミュウツー': 6, 'ナギナタ': 6, 'ハンザ': 6, 'モク＆レン': 6}",各6体,ERROR,
G005,手持ち,カントーリーグ5人×6体,PASS,"{'カンナ': 6, 'キクコ': 6, 'グリーン': 6, 'シバ': 6, 'ワタル': 6}",5人×各6体,ERROR,
F003,文字コード,主要MarkdownをUTF-8で読める,PASS,なし,なし,ERROR,
F004,文字コード,主要CSVをUTF-8-SIGで解析できる,PASS,なし,なし,ERROR,
M006,既存保護,トーホク全地点に既存枠保護方針,PASS,49,49,ERROR,
M007,既存保護,カントー全地点に原作枠保護方針,PASS,47,47,ERROR,
S001,特殊個体,特殊系統は通常野生表へ入れない,PASS,118/118,118/118,ERROR,
S002,特殊個体,特殊系統はイベント導線コードのみ,PASS,"{'EVENT_T': 118, 'EVENT_K': 118}",EVENT_T/EVENT_K,ERROR,
S009,特殊個体,特殊125種に通常野生入手が残っていない,PASS,なし,なし,ERROR,
B001,生態整合,水系統が水辺・釣り・水上等へ接続,PASS,なし,なし,ERROR,進化系統の集約タイプではなく、基礎種（根種）のタイプで検査。ベガ既存入手、化石復元、研究タマゴ、固定イベントは対象外。
