evolution_id,from_national_no,from_name,to_national_no,to_name,official_condition,vega_integrated_condition,requires_new_item_or_counter,implementation_note
1,1,フシギダネ,2,フシギソウ,レベルアップ＋Lv.16以上,レベルアップ＋Lv.16以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,既存ベガ種族IDを参照元にしたまま、新種族IDへ接続
2,2,フシギソウ,3,フシギバナ,レベルアップ＋Lv.32以上,レベルアップ＋Lv.32以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,既存ベガ種族IDを参照元にしたまま、新種族IDへ接続
3,4,ヒトカゲ,5,リザード,レベルアップ＋Lv.16以上,レベルアップ＋Lv.16以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,既存ベガ種族IDを参照元にしたまま、新種族IDへ接続
4,5,リザード,6,リザードン,レベルアップ＋Lv.36以上,レベルアップ＋Lv.36以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,既存ベガ種族IDを参照元にしたまま、新種族IDへ接続
5,7,ゼニガメ,8,カメール,レベルアップ＋Lv.16以上,レベルアップ＋Lv.16以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,既存ベガ種族IDを参照元にしたまま、新種族IDへ接続
6,8,カメール,9,カメックス,レベルアップ＋Lv.36以上,レベルアップ＋Lv.36以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,既存ベガ種族IDを参照元にしたまま、新種族IDへ接続
7,10,キャタピー,11,トランセル,レベルアップ＋Lv.7以上,レベルアップ＋Lv.7以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
8,11,トランセル,12,バタフリー,レベルアップ＋Lv.10以上,レベルアップ＋Lv.10以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
9,13,ビードル,14,コクーン,レベルアップ＋Lv.7以上,レベルアップ＋Lv.7以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
10,14,コクーン,15,スピアー,レベルアップ＋Lv.10以上,レベルアップ＋Lv.10以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
11,16,ポッポ,17,ピジョン,レベルアップ＋Lv.18以上,レベルアップ＋Lv.18以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
12,17,ピジョン,18,ピジョット,レベルアップ＋Lv.36以上,レベルアップ＋Lv.36以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
13,19,コラッタ,20,ラッタ,レベルアップ＋Lv.20以上,レベルアップ＋Lv.20以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
14,21,オニスズメ,22,オニドリル,レベルアップ＋Lv.20以上,レベルアップ＋Lv.20以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,DPE拡張系統内で接続
15,23,アーボ,24,アーボック,レベルアップ＋Lv.22以上,レベルアップ＋Lv.22以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,既存ベガ種族IDを参照元にしたまま、新種族IDへ接続
16,172,ピチュー,25,ピカチュウ,レベルアップ＋なつき度220以上,レベルアップ＋なつき度220以上（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,既存ベガ種族IDを参照元にしたまま、新種族IDへ接続
17,25,ピカチュウ,26,ライチュウ,道具使用＋かみなりのいしを使う,道具使用＋かみなりのいしを使う（CFRU/DPEの対応トリガーを使用。通信・RTC必須にはしない）,いいえ,既存ベガ種族IDを参照元にしたまま、新種族IDへ接続
