evolution_chain_id,root_national_no,family,root_name,generation_first,types,category,vega_existing_members,new_members_to_import,integration_mode,tohoku_map_code,tohoku_location,tohoku_method,tohoku_level,tohoku_rate,tohoku_condition,kanto_map_code,kanto_location,kanto_method,kanto_level,kanto_rate,kanto_condition,dual_region_role,table_policy,implementation_priority
1,1,フシギダネ → フシギソウ → フシギバナ,フシギダネ,1,どく／くさ,御三家,フシギダネ・フシギソウ・フシギバナ,なし,ベガ既存系統を完全保持,VEGA_NATIVE,ベガ既存地点（出現表・配布・進化を変更しない）,ベガ既存入手法,既存値,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,K33,タマムシ温室,ずつき／朝昼オーバーレイ,Lv.82～90,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,既存テーブル無変更,P0
2,4,ヒトカゲ → リザード → リザードン,ヒトカゲ,1,ひこう／ほのお,御三家,ヒトカゲ・リザード・リザードン,なし,ベガ既存系統を完全保持,VEGA_NATIVE,ベガ既存地点（出現表・配布・進化を変更しない）,ベガ既存入手法,既存値,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,K03,3ばんどうろ,草むらオーバーレイ,Lv.71～75,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,既存テーブル無変更,P0
3,7,ゼニガメ → カメール → カメックス,ゼニガメ,1,みず,御三家,ゼニガメ・カメール・カメックス,なし,ベガ既存系統を完全保持,VEGA_NATIVE,ベガ既存地点（出現表・配布・進化を変更しない）,ベガ既存入手法,既存値,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,K15,15ばんどうろ,水上オーバーレイ,Lv.85～90,通常表10～20%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,既存テーブル無変更,P0
4,10,キャタピー → トランセル → バタフリー,キャタピー,1,ひこう／むし,通常生態,なし,キャタピー・トランセル・バタフリー,外来生態レイヤーへ追加,T502,502ばんどうろ／すいどう,ずつき／朝昼オーバーレイ,Lv.3～6,追加抽選3～6%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K26,トキワのもり,ずつき／朝昼オーバーレイ,Lv.70～76,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
5,13,ビードル → コクーン → スピアー,ビードル,1,どく／むし,通常生態,なし,ビードル・コクーン・スピアー,外来生態レイヤーへ追加,T504,504ばんどうろ／すいどう,草むらオーバーレイ,Lv.9～13,追加抽選3～6%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K26,トキワのもり,ずつき／朝昼オーバーレイ,Lv.70～76,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
6,16,ポッポ → ピジョン → ピジョット,ポッポ,1,ノーマル／ひこう,通常生態,なし,ポッポ・ピジョン・ピジョット,外来生態レイヤーへ追加,T506,506ばんどうろ／すいどう,大量発生,Lv.12～17,通常0%／発生中20～35%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K01,1ばんどうろ,大量発生,Lv.68～72,通常0%／発生中20～35%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
7,19,コラッタ → ラッタ,コラッタ,1,ノーマル,通常生態,なし,コラッタ・ラッタ,外来生態レイヤーへ追加,T506,506ばんどうろ／すいどう,草むらオーバーレイ,Lv.12～17,追加抽選3～6%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K01,1ばんどうろ,草むらオーバーレイ,Lv.68～72,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
8,21,オニスズメ → オニドリル,オニスズメ,1,ノーマル／ひこう,通常生態,なし,オニスズメ・オニドリル,外来生態レイヤーへ追加,T502,502ばんどうろ／すいどう,ずつき／朝昼オーバーレイ,Lv.3～6,追加抽選3～6%,本編必須フラグを変更せず、外来生態フラグ・時間帯・DexNav・大量発生で制御,K03,3ばんどうろ,草むらオーバーレイ,Lv.71～75,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。,ベガ既存11枠を上書きせず、CFRU側の条件付きオーバーレイ／DexNav／大量発生へ登録,P2
9,23,アーボ → アーボック,アーボ,1,どく,通常生態,アーボ・アーボック,なし,ベガ既存系統を完全保持,VEGA_NATIVE,ベガ既存地点（出現表・配布・進化を変更しない）,ベガ既存入手法,既存値,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,K11,11ばんどうろ,草むらオーバーレイ,Lv.76～82,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,既存テーブル無変更,P0
11,27,サンド → サンドパン,サンド,1,じめん,通常生態,サンド・サンドパン,なし,ベガ既存系統を完全保持,VEGA_NATIVE,ベガ既存地点（出現表・配布・進化を変更しない）,ベガ既存入手法,既存値,既存値,既存イベント・野生表・進化条件を原則維持。現代化で条件が壊れる場合のみ互換処理。,K04,4ばんどうろ,草むらオーバーレイ,Lv.72～77,通常表8～15%,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。,既存テーブル無変更,P0
