ability_key,id,vega_id,cfru_id,cfru_symbol,dpe_symbol,classification,display_name,description_key,effect_key,runtime_binding,status,notes
ABILITY_KEY_NONE,0,0,0,ABILITY_NONE,ABILITY_NONE,VEGA_CFRU_CANONICAL,ーーーーーーー,ABILITY_DESC_NONE,ABILITY_EFFECT_NONE,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_STENCH,1,1,1,ABILITY_STENCH,ABILITY_STENCH,VEGA_CFRU_CANONICAL,あくしゅう,ABILITY_DESC_STENCH,ABILITY_EFFECT_STENCH,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_DRIZZLE,2,2,2,ABILITY_DRIZZLE,ABILITY_DRIZZLE,VEGA_CFRU_CANONICAL,あめふらし,ABILITY_DESC_DRIZZLE,ABILITY_EFFECT_DRIZZLE,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_SPEEDBOOST,3,3,3,ABILITY_SPEEDBOOST,ABILITY_SPEEDBOOST,VEGA_CFRU_CANONICAL,かそく,ABILITY_DESC_SPEEDBOOST,ABILITY_EFFECT_SPEEDBOOST,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_BATTLEARMOR,4,4,4,ABILITY_BATTLEARMOR,ABILITY_BATTLEARMOR,VEGA_CFRU_CANONICAL,カブトアーマー,ABILITY_DESC_BATTLEARMOR,ABILITY_EFFECT_BATTLEARMOR,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_STURDY,5,5,5,ABILITY_STURDY,ABILITY_STURDY,VEGA_CFRU_CANONICAL,がんじょう,ABILITY_DESC_STURDY,ABILITY_EFFECT_STURDY,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_DAMP,6,6,6,ABILITY_DAMP,ABILITY_DAMP,VEGA_CFRU_CANONICAL,しめりけ,ABILITY_DESC_DAMP,ABILITY_EFFECT_DAMP,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_LIMBER,7,7,7,ABILITY_LIMBER,ABILITY_LIMBER,VEGA_CFRU_CANONICAL,じゅうなん,ABILITY_DESC_LIMBER,ABILITY_EFFECT_LIMBER,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_SANDVEIL,8,8,8,ABILITY_SANDVEIL,ABILITY_SANDVEIL,VEGA_CFRU_CANONICAL,すながくれ,ABILITY_DESC_SANDVEIL,ABILITY_EFFECT_SANDVEIL,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_STATIC,9,9,9,ABILITY_STATIC,ABILITY_STATIC,VEGA_CFRU_CANONICAL,せいでんき,ABILITY_DESC_STATIC,ABILITY_EFFECT_STATIC,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_VOLTABSORB,10,10,10,ABILITY_VOLTABSORB,ABILITY_VOLTABSORB,VEGA_CFRU_CANONICAL,ちくでん,ABILITY_DESC_VOLTABSORB,ABILITY_EFFECT_VOLTABSORB,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_WATERABSORB,11,11,11,ABILITY_WATERABSORB,ABILITY_WATERABSORB,VEGA_CFRU_CANONICAL,ちょすい,ABILITY_DESC_WATERABSORB,ABILITY_EFFECT_WATERABSORB,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_OBLIVIOUS,12,12,12,ABILITY_OBLIVIOUS,ABILITY_OBLIVIOUS,VEGA_CFRU_CANONICAL,どんかん,ABILITY_DESC_OBLIVIOUS,ABILITY_EFFECT_OBLIVIOUS,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
ABILITY_KEY_CLOUDNINE,13,13,13,ABILITY_CLOUDNINE,ABILITY_CLOUDNINE,VEGA_CFRU_CANONICAL,ノーてんき,ABILITY_DESC_CLOUDNINE,ABILITY_EFFECT_CLOUDNINE,VEGA_FROZEN_RUNTIME,FROZEN,Vega table row preserved byte-for-byte
