mode_key,tier,format,selection_count,battle_count,unlock_key,rental_pool_key,trainer_pool_key,level_policy,mechanic_policy,ai_profile_key,party_owner,state_owner,link_multi,status,notes
FACILITY_MODE_TRIAL_SINGLE,TRIAL,SINGLE,3,3,KANTO_EARLY_ACCESS,RENTAL_POOL_KEY_BEGINNER,TRAINER_POOL_KEY_TRIAL,LEVEL_50_NORMALIZE,NONE,AI_BASIC,FACTORY,OWNER_KEY_FACTORY_STATE,false,ACTIVE,候補6体から3体選択・勝利後交換
FACILITY_MODE_TRIAL_DOUBLE,TRIAL,DOUBLE,3,3,KANTO_EARLY_ACCESS,RENTAL_POOL_KEY_BEGINNER,TRAINER_POOL_KEY_TRIAL,LEVEL_50_NORMALIZE,NONE,AI_BASIC,FACTORY,OWNER_KEY_FACTORY_STATE,false,ACTIVE,候補6体から3体選択・勝利後交換
FACILITY_MODE_TRIAL_NPC_PARTNER_MULTI,TRIAL,NPC_PARTNER_MULTI,3,3,KANTO_EARLY_ACCESS,RENTAL_POOL_KEY_BEGINNER,TRAINER_POOL_KEY_TRIAL,LEVEL_50_NORMALIZE,NONE,AI_BASIC,FACTORY,OWNER_KEY_FACTORY_STATE,false,ACTIVE,候補6体から3体選択・勝利後交換
FACILITY_MODE_TRIAL_RANDOM,TRIAL,RANDOM,3,3,KANTO_EARLY_ACCESS,RENTAL_POOL_KEY_BEGINNER,TRAINER_POOL_KEY_TRIAL,LEVEL_50_NORMALIZE,NONE,AI_BASIC,FACTORY,OWNER_KEY_FACTORY_STATE,false,ACTIVE,候補6体から3体選択・勝利後交換
FACILITY_MODE_STANDARD_SINGLE,STANDARD,SINGLE,3,7,FACTORY_STANDARD,RENTAL_POOL_KEY_INTERMEDIATE,TRAINER_POOL_KEY_STANDARD,LEVEL_50_NORMALIZE,MEGA,AI_SEMI_SMART,FACTORY,OWNER_KEY_FACTORY_STATE,false,ACTIVE,候補6体から3体選択・勝利後交換
FACILITY_MODE_STANDARD_DOUBLE,STANDARD,DOUBLE,3,7,FACTORY_STANDARD,RENTAL_POOL_KEY_INTERMEDIATE,TRAINER_POOL_KEY_STANDARD,LEVEL_50_NORMALIZE,MEGA,AI_SEMI_SMART,FACTORY,OWNER_KEY_FACTORY_STATE,false,ACTIVE,候補6体から3体選択・勝利後交換
FACILITY_MODE_STANDARD_NPC_PARTNER_MULTI,STANDARD,NPC_PARTNER_MULTI,3,7,FACTORY_STANDARD,RENTAL_POOL_KEY_INTERMEDIATE,TRAINER_POOL_KEY_STANDARD,LEVEL_50_NORMALIZE,MEGA,AI_SEMI_SMART,FACTORY,OWNER_KEY_FACTORY_STATE,false,ACTIVE,候補6体から3体選択・勝利後交換
FACILITY_MODE_STANDARD_RANDOM,STANDARD,RANDOM,3,7,FACTORY_STANDARD,RENTAL_POOL_KEY_INTERMEDIATE,TRAINER_POOL_KEY_STANDARD,LEVEL_50_NORMALIZE,MEGA,AI_SEMI_SMART,FACTORY,OWNER_KEY_FACTORY_STATE,false,ACTIVE,候補6体から3体選択・勝利後交換
FACILITY_MODE_FULL_SINGLE,FULL,SINGLE,3,7,FACTORY_FULL,RENTAL_POOL_KEY_ADVANCED,TRAINER_POOL_KEY_FULL,LEVEL_50_NORMALIZE,Z,AI_FULL_SMART,FACTORY,OWNER_KEY_FACTORY_STATE,false,ACTIVE,候補6体から3体選択・勝利後交換
FACILITY_MODE_FULL_DOUBLE,FULL,DOUBLE,3,7,FACTORY_FULL,RENTAL_POOL_KEY_ADVANCED,TRAINER_POOL_KEY_FULL,LEVEL_50_NORMALIZE,Z,AI_FULL_SMART,FACTORY,OWNER_KEY_FACTORY_STATE,false,ACTIVE,候補6体から3体選択・勝利後交換
FACILITY_MODE_FULL_NPC_PARTNER_MULTI,FULL,NPC_PARTNER_MULTI,3,7,FACTORY_FULL,RENTAL_POOL_KEY_ADVANCED,TRAINER_POOL_KEY_FULL,LEVEL_50_NORMALIZE,Z,AI_FULL_SMART,FACTORY,OWNER_KEY_FACTORY_STATE,false,ACTIVE,候補6体から3体選択・勝利後交換
FACILITY_MODE_FULL_RANDOM,FULL,RANDOM,3,7,FACTORY_FULL,RENTAL_POOL_KEY_ADVANCED,TRAINER_POOL_KEY_FULL,LEVEL_50_NORMALIZE,Z,AI_FULL_SMART,FACTORY,OWNER_KEY_FACTORY_STATE,false,ACTIVE,候補6体から3体選択・勝利後交換
FACILITY_MODE_MASTER_SINGLE,MASTER,SINGLE,3,7,FACTORY_MASTER,RENTAL_POOL_KEY_MIX,TRAINER_POOL_KEY_MASTER,LEVEL_50_NORMALIZE,TERA,AI_FULL_SMART,FACTORY,OWNER_KEY_FACTORY_STATE,false,ACTIVE,候補6体から3体選択・勝利後交換
