rental_key,pool_key,origin_bucket,species_key,form_key,level,nature_key,iv_policy,ev_spread_key,item_key,move1_key,move2_key,move3_key,move4_key,ability_key,gmax_allowed,tera_type_key,weight,unlock_key,status,notes
RENTAL_KEY_BEGINNER_01,RENTAL_POOL_KEY_BEGINNER,OFFICIAL,SPECIES_KEY_PRIMEAPE,NONE,50,NATURE_SERIOUS,ALL_31,EV_SPREAD_ROLE_510,ITEM_KEY_ORAN_BERRY,MOVE_KEY_CLOSECOMBAT,MOVE_KEY_RAGEFIST,MOVE_KEY_PROTECT,MOVE_KEY_ROCKSLIDE,ABILITY_KEY_DEFIANT,false,TYPE_KEY_NONE,1,KANTO_EARLY_ACCESS,ACTIVE,明示的rental spread
RENTAL_KEY_BEGINNER_02,RENTAL_POOL_KEY_BEGINNER,OFFICIAL,SPECIES_KEY_MANKEY,NONE,50,NATURE_SERIOUS,ALL_31,EV_SPREAD_ROLE_510,ITEM_KEY_ORAN_BERRY,MOVE_KEY_KARATECHOP,MOVE_KEY_ROCKSLIDE,MOVE_KEY_PROTECT,MOVE_KEY_THIEF,ABILITY_KEY_VITALSPIRIT,false,TYPE_KEY_NONE,1,KANTO_EARLY_ACCESS,ACTIVE,明示的rental spread
RENTAL_KEY_BEGINNER_03,RENTAL_POOL_KEY_BEGINNER,OFFICIAL,SPECIES_KEY_PIKACHU,NONE,50,NATURE_SERIOUS,ALL_31,EV_SPREAD_ROLE_510,ITEM_KEY_LIGHT_BALL,MOVE_KEY_THUNDERBOLT,MOVE_KEY_VOLTSWITCH,MOVE_KEY_GRASSKNOT,MOVE_KEY_PROTECT,ABILITY_KEY_STATIC,false,TYPE_KEY_NONE,1,KANTO_EARLY_ACCESS,ACTIVE,明示的rental spread
RENTAL_KEY_BEGINNER_04,RENTAL_POOL_KEY_BEGINNER,OFFICIAL,SPECIES_KEY_DIGLETT,NONE,50,NATURE_SERIOUS,ALL_31,EV_SPREAD_ROLE_510,ITEM_KEY_FOCUS_SASH,MOVE_KEY_EARTHQUAKE,MOVE_KEY_ROCKSLIDE,MOVE_KEY_SUCKERPUNCH,MOVE_KEY_PROTECT,ABILITY_KEY_SANDVEIL,false,TYPE_KEY_NONE,1,KANTO_EARLY_ACCESS,ACTIVE,明示的rental spread
RENTAL_KEY_BEGINNER_05,RENTAL_POOL_KEY_BEGINNER,OFFICIAL,SPECIES_KEY_MAGNEMITE,NONE,50,NATURE_SERIOUS,ALL_31,EV_SPREAD_ROLE_510,ITEM_KEY_EVIOLITE,MOVE_KEY_THUNDERBOLT,MOVE_KEY_FLASHCANNON,MOVE_KEY_VOLTSWITCH,MOVE_KEY_PROTECT,ABILITY_KEY_STURDY,false,TYPE_KEY_NONE,1,KANTO_EARLY_ACCESS,ACTIVE,明示的rental spread
RENTAL_KEY_BEGINNER_06,RENTAL_POOL_KEY_BEGINNER,OFFICIAL,SPECIES_KEY_DROWZEE,NONE,50,NATURE_SERIOUS,ALL_31,EV_SPREAD_ROLE_510,ITEM_KEY_SITRUS_BERRY,MOVE_KEY_PSYCHIC,MOVE_KEY_DAZZLINGGLEAM,MOVE_KEY_HYPNOSIS,MOVE_KEY_PROTECT,ABILITY_KEY_INSOMNIA,false,TYPE_KEY_NONE,1,KANTO_EARLY_ACCESS,ACTIVE,明示的rental spread
RENTAL_KEY_INTERMEDIATE_01,RENTAL_POOL_KEY_INTERMEDIATE,OFFICIAL,SPECIES_KEY_GARGANACL,NONE,50,NATURE_JOLLY,ALL_31,EV_SPREAD_ROLE_510,ITEM_KEY_LEFTOVERS,MOVE_KEY_SALTCURE,MOVE_KEY_RECOVER,MOVE_KEY_BODYPRESS,MOVE_KEY_STEALTHROCK,ABILITY_KEY_PURIFYINGSALT,false,TYPE_KEY_NONE,1,FACTORY_STANDARD,ACTIVE,明示的rental spread
RENTAL_KEY_INTERMEDIATE_02,RENTAL_POOL_KEY_INTERMEDIATE,OFFICIAL,SPECIES_KEY_KLEAVOR,NONE,50,NATURE_JOLLY,ALL_31,EV_SPREAD_ROLE_510,ITEM_KEY_FOCUS_SASH,MOVE_KEY_STONEAXE,MOVE_KEY_XSCISSOR,MOVE_KEY_NIGHTSLASH,MOVE_KEY_QUICKATTACK,ABILITY_KEY_SHARPNESS,false,TYPE_KEY_NONE,1,FACTORY_STANDARD,ACTIVE,明示的rental spread
RENTAL_KEY_INTERMEDIATE_03,RENTAL_POOL_KEY_INTERMEDIATE,OFFICIAL,SPECIES_KEY_COALOSSAL,NONE,50,NATURE_JOLLY,ALL_31,EV_SPREAD_ROLE_510,ITEM_KEY_WEAKNESS_POLICY,MOVE_KEY_HEATCRASH,MOVE_KEY_ROCKBLAST,MOVE_KEY_BODYPRESS,MOVE_KEY_TARSHOT,ABILITY_KEY_STEAMENGINE,false,TYPE_KEY_NONE,1,FACTORY_STANDARD,ACTIVE,明示的rental spread
RENTAL_KEY_INTERMEDIATE_04,RENTAL_POOL_KEY_INTERMEDIATE,OFFICIAL,SPECIES_KEY_RHYPERIOR,NONE,50,NATURE_JOLLY,ALL_31,EV_SPREAD_ROLE_510,ITEM_KEY_ASSAULT_VEST,MOVE_KEY_EARTHQUAKE,MOVE_KEY_ROCKWRECKER,MOVE_KEY_ICEPUNCH,MOVE_KEY_HAMMERARM,ABILITY_KEY_SOLIDROCK,false,TYPE_KEY_NONE,1,FACTORY_STANDARD,ACTIVE,明示的rental spread
