facility_reward_key,trigger_kind,streak,currency_key,amount,item_key,quantity,unlock_key,repeatability,claim_key,status,notes
FACILITY_REWARD_KEY_TRIAL_XS,TRIAL_FIRST,0,NONE,0,ITEM_KEY_EXP_CANDY_XS,5,KANTO_EARLY_ACCESS,ONCE,CLAIM_KEY_FACTORY_TRIAL_XS,ACTIVE,Trial初回 XS×5
FACILITY_REWARD_KEY_TRIAL_S,TRIAL_FIRST,0,NONE,0,ITEM_KEY_EXP_CANDY_S,2,KANTO_EARLY_ACCESS,ONCE,CLAIM_KEY_FACTORY_TRIAL_S,ACTIVE,Trial初回 S×2
FACILITY_REWARD_KEY_TRIAL_BP,TRIAL_FIRST,0,CURRENCY_KEY_BP,3,ITEM_KEY_NONE,0,KANTO_EARLY_ACCESS,ONCE,CLAIM_KEY_FACTORY_TRIAL_BP,ACTIVE,Trial初回 BP3
FACILITY_REWARD_KEY_TRIAL_REPEAT_BP1,TRIAL_REPEAT,0,CURRENCY_KEY_BP,1,ITEM_KEY_ORAN_BERRY,1,KANTO_EARLY_ACCESS,REPEATABLE,NONE,ACTIVE,反復抽選の下限BP+木の実
FACILITY_REWARD_KEY_TRIAL_REPEAT_BP2,TRIAL_REPEAT,0,CURRENCY_KEY_BP,2,ITEM_KEY_ULTRA_BALL,1,KANTO_EARLY_ACCESS,REPEATABLE,NONE,ACTIVE,反復抽選の上限BP+ball
FACILITY_REWARD_KEY_STREAK_003,STREAK,3,CREDIT_KEY_HABITAT,1,ITEM_KEY_NONE,0,KANTO_EARLY_ACCESS,ONCE,CLAIM_KEY_STREAK_003,ACTIVE,段階遭遇credit
FACILITY_REWARD_KEY_STREAK_007,STREAK,7,CREDIT_KEY_TYPE,1,ITEM_KEY_NONE,0,KANTO_EARLY_ACCESS,ONCE,CLAIM_KEY_STREAK_007,ACTIVE,段階遭遇credit
FACILITY_REWARD_KEY_STREAK_014,STREAK,14,CREDIT_KEY_RARE,1,ITEM_KEY_NONE,0,KANTO_EARLY_ACCESS,ONCE,CLAIM_KEY_STREAK_014,ACTIVE,段階遭遇credit
FACILITY_REWARD_KEY_STREAK_021,STREAK,21,CREDIT_KEY_RANDOM,1,ITEM_KEY_NONE,0,KANTO_EARLY_ACCESS,ONCE,CLAIM_KEY_STREAK_021,ACTIVE,段階遭遇credit
FACILITY_REWARD_KEY_STREAK_049,SPECIAL_EVENT,49,NONE,0,ITEM_KEY_NONE,0,FACTORY_MASTER,ONCE,CLAIM_KEY_STREAK_049_EVENT,ACTIVE,一度限りの特殊event key
FACILITY_REWARD_KEY_STREAK_100,SHINY_MEMORIAL,100,NONE,0,ITEM_KEY_NONE,0,FACTORY_MASTER,ONCE,CLAIM_KEY_STREAK_100_SHINY,ACTIVE,一度限り非伝説色違い記念枠
FACILITY_REWARD_KEY_SHOP_EXP_CANDY_XS,SHOP_PRICE,0,CURRENCY_KEY_BP,-1,ITEM_KEY_EXP_CANDY_XS,1,VEGA_DH_CLEAR,REPEATABLE,NONE,ACTIVE,T16初期BP価格
FACILITY_REWARD_KEY_SHOP_EXP_CANDY_S,SHOP_PRICE,0,CURRENCY_KEY_BP,-2,ITEM_KEY_EXP_CANDY_S,1,VEGA_DH_CLEAR,REPEATABLE,NONE,ACTIVE,T16初期BP価格
FACILITY_REWARD_KEY_SHOP_FIRE_STONE,SHOP_PRICE,0,CURRENCY_KEY_BP,-3,ITEM_KEY_FIRE_STONE,1,KANTO_EARLY_ACCESS,REPEATABLE,NONE,ACTIVE,T16初期BP価格
FACILITY_REWARD_KEY_SHOP_EVERSTONE,SHOP_PRICE,0,CURRENCY_KEY_BP,-4,ITEM_KEY_EVERSTONE,1,VEGA_BADGE_1,REPEATABLE,NONE,ACTIVE,T16初期BP価格
FACILITY_REWARD_KEY_SHOP_DESTINY_KNOT,SHOP_PRICE,0,CURRENCY_KEY_BP,-12,ITEM_KEY_DESTINY_KNOT,1,KANTO_DAYCARE_QUEST,REPEATABLE,NONE,ACTIVE,T16初期BP価格
FACILITY_REWARD_KEY_SHOP_POWER_BRACER,SHOP_PRICE,0,CURRENCY_KEY_BP,-8,ITEM_KEY_POWER_BRACER,1,VEGA_BADGE_5,REPEATABLE,NONE,ACTIVE,T16初期BP価格
FACILITY_REWARD_KEY_SHOP_JOLLY_MINT,SHOP_PRICE,0,CURRENCY_KEY_BP,-8,ITEM_KEY_JOLLY_MINT,1,VEGA_DH_CLEAR,REPEATABLE,NONE,ACTIVE,T16初期BP価格
FACILITY_REWARD_KEY_SHOP_ABILITY_CAPSULE,SHOP_PRICE,0,CURRENCY_KEY_BP,-16,ITEM_KEY_ABILITY_CAPSULE,1,VEGA_DH_CLEAR,REPEATABLE,NONE,ACTIVE,T16初期BP価格
FACILITY_REWARD_KEY_SHOP_EXP_CANDY_M,SHOP_PRICE,0,CURRENCY_KEY_BP,-4,ITEM_KEY_EXP_CANDY_M,1,VEGA_BADGE_6,REPEATABLE,NONE,ACTIVE,T16初期BP価格
FACILITY_REWARD_KEY_SHOP_CHOICE_BAND,SHOP_PRICE,0,CURRENCY_KEY_BP,-24,ITEM_KEY_CHOICE_BAND,1,COMPETITIVE_SUPPLY_UNLOCKED,REPEATABLE,NONE,ACTIVE,T16初期BP価格
FACILITY_REWARD_KEY_SHOP_BOTTLE_CAP,SHOP_PRICE,0,CURRENCY_KEY_BP,-32,ITEM_KEY_BOTTLE_CAP,1,VEGA_BADGE_7,REPEATABLE,NONE,ACTIVE,T16初期BP価格
FACILITY_REWARD_KEY_SHOP_ABILITY_PATCH,SHOP_PRICE,0,CURRENCY_KEY_BP,-64,ITEM_KEY_ABILITY_PATCH,1,VEGA_BADGE_8,REPEATABLE,NONE,ACTIVE,T16初期BP価格
FACILITY_REWARD_KEY_SHOP_GOLD_BOTTLE_CAP,SHOP_PRICE,0,CURRENCY_KEY_BP,-128,ITEM_KEY_GOLD_BOTTLE_CAP,1,KANTO_LEAGUE_CLEAR,REPEATABLE,NONE,ACTIVE,T16初期BP価格
FACILITY_REWARD_KEY_SHOP_EXP_CANDY_XL,SHOP_PRICE,0,CURRENCY_KEY_BP,-12,ITEM_KEY_EXP_CANDY_XL,1,KANTO_LEAGUE_CLEAR,REPEATABLE,NONE,ACTIVE,T16初期BP価格
