domain,owner,start_id,end_id,status,notes
move,Vega,0,511,FROZEN,T04で固定したVega既存Move ID
move,CFRU-JP,512,1062,ALLOCATED,T04で追加したCFRU未収録551技
type,Vega,0,17,FROZEN,T05で固定したVega既存Type ID
type,CFRU-JP,18,24,ALLOCATED,T05で疎なCFRU Type ABIとactive Fairy/Stellarを固定
ability,Vega,0,77,FROZEN,T05で固定したVega既存Ability ID
ability,CFRU-JP,78,311,ALLOCATED,CFRU ID 77以降をsource順で追加、Air LockはVega ID 77へalias
item,Vega,0,374,FROZEN,T05で未使用slotを含め固定したVega既存Item ID
item,CFRU-JP,375,987,ALLOCATED,意味同一を証明できないCFRU 613 itemをsource順で追加
item,QOL,988,998,ALLOCATED,経験アメ5種と単能力EV reset用品6種
species,Vega,0,411,FROZEN,T07で固定したVega既存Species ID
species,DPE-JP,412,1620,ALLOCATED,T07で重複をaliasし欠落Species/form 1209件を追加
