item_key,id,vega_id,cfru_id,cfru_symbol,classification,display_name,description_key,icon_key,palette_key,pocket,price,importance,role,item_type_key,item_type_id,item_type_explicit,item_type_source,source_mystery,is_evolution_stone,is_evolution_item,hold_effect_key,hold_effect_param,field_effect_key,field_effect_param,field_use_callback_key,battle_usage,battle_effect_key,battle_effect_param,battle_use_callback_key,secondary_id,ball_kind,consume_policy,target_policy,supply_key,runtime_binding,status,notes
ITEM_KEY_NONE,0,0,0,ITEM_NONE,VEGA_CFRU_CANONICAL,？？？？？？？？,VEGA_ITEM_DESC_000,VEGA_ITEM_ICON_000,VEGA_ITEM_PALETTE_000,POCKET_ITEMS,0,0,FIELD_ITEM,ITEM_TYPE_DEFAULT_0,0,0,src/Tables/item_tables.c:583:gItemsByType,0,0,0,NONE,0,VEGA_FROZEN_CALLBACK,NONE,VEGA_FIELD_CB_080A34F9,0,NONE,NONE,NONE,0,NONE,VEGA_FROZEN,VEGA_FROZEN,SUPPLY_VEGA_EXISTING,VEGA_FROZEN_RUNTIME,FROZEN,name/description/semantic ABI identity; Vega 40-byte row and icon/palette pointers preserved
ITEM_KEY_MASTER_BALL,1,1,1,ITEM_MASTER_BALL,VEGA_CFRU_CANONICAL,マスターボール,VEGA_ITEM_DESC_001,VEGA_ITEM_ICON_001,VEGA_ITEM_PALETTE_001,POCKET_POKE_BALLS,0,0,BALL,ITEM_TYPE_DEFAULT_0,0,0,src/Tables/item_tables.c:583:gItemsByType,0,0,0,NONE,0,NONE,NONE,NONE,2,VEGA_FROZEN_CALLBACK,NONE,VEGA_BATTLE_CB_080A30DD,0,BALL_KIND_MASTER,VEGA_FROZEN,VEGA_FROZEN,SUPPLY_VEGA_EXISTING,VEGA_FROZEN_RUNTIME,FROZEN,name/description/semantic ABI identity; Vega 40-byte row and icon/palette pointers preserved
ITEM_KEY_ULTRA_BALL,2,2,2,ITEM_ULTRA_BALL,VEGA_CFRU_CANONICAL,ハイパーボール,VEGA_ITEM_DESC_002,VEGA_ITEM_ICON_002,VEGA_ITEM_PALETTE_002,POCKET_POKE_BALLS,1200,0,BALL,ITEM_TYPE_DEFAULT_0,0,0,src/Tables/item_tables.c:583:gItemsByType,0,0,0,NONE,0,NONE,NONE,NONE,2,VEGA_FROZEN_CALLBACK,NONE,VEGA_BATTLE_CB_080A30DD,1,BALL_KIND_ULTRA,VEGA_FROZEN,VEGA_FROZEN,SUPPLY_VEGA_EXISTING,VEGA_FROZEN_RUNTIME,FROZEN,name/description/semantic ABI identity; Vega 40-byte row and icon/palette pointers preserved
ITEM_KEY_GREAT_BALL,3,3,3,ITEM_GREAT_BALL,VEGA_CFRU_CANONICAL,スーパーボール,VEGA_ITEM_DESC_003,VEGA_ITEM_ICON_003,VEGA_ITEM_PALETTE_003,POCKET_POKE_BALLS,600,0,BALL,ITEM_TYPE_DEFAULT_0,0,0,src/Tables/item_tables.c:583:gItemsByType,0,0,0,NONE,0,NONE,NONE,NONE,2,VEGA_FROZEN_CALLBACK,NONE,VEGA_BATTLE_CB_080A30DD,2,BALL_KIND_GREAT,VEGA_FROZEN,VEGA_FROZEN,SUPPLY_VEGA_EXISTING,VEGA_FROZEN_RUNTIME,FROZEN,name/description/semantic ABI identity; Vega 40-byte row and icon/palette pointers preserved
ITEM_KEY_POKE_BALL,4,4,4,ITEM_POKE_BALL,VEGA_CFRU_CANONICAL,モンスターボール,VEGA_ITEM_DESC_004,VEGA_ITEM_ICON_004,VEGA_ITEM_PALETTE_004,POCKET_POKE_BALLS,200,0,BALL,ITEM_TYPE_DEFAULT_0,0,0,src/Tables/item_tables.c:583:gItemsByType,0,0,0,NONE,0,NONE,NONE,NONE,2,VEGA_FROZEN_CALLBACK,NONE,VEGA_BATTLE_CB_080A30DD,3,BALL_KIND_POKE,VEGA_FROZEN,VEGA_FROZEN,SUPPLY_VEGA_EXISTING,VEGA_FROZEN_RUNTIME,FROZEN,name/description/semantic ABI identity; Vega 40-byte row and icon/palette pointers preserved
ITEM_KEY_SAFARI_BALL,5,5,5,ITEM_SAFARI_BALL,VEGA_CFRU_CANONICAL,サファリボール,VEGA_ITEM_DESC_005,VEGA_ITEM_ICON_005,VEGA_ITEM_PALETTE_005,POCKET_POKE_BALLS,0,0,BALL,ITEM_TYPE_DEFAULT_0,0,0,src/Tables/item_tables.c:583:gItemsByType,0,0,0,NONE,0,NONE,NONE,NONE,2,VEGA_FROZEN_CALLBACK,NONE,VEGA_BATTLE_CB_080A30DD,4,BALL_KIND_SAFARI,VEGA_FROZEN,VEGA_FROZEN,SUPPLY_VEGA_EXISTING,VEGA_FROZEN_RUNTIME,FROZEN,name/description/semantic ABI identity; Vega 40-byte row and icon/palette pointers preserved
ITEM_KEY_NET_BALL,6,6,6,ITEM_NET_BALL,VEGA_CFRU_CANONICAL,ネットボール,VEGA_ITEM_DESC_006,VEGA_ITEM_ICON_006,VEGA_ITEM_PALETTE_006,POCKET_POKE_BALLS,1000,0,BALL,ITEM_TYPE_DEFAULT_0,0,0,src/Tables/item_tables.c:583:gItemsByType,0,0,0,NONE,0,NONE,NONE,NONE,2,VEGA_FROZEN_CALLBACK,NONE,VEGA_BATTLE_CB_080A30DD,5,BALL_KIND_NET,VEGA_FROZEN,VEGA_FROZEN,SUPPLY_VEGA_EXISTING,VEGA_FROZEN_RUNTIME,FROZEN,name/description/semantic ABI identity; Vega 40-byte row and icon/palette pointers preserved
ITEM_KEY_DIVE_BALL,7,7,7,ITEM_DIVE_BALL,VEGA_CFRU_CANONICAL,ダイブボール,VEGA_ITEM_DESC_007,VEGA_ITEM_ICON_007,VEGA_ITEM_PALETTE_007,POCKET_POKE_BALLS,1000,0,BALL,ITEM_TYPE_DEFAULT_0,0,0,src/Tables/item_tables.c:583:gItemsByType,0,0,0,NONE,0,NONE,NONE,NONE,2,VEGA_FROZEN_CALLBACK,NONE,VEGA_BATTLE_CB_080A30DD,6,BALL_KIND_DIVE,VEGA_FROZEN,VEGA_FROZEN,SUPPLY_VEGA_EXISTING,VEGA_FROZEN_RUNTIME,FROZEN,name/description/semantic ABI identity; Vega 40-byte row and icon/palette pointers preserved
ITEM_KEY_NEST_BALL,8,8,8,ITEM_NEST_BALL,VEGA_CFRU_CANONICAL,ネストボール,VEGA_ITEM_DESC_008,VEGA_ITEM_ICON_008,VEGA_ITEM_PALETTE_008,POCKET_POKE_BALLS,1000,0,BALL,ITEM_TYPE_DEFAULT_0,0,0,src/Tables/item_tables.c:583:gItemsByType,0,0,0,NONE,0,NONE,NONE,NONE,2,VEGA_FROZEN_CALLBACK,NONE,VEGA_BATTLE_CB_080A30DD,7,BALL_KIND_NEST,VEGA_FROZEN,VEGA_FROZEN,SUPPLY_VEGA_EXISTING,VEGA_FROZEN_RUNTIME,FROZEN,name/description/semantic ABI identity; Vega 40-byte row and icon/palette pointers preserved
ITEM_KEY_REPEAT_BALL,9,9,9,ITEM_REPEAT_BALL,VEGA_CFRU_CANONICAL,リピートボール,VEGA_ITEM_DESC_009,VEGA_ITEM_ICON_009,VEGA_ITEM_PALETTE_009,POCKET_POKE_BALLS,1000,0,BALL,ITEM_TYPE_DEFAULT_0,0,0,src/Tables/item_tables.c:583:gItemsByType,0,0,0,NONE,0,NONE,NONE,NONE,2,VEGA_FROZEN_CALLBACK,NONE,VEGA_BATTLE_CB_080A30DD,8,BALL_KIND_REPEAT,VEGA_FROZEN,VEGA_FROZEN,SUPPLY_VEGA_EXISTING,VEGA_FROZEN_RUNTIME,FROZEN,name/description/semantic ABI identity; Vega 40-byte row and icon/palette pointers preserved
ITEM_KEY_TIMER_BALL,10,10,10,ITEM_TIMER_BALL,VEGA_CFRU_CANONICAL,タイマーボール,VEGA_ITEM_DESC_010,VEGA_ITEM_ICON_010,VEGA_ITEM_PALETTE_010,POCKET_POKE_BALLS,1000,0,BALL,ITEM_TYPE_DEFAULT_0,0,0,src/Tables/item_tables.c:583:gItemsByType,0,0,0,NONE,0,NONE,NONE,NONE,2,VEGA_FROZEN_CALLBACK,NONE,VEGA_BATTLE_CB_080A30DD,9,BALL_KIND_TIMER,VEGA_FROZEN,VEGA_FROZEN,SUPPLY_VEGA_EXISTING,VEGA_FROZEN_RUNTIME,FROZEN,name/description/semantic ABI identity; Vega 40-byte row and icon/palette pointers preserved
