encounter_key,map_key,logical_location_key,method,condition,slot,species_key,evolution_chain_id,level_min,level_max,weight,table_profile,base_table_key,unlock_key,hidden_ability_policy,egg_move_policy,item_key,shared_capture_key,difficulty_policy,status,notes
ENCOUNTER_KEY_KANTO_FAMILY_0001,MAP_KEY_KANTO_K33,K33,ずつき／朝昼オーバーレイ,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,1,SPECIES_KEY_BULBASAUR,1,82,90,8,NORMAL,TABLE_KEY_KANTO_K33,KANTO_CERT_2,DEXNAV_CHAIN_OR_RANK2,ONE_LEGAL_MOVE,ITEM_KEY_NONE,NONE,FIXED_HIGH_LEVEL_OPTIONAL,ACTIVE,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。
ENCOUNTER_KEY_KANTO_FAMILY_0002,MAP_KEY_KANTO_K03,K03,草むらオーバーレイ,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,2,SPECIES_KEY_CHARMANDER,2,71,75,8,NORMAL,TABLE_KEY_KANTO_K03,KANTO_EARLY_ACCESS,DEXNAV_CHAIN_OR_RANK2,ONE_LEGAL_MOVE,ITEM_KEY_NONE,NONE,FIXED_HIGH_LEVEL_OPTIONAL,ACTIVE,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。
ENCOUNTER_KEY_KANTO_FAMILY_0003,MAP_KEY_KANTO_K15,K15,水上オーバーレイ,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,3,SPECIES_KEY_SQUIRTLE,3,85,90,10,NORMAL,TABLE_KEY_KANTO_K15,KANTO_CERT_3,DEXNAV_CHAIN_OR_RANK2,ONE_LEGAL_MOVE,ITEM_KEY_NONE,NONE,FIXED_HIGH_LEVEL_OPTIONAL,ACTIVE,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。
ENCOUNTER_KEY_KANTO_FAMILY_0004,MAP_KEY_KANTO_VIRIDIAN_FOREST,K26,ずつき／朝昼オーバーレイ,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,4,SPECIES_KEY_CATERPIE,4,70,76,8,NORMAL,TABLE_KEY_KANTO_K26,KANTO_EARLY_ACCESS,DEXNAV_CHAIN_OR_RANK2,ONE_LEGAL_MOVE,ITEM_KEY_NONE,NONE,FIXED_HIGH_LEVEL_OPTIONAL,ACTIVE,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。
ENCOUNTER_KEY_KANTO_FAMILY_0005,MAP_KEY_KANTO_VIRIDIAN_FOREST,K26,ずつき／朝昼オーバーレイ,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,5,SPECIES_KEY_WEEDLE,5,70,76,8,NORMAL,TABLE_KEY_KANTO_K26,KANTO_EARLY_ACCESS,DEXNAV_CHAIN_OR_RANK2,ONE_LEGAL_MOVE,ITEM_KEY_NONE,NONE,FIXED_HIGH_LEVEL_OPTIONAL,ACTIVE,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。
ENCOUNTER_KEY_KANTO_FAMILY_0006,MAP_KEY_KANTO_ROUTE1,K01,大量発生,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,6,SPECIES_KEY_PIDGEY,6,68,72,0,NORMAL,TABLE_KEY_KANTO_K01,KANTO_EARLY_ACCESS,DEXNAV_CHAIN_OR_RANK2,ONE_LEGAL_MOVE,ITEM_KEY_NONE,NONE,FIXED_HIGH_LEVEL_OPTIONAL,ACTIVE,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。
ENCOUNTER_KEY_KANTO_FAMILY_0007,MAP_KEY_KANTO_ROUTE1,K01,草むらオーバーレイ,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,7,SPECIES_KEY_RATTATA,7,68,72,8,NORMAL,TABLE_KEY_KANTO_K01,KANTO_EARLY_ACCESS,DEXNAV_CHAIN_OR_RANK2,ONE_LEGAL_MOVE,ITEM_KEY_NONE,NONE,FIXED_HIGH_LEVEL_OPTIONAL,ACTIVE,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。
ENCOUNTER_KEY_KANTO_FAMILY_0008,MAP_KEY_KANTO_K03,K03,草むらオーバーレイ,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,8,SPECIES_KEY_SPEAROW,8,71,75,8,NORMAL,TABLE_KEY_KANTO_K03,KANTO_EARLY_ACCESS,DEXNAV_CHAIN_OR_RANK2,ONE_LEGAL_MOVE,ITEM_KEY_NONE,NONE,FIXED_HIGH_LEVEL_OPTIONAL,ACTIVE,トーホクは本編で使える低～中レベル基礎種、カントーは高レベル個体・中間進化・隠れ特性探索を担当。
ENCOUNTER_KEY_KANTO_FAMILY_0009,MAP_KEY_KANTO_K11,K11,草むらオーバーレイ,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,9,SPECIES_KEY_EKANS,9,76,82,8,NORMAL,TABLE_KEY_KANTO_K11,KANTO_EARLY_ACCESS,DEXNAV_CHAIN_OR_RANK2,ONE_LEGAL_MOVE,ITEM_KEY_NONE,NONE,FIXED_HIGH_LEVEL_OPTIONAL,ACTIVE,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。
ENCOUNTER_KEY_KANTO_FAMILY_0010,MAP_KEY_KANTO_K04,K04,草むらオーバーレイ,ベガ初回殿堂入り後。認定章数でエリアと中間進化枠を段階解禁。,10,SPECIES_KEY_SANDSHREW,11,72,77,8,NORMAL,TABLE_KEY_KANTO_K04,KANTO_EARLY_ACCESS,DEXNAV_CHAIN_OR_RANK2,ONE_LEGAL_MOVE,ITEM_KEY_NONE,NONE,FIXED_HIGH_LEVEL_OPTIONAL,ACTIVE,トーホクではベガ既存個体を保護。カントーでは高レベル個体・隠れ特性・タマゴ技探索を担当。
