placement_key,map_key,logical_location_key,placement_type,item_key,quantity,unlock_key,repeatability,flag_key,economy_tier,status,notes
KANTO_ITEM_97_72_00,KANTO_DUNGEON_CERULEAN_CAVE_1_F,K43,HIDDEN_ITEM,ITEM_KEY_EXP_CANDY_XS,1,KANTO_CERT_6,ONCE,FLAG_KEY_T16_0000,FIELD_FIND,ACTIVE,T14の保留itemをsymbolic placementへ解決
KANTO_ITEM_97_2_00,KANTO_DUNGEON_MT_MOON_B1_F,K27,HIDDEN_ITEM,ITEM_KEY_EXP_CANDY_S,1,KANTO_EARLY_ACCESS,ONCE,FLAG_KEY_T16_0001,FIELD_FIND,ACTIVE,T14の保留itemをsymbolic placementへ解決
KANTO_ITEM_97_2_01,KANTO_DUNGEON_MT_MOON_B1_F,K27,HIDDEN_ITEM,ITEM_KEY_ULTRA_BALL,1,KANTO_EARLY_ACCESS,ONCE,FLAG_KEY_T16_0002,FIELD_FIND,ACTIVE,T14の保留itemをsymbolic placementへ解決
KANTO_ITEM_97_2_02,KANTO_DUNGEON_MT_MOON_B1_F,K27,HIDDEN_ITEM,ITEM_KEY_ORAN_BERRY,1,KANTO_EARLY_ACCESS,ONCE,FLAG_KEY_T16_0003,FIELD_FIND,ACTIVE,T14の保留itemをsymbolic placementへ解決
KANTO_ITEM_97_2_03,KANTO_DUNGEON_MT_MOON_B1_F,K27,HIDDEN_ITEM,ITEM_KEY_EXP_CANDY_XS,1,KANTO_EARLY_ACCESS,ONCE,FLAG_KEY_T16_0004,FIELD_FIND,ACTIVE,T14の保留itemをsymbolic placementへ解決
KANTO_ITEM_97_2_04,KANTO_DUNGEON_MT_MOON_B1_F,K27,HIDDEN_ITEM,ITEM_KEY_EXP_CANDY_S,1,KANTO_EARLY_ACCESS,ONCE,FLAG_KEY_T16_0005,FIELD_FIND,ACTIVE,T14の保留itemをsymbolic placementへ解決
KANTO_ITEM_97_2_05,KANTO_DUNGEON_MT_MOON_B1_F,K27,HIDDEN_ITEM,ITEM_KEY_ULTRA_BALL,1,KANTO_EARLY_ACCESS,ONCE,FLAG_KEY_T16_0006,FIELD_FIND,ACTIVE,T14の保留itemをsymbolic placementへ解決
KANTO_ITEM_97_3_00,KANTO_DUNGEON_MT_MOON_B2_F,K27,HIDDEN_ITEM,ITEM_KEY_ORAN_BERRY,1,KANTO_EARLY_ACCESS,ONCE,FLAG_KEY_T16_0007,FIELD_FIND,ACTIVE,T14の保留itemをsymbolic placementへ解決
KANTO_ITEM_97_3_01,KANTO_DUNGEON_MT_MOON_B2_F,K27,HIDDEN_ITEM,ITEM_KEY_EXP_CANDY_XS,1,KANTO_EARLY_ACCESS,ONCE,FLAG_KEY_T16_0008,FIELD_FIND,ACTIVE,T14の保留itemをsymbolic placementへ解決
KANTO_ITEM_97_59_01,KANTO_DUNGEON_POKEMON_MANSION_1_F,K39,HIDDEN_ITEM,ITEM_KEY_EXP_CANDY_S,1,KANTO_CERT_5,ONCE,FLAG_KEY_T16_0009,FIELD_FIND,ACTIVE,T14の保留itemをsymbolic placementへ解決
KANTO_ITEM_97_61_02,KANTO_DUNGEON_POKEMON_MANSION_3_F,K39,HIDDEN_ITEM,ITEM_KEY_ULTRA_BALL,1,KANTO_CERT_5,ONCE,FLAG_KEY_T16_0010,FIELD_FIND,ACTIVE,T14の保留itemをsymbolic placementへ解決
KANTO_ITEM_97_62_03,KANTO_DUNGEON_POKEMON_MANSION_B1_F,K39,HIDDEN_ITEM,ITEM_KEY_ORAN_BERRY,1,KANTO_CERT_5,ONCE,FLAG_KEY_T16_0011,FIELD_FIND,ACTIVE,T14の保留itemをsymbolic placementへ解決
KANTO_ITEM_97_92_00,KANTO_DUNGEON_POKEMON_TOWER_5_F,K31,HIDDEN_ITEM,ITEM_KEY_EXP_CANDY_XS,1,KANTO_CERT_2,ONCE,FLAG_KEY_T16_0012,FIELD_FIND,ACTIVE,T14の保留itemをsymbolic placementへ解決
KANTO_ITEM_97_94_00,KANTO_DUNGEON_POKEMON_TOWER_7_F,K31,HIDDEN_ITEM,ITEM_KEY_EXP_CANDY_S,1,KANTO_CERT_2,ONCE,FLAG_KEY_T16_0013,FIELD_FIND,ACTIVE,T14の保留itemをsymbolic placementへ解決
KANTO_ITEM_97_95_00,KANTO_DUNGEON_POWER_PLANT,K40,HIDDEN_ITEM,ITEM_KEY_ULTRA_BALL,1,KANTO_CERT_2,ONCE,FLAG_KEY_T16_0014,FIELD_FIND,ACTIVE,T14の保留itemをsymbolic placementへ解決
KANTO_ITEM_97_95_01,KANTO_DUNGEON_POWER_PLANT,K40,HIDDEN_ITEM,ITEM_KEY_ORAN_BERRY,1,KANTO_CERT_2,ONCE,FLAG_KEY_T16_0015,FIELD_FIND,ACTIVE,T14の保留itemをsymbolic placementへ解決
KANTO_ITEM_97_42_00,KANTO_DUNGEON_ROCKET_HIDEOUT_B1_F,K32,HIDDEN_ITEM,ITEM_KEY_EXP_CANDY_XS,1,KANTO_CERT_2,ONCE,FLAG_KEY_T16_0016,FIELD_FIND,ACTIVE,T14の保留itemをsymbolic placementへ解決
KANTO_ITEM_97_44_00,KANTO_DUNGEON_ROCKET_HIDEOUT_B3_F,K32,HIDDEN_ITEM,ITEM_KEY_EXP_CANDY_S,1,KANTO_CERT_2,ONCE,FLAG_KEY_T16_0017,FIELD_FIND,ACTIVE,T14の保留itemをsymbolic placementへ解決
KANTO_ITEM_97_45_00,KANTO_DUNGEON_ROCKET_HIDEOUT_B4_F,K32,HIDDEN_ITEM,ITEM_KEY_ULTRA_BALL,1,KANTO_CERT_2,ONCE,FLAG_KEY_T16_0018,FIELD_FIND,ACTIVE,T14の保留itemをsymbolic placementへ解決
KANTO_ITEM_97_45_01,KANTO_DUNGEON_ROCKET_HIDEOUT_B4_F,K32,HIDDEN_ITEM,ITEM_KEY_ORAN_BERRY,1,KANTO_CERT_2,ONCE,FLAG_KEY_T16_0019,FIELD_FIND,ACTIVE,T14の保留itemをsymbolic placementへ解決
KANTO_ITEM_97_63_02,KANTO_DUNGEON_SAFARI_ZONE_CENTER,K34,HIDDEN_ITEM,ITEM_KEY_EXP_CANDY_XS,1,KANTO_CERT_3,ONCE,FLAG_KEY_T16_0020,FIELD_FIND,ACTIVE,T14の保留itemをsymbolic placementへ解決
KANTO_ITEM_97_66_04,KANTO_DUNGEON_SAFARI_ZONE_WEST,K37,HIDDEN_ITEM,ITEM_KEY_EXP_CANDY_S,1,KANTO_CERT_3,ONCE,FLAG_KEY_T16_0021,FIELD_FIND,ACTIVE,T14の保留itemをsymbolic placementへ解決
KANTO_ITEM_97_86_00,KANTO_DUNGEON_SEAFOAM_ISLANDS_B3_F,K38,HIDDEN_ITEM,ITEM_KEY_ULTRA_BALL,1,KANTO_CERT_4,ONCE,FLAG_KEY_T16_0022,FIELD_FIND,ACTIVE,T14の保留itemをsymbolic placementへ解決
KANTO_ITEM_97_87_00,KANTO_DUNGEON_SEAFOAM_ISLANDS_B4_F,K38,HIDDEN_ITEM,ITEM_KEY_ORAN_BERRY,1,KANTO_CERT_4,ONCE,FLAG_KEY_T16_0023,FIELD_FIND,ACTIVE,T14の保留itemをsymbolic placementへ解決
KANTO_ITEM_97_56_04,KANTO_DUNGEON_SILPH_CO_10_F,K41,HIDDEN_ITEM,ITEM_KEY_EXP_CANDY_XS,1,KANTO_CERT_5,ONCE,FLAG_KEY_T16_0024,FIELD_FIND,ACTIVE,T14の保留itemをsymbolic placementへ解決
