map_key,source_map,scope,import_mode,preserve_npcs,preserve_local_events,status,notes
KANTO_DUNGEON_VIRIDIAN_FOREST,ViridianForest,MAINLAND,RESERVED,yes,stub,RESERVED,V2=K26; layout=LAYOUT_VIRIDIAN_FOREST
KANTO_DUNGEON_MT_MOON_1_F,MtMoon_1F,MAINLAND,RESERVED,yes,stub,RESERVED,V2=K27; layout=LAYOUT_MT_MOON_1F
KANTO_DUNGEON_MT_MOON_B1_F,MtMoon_B1F,MAINLAND,RESERVED,yes,stub,RESERVED,V2=K27; layout=LAYOUT_MT_MOON_B1F
KANTO_DUNGEON_MT_MOON_B2_F,MtMoon_B2F,MAINLAND,RESERVED,yes,stub,RESERVED,V2=K27; layout=LAYOUT_MT_MOON_B2F
KANTO_DUNGEON_SSANNE_EXTERIOR,SSAnne_Exterior,MAINLAND,RESERVED,yes,stub,RESERVED,V2=K29; layout=LAYOUT_SSANNE_EXTERIOR
KANTO_DUNGEON_SSANNE_1_F_CORRIDOR,SSAnne_1F_Corridor,MAINLAND,RESERVED,yes,stub,RESERVED,V2=K29; layout=LAYOUT_SSANNE_1F_CORRIDOR
KANTO_DUNGEON_SSANNE_2_F_CORRIDOR,SSAnne_2F_Corridor,MAINLAND,RESERVED,yes,stub,RESERVED,V2=K29; layout=LAYOUT_SSANNE_2F_CORRIDOR
KANTO_DUNGEON_SSANNE_3_F_CORRIDOR,SSAnne_3F_Corridor,MAINLAND,RESERVED,yes,stub,RESERVED,V2=K29; layout=LAYOUT_SSANNE_3F_CORRIDOR
KANTO_DUNGEON_SSANNE_B1_F_CORRIDOR,SSAnne_B1F_Corridor,MAINLAND,RESERVED,yes,stub,RESERVED,V2=K29; layout=LAYOUT_SSANNE_B1F_CORRIDOR
KANTO_DUNGEON_SSANNE_DECK,SSAnne_Deck,MAINLAND,RESERVED,yes,stub,RESERVED,V2=K29; layout=LAYOUT_SSANNE_DECK
KANTO_DUNGEON_SSANNE_KITCHEN,SSAnne_Kitchen,MAINLAND,RESERVED,yes,stub,RESERVED,V2=K29; layout=LAYOUT_SSANNE_KITCHEN
KANTO_DUNGEON_SSANNE_CAPTAINS_OFFICE,SSAnne_CaptainsOffice,MAINLAND,RESERVED,yes,stub,RESERVED,V2=K29; layout=LAYOUT_SSANNE_CAPTAINS_OFFICE
KANTO_DUNGEON_SSANNE_1_F_ROOM1,SSAnne_1F_Room1,MAINLAND,RESERVED,yes,stub,RESERVED,V2=K29; layout=LAYOUT_SSANNE_ROOM1
KANTO_DUNGEON_SSANNE_1_F_ROOM2,SSAnne_1F_Room2,MAINLAND,RESERVED,yes,stub,RESERVED,V2=K29; layout=LAYOUT_SSANNE_ROOM1
KANTO_DUNGEON_SSANNE_1_F_ROOM3,SSAnne_1F_Room3,MAINLAND,RESERVED,yes,stub,RESERVED,V2=K29; layout=LAYOUT_SSANNE_ROOM1
KANTO_DUNGEON_SSANNE_1_F_ROOM4,SSAnne_1F_Room4,MAINLAND,RESERVED,yes,stub,RESERVED,V2=K29; layout=LAYOUT_SSANNE_ROOM1
KANTO_DUNGEON_SSANNE_1_F_ROOM5,SSAnne_1F_Room5,MAINLAND,RESERVED,yes,stub,RESERVED,V2=K29; layout=LAYOUT_SSANNE_ROOM1
KANTO_DUNGEON_SSANNE_1_F_ROOM7,SSAnne_1F_Room7,MAINLAND,RESERVED,yes,stub,RESERVED,V2=K29; layout=LAYOUT_SSANNE_ROOM1
KANTO_DUNGEON_SSANNE_2_F_ROOM1,SSAnne_2F_Room1,MAINLAND,RESERVED,yes,stub,RESERVED,V2=K29; layout=LAYOUT_SSANNE_ROOM2
KANTO_DUNGEON_SSANNE_2_F_ROOM2,SSAnne_2F_Room2,MAINLAND,RESERVED,yes,stub,RESERVED,V2=K29; layout=LAYOUT_SSANNE_ROOM2
KANTO_DUNGEON_SSANNE_2_F_ROOM3,SSAnne_2F_Room3,MAINLAND,RESERVED,yes,stub,RESERVED,V2=K29; layout=LAYOUT_SSANNE_ROOM2
KANTO_DUNGEON_SSANNE_2_F_ROOM4,SSAnne_2F_Room4,MAINLAND,RESERVED,yes,stub,RESERVED,V2=K29; layout=LAYOUT_SSANNE_ROOM2
KANTO_DUNGEON_SSANNE_2_F_ROOM5,SSAnne_2F_Room5,MAINLAND,RESERVED,yes,stub,RESERVED,V2=K29; layout=LAYOUT_SSANNE_ROOM2
KANTO_DUNGEON_SSANNE_2_F_ROOM6,SSAnne_2F_Room6,MAINLAND,RESERVED,yes,stub,RESERVED,V2=K29; layout=LAYOUT_SSANNE_ROOM2
KANTO_DUNGEON_SSANNE_B1_F_ROOM1,SSAnne_B1F_Room1,MAINLAND,RESERVED,yes,stub,RESERVED,V2=K29; layout=LAYOUT_SSANNE_ROOM2
KANTO_DUNGEON_SSANNE_B1_F_ROOM2,SSAnne_B1F_Room2,MAINLAND,RESERVED,yes,stub,RESERVED,V2=K29; layout=LAYOUT_SSANNE_ROOM2
KANTO_DUNGEON_SSANNE_B1_F_ROOM3,SSAnne_B1F_Room3,MAINLAND,RESERVED,yes,stub,RESERVED,V2=K29; layout=LAYOUT_SSANNE_ROOM2
KANTO_DUNGEON_SSANNE_B1_F_ROOM4,SSAnne_B1F_Room4,MAINLAND,RESERVED,yes,stub,RESERVED,V2=K29; layout=LAYOUT_SSANNE_ROOM2
KANTO_DUNGEON_SSANNE_B1_F_ROOM5,SSAnne_B1F_Room5,MAINLAND,RESERVED,yes,stub,RESERVED,V2=K29; layout=LAYOUT_SSANNE_ROOM2
KANTO_DUNGEON_SSANNE_1_F_ROOM6,SSAnne_1F_Room6,MAINLAND,RESERVED,yes,stub,RESERVED,V2=K29; layout=LAYOUT_SSANNE_ROOM1
KANTO_DUNGEON_UNDERGROUND_PATH_NORTH_ENTRANCE,UndergroundPath_NorthEntrance,MAINLAND,RESERVED,yes,stub,RESERVED,V2=K05; layout=LAYOUT_UNDERGROUND_PATH_ENTRANCE
KANTO_DUNGEON_UNDERGROUND_PATH_NORTH_SOUTH_TUNNEL,UndergroundPath_NorthSouthTunnel,MAINLAND,RESERVED,yes,stub,RESERVED,V2=K05; layout=LAYOUT_UNDERGROUND_PATH_NORTH_SOUTH_TUNNEL
KANTO_DUNGEON_UNDERGROUND_PATH_SOUTH_ENTRANCE,UndergroundPath_SouthEntrance,MAINLAND,RESERVED,yes,stub,RESERVED,V2=K06; layout=LAYOUT_UNDERGROUND_PATH_ENTRANCE
KANTO_DUNGEON_UNDERGROUND_PATH_WEST_ENTRANCE,UndergroundPath_WestEntrance,MAINLAND,RESERVED,yes,stub,RESERVED,V2=K07; layout=LAYOUT_UNDERGROUND_PATH_ENTRANCE
KANTO_DUNGEON_UNDERGROUND_PATH_EAST_WEST_TUNNEL,UndergroundPath_EastWestTunnel,MAINLAND,RESERVED,yes,stub,RESERVED,V2=K08; layout=LAYOUT_UNDERGROUND_PATH_EAST_WEST_TUNNEL
KANTO_DUNGEON_UNDERGROUND_PATH_EAST_ENTRANCE,UndergroundPath_EastEntrance,MAINLAND,RESERVED,yes,stub,RESERVED,V2=K08; layout=LAYOUT_UNDERGROUND_PATH_ENTRANCE
KANTO_DUNGEON_DIGLETTS_CAVE_NORTH_ENTRANCE,DiglettsCave_NorthEntrance,MAINLAND,RESERVED,yes,stub,RESERVED,V2=K28; layout=LAYOUT_DIGLETTS_CAVE_NORTH_ENTRANCE
KANTO_DUNGEON_DIGLETTS_CAVE_B1_F,DiglettsCave_B1F,MAINLAND,RESERVED,yes,stub,RESERVED,V2=K28; layout=LAYOUT_DIGLETTS_CAVE_B1F
KANTO_DUNGEON_DIGLETTS_CAVE_SOUTH_ENTRANCE,DiglettsCave_SouthEntrance,MAINLAND,RESERVED,yes,stub,RESERVED,V2=K28; layout=LAYOUT_DIGLETTS_CAVE_SOUTH_ENTRANCE
KANTO_DUNGEON_VICTORY_ROAD_1_F,VictoryRoad_1F,MAINLAND,RESERVED,yes,stub,RESERVED,V2=K42; layout=LAYOUT_VICTORY_ROAD_1F
KANTO_DUNGEON_VICTORY_ROAD_2_F,VictoryRoad_2F,MAINLAND,RESERVED,yes,stub,RESERVED,V2=K42; layout=LAYOUT_VICTORY_ROAD_2F
KANTO_DUNGEON_VICTORY_ROAD_3_F,VictoryRoad_3F,MAINLAND,RESERVED,yes,stub,RESERVED,V2=K42; layout=LAYOUT_VICTORY_ROAD_3F
KANTO_DUNGEON_ROCKET_HIDEOUT_B1_F,RocketHideout_B1F,MAINLAND,RESERVED,yes,stub,RESERVED,V2=K32; layout=LAYOUT_ROCKET_HIDEOUT_B1F
KANTO_DUNGEON_ROCKET_HIDEOUT_B2_F,RocketHideout_B2F,MAINLAND,RESERVED,yes,stub,RESERVED,V2=K32; layout=LAYOUT_ROCKET_HIDEOUT_B2F
