trainer_key,class_key,party_slot,species_key,form_key,level,move1_key,move2_key,move3_key,move4_key,item_key,ability_key,ability_policy,nature_key,ev_spread_key,iv_floor,ai_profile_key,trainer_role,unlock_key,mechanic_policy,difficulty_policy,warning_key,status,notes
TRAINER_KEY_KANTO_GYM_01,TRAINER_CLASS_KANTO_GYM_01,1,SPECIES_KEY_GARGANACL,NONE,78,MOVE_KEY_SALTCURE,MOVE_KEY_RECOVER,MOVE_KEY_BODYPRESS,MOVE_KEY_STEALTHROCK,ITEM_KEY_LEFTOVERS,ABILITY_KEY_PURIFYINGSALT,EXPLICIT,NATURE_JOLLY,EV_SPREAD_ROLE_510,31,AI_FULL_SMART,GYM,KANTO_CERT_1,NONE,FIXED_HIGH_LEVEL_OPTIONAL,WARNING_KANTO_HIGH_LEVEL,ACTIVE,先発・削り
TRAINER_KEY_KANTO_GYM_01,TRAINER_CLASS_KANTO_GYM_01,2,SPECIES_KEY_KLEAVOR,NONE,78,MOVE_KEY_STONEAXE,MOVE_KEY_XSCISSOR,MOVE_KEY_NIGHTSLASH,MOVE_KEY_QUICKATTACK,ITEM_KEY_FOCUS_SASH,ABILITY_KEY_SHARPNESS,EXPLICIT,NATURE_JOLLY,EV_SPREAD_ROLE_510,31,AI_FULL_SMART,GYM,KANTO_CERT_1,NONE,FIXED_HIGH_LEVEL_OPTIONAL,WARNING_KANTO_HIGH_LEVEL,ACTIVE,設置兼速攻
TRAINER_KEY_KANTO_GYM_01,TRAINER_CLASS_KANTO_GYM_01,3,SPECIES_KEY_COALOSSAL,NONE,79,MOVE_KEY_HEATCRASH,MOVE_KEY_ROCKBLAST,MOVE_KEY_BODYPRESS,MOVE_KEY_TARSHOT,ITEM_KEY_WEAKNESS_POLICY,ABILITY_KEY_STEAMENGINE,EXPLICIT,NATURE_JOLLY,EV_SPREAD_ROLE_510,31,AI_FULL_SMART,GYM,KANTO_CERT_1,NONE,FIXED_HIGH_LEVEL_OPTIONAL,WARNING_KANTO_HIGH_LEVEL,ACTIVE,弱点誘発
TRAINER_KEY_KANTO_GYM_01,TRAINER_CLASS_KANTO_GYM_01,4,SPECIES_KEY_RHYPERIOR,NONE,79,MOVE_KEY_EARTHQUAKE,MOVE_KEY_ROCKWRECKER,MOVE_KEY_ICEPUNCH,MOVE_KEY_HAMMERARM,ITEM_KEY_ASSAULT_VEST,ABILITY_KEY_SOLIDROCK,EXPLICIT,NATURE_JOLLY,EV_SPREAD_ROLE_510,31,AI_FULL_SMART,GYM,KANTO_CERT_1,NONE,FIXED_HIGH_LEVEL_OPTIONAL,WARNING_KANTO_HIGH_LEVEL,ACTIVE,特殊受け崩し
TRAINER_KEY_KANTO_GYM_01,TRAINER_CLASS_KANTO_GYM_01,5,SPECIES_KEY_CRUSTLE,NONE,78,MOVE_KEY_SHELLSMASH,MOVE_KEY_ROCKSLIDE,MOVE_KEY_XSCISSOR,MOVE_KEY_EARTHQUAKE,ITEM_KEY_WHITE_HERB,ABILITY_KEY_STURDY,EXPLICIT,NATURE_JOLLY,EV_SPREAD_ROLE_510,31,AI_FULL_SMART,GYM,KANTO_CERT_1,NONE,FIXED_HIGH_LEVEL_OPTIONAL,WARNING_KANTO_HIGH_LEVEL,ACTIVE,積みエース
TRAINER_KEY_KANTO_GYM_01,TRAINER_CLASS_KANTO_GYM_01,6,SPECIES_KEY_AERODACTYL,NONE,80,MOVE_KEY_STONEEDGE,MOVE_KEY_DUALWINGBEAT,MOVE_KEY_ICEFANG,MOVE_KEY_EARTHQUAKE,ITEM_KEY_AERODACTYLITE,ABILITY_KEY_TOUGHCLAWS,EXPLICIT,NATURE_JOLLY,EV_SPREAD_ROLE_510,31,AI_FULL_SMART,GYM,KANTO_CERT_1,MEGA,FIXED_HIGH_LEVEL_OPTIONAL,WARNING_KANTO_HIGH_LEVEL,ACTIVE,切り札
TRAINER_KEY_KANTO_GYM_02,TRAINER_CLASS_KANTO_GYM_02,1,SPECIES_KEY_PALAFIN,NONE,81,MOVE_KEY_FLIPTURN,MOVE_KEY_WAVECRASH,MOVE_KEY_JETPUNCH,MOVE_KEY_CLOSECOMBAT,ITEM_KEY_MYSTIC_WATER,ABILITY_KEY_WATERVEIL,EXPLICIT,NATURE_JOLLY,EV_SPREAD_ROLE_510,31,AI_FULL_SMART,GYM,KANTO_CERT_2,NONE,FIXED_HIGH_LEVEL_OPTIONAL,WARNING_KANTO_HIGH_LEVEL,ACTIVE,先発・交代で英雄化
TRAINER_KEY_KANTO_GYM_02,TRAINER_CLASS_KANTO_GYM_02,2,SPECIES_KEY_BASCULEGION_M,NONE,81,MOVE_KEY_WAVECRASH,MOVE_KEY_LASTRESPECTS,MOVE_KEY_AQUAJET,MOVE_KEY_FLIPTURN,ITEM_KEY_CHOICE_SCARF,ABILITY_KEY_ADAPTABILITY,EXPLICIT,NATURE_JOLLY,EV_SPREAD_ROLE_510,31,AI_FULL_SMART,GYM,KANTO_CERT_2,NONE,FIXED_HIGH_LEVEL_OPTIONAL,WARNING_KANTO_HIGH_LEVEL,ACTIVE,高速掃除
TRAINER_KEY_KANTO_GYM_02,TRAINER_CLASS_KANTO_GYM_02,3,SPECIES_KEY_TOXAPEX,NONE,82,MOVE_KEY_SCALD,MOVE_KEY_RECOVER,MOVE_KEY_TOXICSPIKES,MOVE_KEY_HAZE,ITEM_KEY_BLACK_SLUDGE,ABILITY_KEY_REGENERATOR,EXPLICIT,NATURE_JOLLY,EV_SPREAD_ROLE_510,31,AI_FULL_SMART,GYM,KANTO_CERT_2,NONE,FIXED_HIGH_LEVEL_OPTIONAL,WARNING_KANTO_HIGH_LEVEL,ACTIVE,受け・設置
TRAINER_KEY_KANTO_GYM_02,TRAINER_CLASS_KANTO_GYM_02,4,SPECIES_KEY_ROTOM,NONE,82,MOVE_KEY_HYDROPUMP,MOVE_KEY_VOLTSWITCH,MOVE_KEY_WILLOWISP,MOVE_KEY_PROTECT,ITEM_KEY_VEGA_142,ABILITY_KEY_LEVITATE,EXPLICIT,NATURE_JOLLY,EV_SPREAD_ROLE_510,31,AI_FULL_SMART,GYM,KANTO_CERT_2,NONE,FIXED_HIGH_LEVEL_OPTIONAL,WARNING_KANTO_HIGH_LEVEL,ACTIVE,対面操作
