map_key,group_id,map_id,source_map,classification,status,notes
KANTO_DUNGEON_VIRIDIAN_FOREST,97,0,ViridianForest,KANTO_DUNGEON,RESERVED,新規namespace。Vega mapを置換しない
KANTO_DUNGEON_MT_MOON_1_F,97,1,MtMoon_1F,KANTO_DUNGEON,RESERVED,新規namespace。Vega mapを置換しない
KANTO_DUNGEON_MT_MOON_B1_F,97,2,MtMoon_B1F,KANTO_DUNGEON,RESERVED,新規namespace。Vega mapを置換しない
KANTO_DUNGEON_MT_MOON_B2_F,97,3,MtMoon_B2F,KANTO_DUNGEON,RESERVED,新規namespace。Vega mapを置換しない
KANTO_DUNGEON_SSANNE_EXTERIOR,97,4,SSAnne_Exterior,KANTO_DUNGEON,RESERVED,新規namespace。Vega mapを置換しない
KANTO_DUNGEON_SSANNE_1_F_CORRIDOR,97,5,SSAnne_1F_Corridor,KANTO_DUNGEON,RESERVED,新規namespace。Vega mapを置換しない
KANTO_DUNGEON_SSANNE_2_F_CORRIDOR,97,6,SSAnne_2F_Corridor,KANTO_DUNGEON,RESERVED,新規namespace。Vega mapを置換しない
KANTO_DUNGEON_SSANNE_3_F_CORRIDOR,97,7,SSAnne_3F_Corridor,KANTO_DUNGEON,RESERVED,新規namespace。Vega mapを置換しない
KANTO_DUNGEON_SSANNE_B1_F_CORRIDOR,97,8,SSAnne_B1F_Corridor,KANTO_DUNGEON,RESERVED,新規namespace。Vega mapを置換しない
KANTO_DUNGEON_SSANNE_DECK,97,9,SSAnne_Deck,KANTO_DUNGEON,RESERVED,新規namespace。Vega mapを置換しない
KANTO_DUNGEON_SSANNE_KITCHEN,97,10,SSAnne_Kitchen,KANTO_DUNGEON,RESERVED,新規namespace。Vega mapを置換しない
KANTO_DUNGEON_SSANNE_CAPTAINS_OFFICE,97,11,SSAnne_CaptainsOffice,KANTO_DUNGEON,RESERVED,新規namespace。Vega mapを置換しない
KANTO_DUNGEON_SSANNE_1_F_ROOM1,97,12,SSAnne_1F_Room1,KANTO_DUNGEON,RESERVED,新規namespace。Vega mapを置換しない
KANTO_DUNGEON_SSANNE_1_F_ROOM2,97,13,SSAnne_1F_Room2,KANTO_DUNGEON,RESERVED,新規namespace。Vega mapを置換しない
KANTO_DUNGEON_SSANNE_1_F_ROOM3,97,14,SSAnne_1F_Room3,KANTO_DUNGEON,RESERVED,新規namespace。Vega mapを置換しない
