move_key,id,vega_id,cfru_symbol,classification,display_name,status,notes
MOVE_KEY_NONE,0,0,MOVE_NONE,VEGA_CFRU_CANONICAL,ー,FROZEN,NFKC完全一致でCFRU identityを対応
MOVE_KEY_POUND,1,1,MOVE_POUND,VEGA_CFRU_CANONICAL,はたく,FROZEN,NFKC完全一致でCFRU identityを対応
MOVE_KEY_KARATECHOP,2,2,MOVE_KARATECHOP,VEGA_CFRU_CANONICAL,からてチョップ,FROZEN,NFKC完全一致でCFRU identityを対応
MOVE_KEY_DOUBLESLAP,3,3,MOVE_DOUBLESLAP,VEGA_CFRU_CANONICAL,おうふくビンタ,FROZEN,NFKC完全一致でCFRU identityを対応
MOVE_KEY_COMETPUNCH,4,4,MOVE_COMETPUNCH,VEGA_CFRU_CANONICAL,れんぞくパンチ,FROZEN,NFKC完全一致でCFRU identityを対応
MOVE_KEY_MEGAPUNCH,5,5,MOVE_MEGAPUNCH,VEGA_CFRU_CANONICAL,メガトンパンチ,FROZEN,NFKC完全一致でCFRU identityを対応
MOVE_KEY_PAYDAY,6,6,MOVE_PAYDAY,VEGA_CFRU_CANONICAL,ネコにこばん,FROZEN,NFKC完全一致でCFRU identityを対応
MOVE_KEY_FIREPUNCH,7,7,MOVE_FIREPUNCH,VEGA_CFRU_CANONICAL,ほのおのパンチ,FROZEN,NFKC完全一致でCFRU identityを対応
MOVE_KEY_ICEPUNCH,8,8,MOVE_ICEPUNCH,VEGA_CFRU_CANONICAL,れいとうパンチ,FROZEN,NFKC完全一致でCFRU identityを対応
MOVE_KEY_THUNDERPUNCH,9,9,MOVE_THUNDERPUNCH,VEGA_CFRU_CANONICAL,かみなりパンチ,FROZEN,NFKC完全一致でCFRU identityを対応
MOVE_KEY_SCRATCH,10,10,MOVE_SCRATCH,VEGA_CFRU_CANONICAL,ひっかく,FROZEN,NFKC完全一致でCFRU identityを対応
MOVE_KEY_VICEGRIP,11,11,MOVE_VICEGRIP,VEGA_CFRU_CANONICAL,はさむ,FROZEN,NFKC完全一致でCFRU identityを対応
MOVE_KEY_GUILLOTINE,12,12,MOVE_GUILLOTINE,VEGA_CFRU_CANONICAL,ハサミギロチン,FROZEN,NFKC完全一致でCFRU identityを対応
MOVE_KEY_RAZORWIND,13,13,MOVE_RAZORWIND,VEGA_CFRU_CANONICAL,かまいたち,FROZEN,NFKC完全一致でCFRU identityを対応
MOVE_KEY_SWORDSDANCE,14,14,MOVE_SWORDSDANCE,VEGA_CFRU_CANONICAL,つるぎのまい,FROZEN,NFKC完全一致でCFRU identityを対応
MOVE_KEY_CUT,15,15,MOVE_CUT,VEGA_CFRU_CANONICAL,いあいぎり,FROZEN,NFKC完全一致でCFRU identityを対応
MOVE_KEY_GUST,16,16,MOVE_GUST,VEGA_CFRU_CANONICAL,かぜおこし,FROZEN,NFKC完全一致でCFRU identityを対応
MOVE_KEY_WINGATTACK,17,17,MOVE_WINGATTACK,VEGA_CFRU_CANONICAL,つばさでうつ,FROZEN,NFKC完全一致でCFRU identityを対応
MOVE_KEY_WHIRLWIND,18,18,MOVE_WHIRLWIND,VEGA_CFRU_CANONICAL,ふきとばし,FROZEN,NFKC完全一致でCFRU identityを対応
MOVE_KEY_FLY,19,19,MOVE_FLY,VEGA_CFRU_CANONICAL,そらをとぶ,FROZEN,NFKC完全一致でCFRU identityを対応
MOVE_KEY_BIND,20,20,MOVE_BIND,VEGA_CFRU_CANONICAL,しめつける,FROZEN,NFKC完全一致でCFRU identityを対応
MOVE_KEY_SLAM,21,21,MOVE_SLAM,VEGA_CFRU_CANONICAL,たたきつける,FROZEN,NFKC完全一致でCFRU identityを対応
MOVE_KEY_VINEWHIP,22,22,MOVE_VINEWHIP,VEGA_CFRU_CANONICAL,つるのムチ,FROZEN,NFKC完全一致でCFRU identityを対応
MOVE_KEY_STOMP,23,23,MOVE_STOMP,VEGA_CFRU_CANONICAL,ふみつけ,FROZEN,NFKC完全一致でCFRU identityを対応
MOVE_KEY_DOUBLEKICK,24,24,MOVE_DOUBLEKICK,VEGA_CFRU_CANONICAL,にどげり,FROZEN,NFKC完全一致でCFRU identityを対応
MOVE_KEY_MEGAKICK,25,25,MOVE_MEGAKICK,VEGA_CFRU_CANONICAL,メガトンキック,FROZEN,NFKC完全一致でCFRU identityを対応
MOVE_KEY_JUMPKICK,26,26,MOVE_JUMPKICK,VEGA_CFRU_CANONICAL,とびげり,FROZEN,NFKC完全一致でCFRU identityを対応
MOVE_KEY_ROLLINGKICK,27,27,MOVE_ROLLINGKICK,VEGA_CFRU_CANONICAL,まわしげり,FROZEN,NFKC完全一致でCFRU identityを対応
MOVE_KEY_SANDATTACK,28,28,MOVE_SANDATTACK,VEGA_CFRU_CANONICAL,すなかけ,FROZEN,NFKC完全一致でCFRU identityを対応
