reward_key,item_key,service_key,source_kind,quantity,currency_key,price,unlock_key,repeatability,claim_key,status,notes
REWARD_KEY_EXP_CANDY_XS,ITEM_KEY_EXP_CANDY_XS,NONE,BP_SHOP,1,CURRENCY_KEY_BP,1,VEGA_DH_CLEAR,REPEATABLE,NONE,ACTIVE,docs/QOL_POLICY.md first-availabilityを優先
REWARD_KEY_EXP_CANDY_S,ITEM_KEY_EXP_CANDY_S,NONE,BP_SHOP,1,CURRENCY_KEY_BP,2,VEGA_DH_CLEAR,REPEATABLE,NONE,ACTIVE,docs/QOL_POLICY.md first-availabilityを優先
REWARD_KEY_EXP_CANDY_M_ONCE,ITEM_KEY_EXP_CANDY_M,NONE,DH_REWARD,1,NONE,0,VEGA_DH_CLEAR,ONCE,CLAIM_KEY_EXP_CANDY_M_ONCE,ACTIVE,docs/QOL_POLICY.md first-availabilityを優先
REWARD_KEY_EVOLUTION_STONE,ITEM_KEY_FIRE_STONE,NONE,BP_SHOP,1,CURRENCY_KEY_BP,3,KANTO_EARLY_ACCESS,REPEATABLE,NONE,ACTIVE,docs/QOL_POLICY.md first-availabilityを優先
REWARD_KEY_EVERSTONE,ITEM_KEY_EVERSTONE,NONE,BP_SHOP,1,CURRENCY_KEY_BP,4,VEGA_BADGE_1,REPEATABLE,NONE,ACTIVE,docs/QOL_POLICY.md first-availabilityを優先
REWARD_KEY_DESTINY_KNOT,ITEM_KEY_DESTINY_KNOT,NONE,BP_SHOP,1,CURRENCY_KEY_BP,12,KANTO_DAYCARE_QUEST,REPEATABLE,NONE,ACTIVE,docs/QOL_POLICY.md first-availabilityを優先
REWARD_KEY_POWER_BRACER,ITEM_KEY_POWER_BRACER,NONE,BP_SHOP,1,CURRENCY_KEY_BP,8,VEGA_BADGE_5,REPEATABLE,NONE,ACTIVE,docs/QOL_POLICY.md first-availabilityを優先
REWARD_KEY_MINT,ITEM_KEY_JOLLY_MINT,NONE,BP_SHOP,1,CURRENCY_KEY_BP,8,VEGA_DH_CLEAR,REPEATABLE,NONE,ACTIVE,docs/QOL_POLICY.md first-availabilityを優先
REWARD_KEY_ABILITY_CAPSULE,ITEM_KEY_ABILITY_CAPSULE,NONE,BP_SHOP,1,CURRENCY_KEY_BP,16,VEGA_DH_CLEAR,REPEATABLE,NONE,ACTIVE,docs/QOL_POLICY.md first-availabilityを優先
REWARD_KEY_EXP_CANDY_M,ITEM_KEY_EXP_CANDY_M,NONE,BP_SHOP,1,CURRENCY_KEY_BP,4,VEGA_BADGE_6,REPEATABLE,NONE,ACTIVE,docs/QOL_POLICY.md first-availabilityを優先
REWARD_KEY_EXP_CANDY_L,ITEM_KEY_EXP_CANDY_L,NONE,HIGH_DIFFICULTY_DUNGEON,1,NONE,0,VEGA_BADGE_7,REPEATABLE,NONE,ACTIVE,docs/QOL_POLICY.md first-availabilityを優先
REWARD_KEY_CHOICE_BAND,ITEM_KEY_CHOICE_BAND,NONE,BP_SHOP,1,CURRENCY_KEY_BP,24,COMPETITIVE_SUPPLY_UNLOCKED,REPEATABLE,NONE,ACTIVE,docs/QOL_POLICY.md first-availabilityを優先
REWARD_KEY_BOTTLE_CAP,ITEM_KEY_BOTTLE_CAP,NONE,BP_SHOP,1,CURRENCY_KEY_BP,32,VEGA_BADGE_7,REPEATABLE,NONE,ACTIVE,docs/QOL_POLICY.md first-availabilityを優先
REWARD_KEY_ABILITY_PATCH,ITEM_KEY_ABILITY_PATCH,NONE,BP_SHOP,1,CURRENCY_KEY_BP,64,VEGA_BADGE_8,LIMITED,NONE,ACTIVE,docs/QOL_POLICY.md first-availabilityを優先
REWARD_KEY_GOLD_BOTTLE_CAP,ITEM_KEY_GOLD_BOTTLE_CAP,NONE,BP_SHOP,1,CURRENCY_KEY_BP,128,KANTO_LEAGUE_CLEAR,LIMITED_REPEATABLE,NONE,ACTIVE,docs/QOL_POLICY.md first-availabilityを優先
REWARD_KEY_EXP_CANDY_XL_ONCE,ITEM_KEY_EXP_CANDY_XL,NONE,HALL_OF_FAME,1,NONE,0,VEGA_HALL_OF_FAME,ONCE,CLAIM_KEY_EXP_CANDY_XL_ONCE,ACTIVE,docs/QOL_POLICY.md first-availabilityを優先
REWARD_KEY_EXP_CANDY_XL_REPEAT,ITEM_KEY_EXP_CANDY_XL,NONE,BP_SHOP,1,CURRENCY_KEY_BP,12,KANTO_LEAGUE_CLEAR,REPEATABLE,NONE,ACTIVE,docs/QOL_POLICY.md first-availabilityを優先
REWARD_KEY_EV_RESET_ALL,ITEM_KEY_NONE,SERVICE_KEY_EV_RESET_ALL,DH_TERMINAL,1,NONE,0,VEGA_DH_CLEAR,REPEATABLE,NONE,ACTIVE,docs/QOL_POLICY.md first-availabilityを優先
REWARD_KEY_OVAL_CHARM,ITEM_KEY_OVAL_CHARM,NONE,DAYCARE_QUEST,1,NONE,0,KANTO_DAYCARE_QUEST,ONCE,CLAIM_KEY_OVAL_CHARM,ACTIVE,docs/QOL_POLICY.md first-availabilityを優先
REWARD_KEY_LIFE_ORB,ITEM_KEY_LIFE_ORB,NONE,BP_SHOP,1,CURRENCY_KEY_BP,24,COMPETITIVE_SUPPLY_UNLOCKED,REPEATABLE,NONE,ACTIVE,docs/QOL_POLICY.md first-availabilityを優先
