reward_encounter_key,npc_key,pool_key,tier,credit_key,cost,species_key,level_min,level_max,iv_floor,hidden_ability_rate,max_uncaught_rerolls,capture_policy,exp_ev_money_policy,item_theft_policy,drop_policy,chain_policy,unlock_key,presentation_profile,dedicated_map,full_screen_ui,status,notes
REWARD_ENCOUNTER_KEY_HABITAT_01,NPC_KEY_RESEARCH_HABITAT,ENCOUNTER_POOL_KEY_HABITAT,HABITAT,CREDIT_KEY_HABITAT,15,SPECIES_KEY_BULBASAUR,68,78,2,5,10,REPEATABLE_NORMAL,DISABLED,DISABLED,DISABLED,DISABLED,KANTO_EARLY_ACCESS,SIMPLE_EVENT,false,false,ACTIVE,未捕獲を10回まで優先再抽選
REWARD_ENCOUNTER_KEY_HABITAT_02,NPC_KEY_RESEARCH_HABITAT,ENCOUNTER_POOL_KEY_HABITAT,HABITAT,CREDIT_KEY_HABITAT,15,SPECIES_KEY_CHARMANDER,68,78,2,5,10,REPEATABLE_NORMAL,DISABLED,DISABLED,DISABLED,DISABLED,KANTO_EARLY_ACCESS,SIMPLE_EVENT,false,false,ACTIVE,未捕獲を10回まで優先再抽選
REWARD_ENCOUNTER_KEY_HABITAT_03,NPC_KEY_RESEARCH_HABITAT,ENCOUNTER_POOL_KEY_HABITAT,HABITAT,CREDIT_KEY_HABITAT,15,SPECIES_KEY_SQUIRTLE,68,78,2,5,10,REPEATABLE_NORMAL,DISABLED,DISABLED,DISABLED,DISABLED,KANTO_EARLY_ACCESS,SIMPLE_EVENT,false,false,ACTIVE,未捕獲を10回まで優先再抽選
REWARD_ENCOUNTER_KEY_HABITAT_04,NPC_KEY_RESEARCH_HABITAT,ENCOUNTER_POOL_KEY_HABITAT,HABITAT,CREDIT_KEY_HABITAT,15,SPECIES_KEY_CATERPIE,68,78,2,5,10,REPEATABLE_NORMAL,DISABLED,DISABLED,DISABLED,DISABLED,KANTO_EARLY_ACCESS,SIMPLE_EVENT,false,false,ACTIVE,未捕獲を10回まで優先再抽選
REWARD_ENCOUNTER_KEY_HABITAT_05,NPC_KEY_RESEARCH_HABITAT,ENCOUNTER_POOL_KEY_HABITAT,HABITAT,CREDIT_KEY_HABITAT,15,SPECIES_KEY_WEEDLE,68,78,2,5,10,REPEATABLE_NORMAL,DISABLED,DISABLED,DISABLED,DISABLED,KANTO_EARLY_ACCESS,SIMPLE_EVENT,false,false,ACTIVE,未捕獲を10回まで優先再抽選
REWARD_ENCOUNTER_KEY_HABITAT_06,NPC_KEY_RESEARCH_HABITAT,ENCOUNTER_POOL_KEY_HABITAT,HABITAT,CREDIT_KEY_HABITAT,15,SPECIES_KEY_PIDGEY,68,78,2,5,10,REPEATABLE_NORMAL,DISABLED,DISABLED,DISABLED,DISABLED,KANTO_EARLY_ACCESS,SIMPLE_EVENT,false,false,ACTIVE,未捕獲を10回まで優先再抽選
REWARD_ENCOUNTER_KEY_TYPE_01,NPC_KEY_RESEARCH_TYPE,ENCOUNTER_POOL_KEY_TYPE,TYPE,CREDIT_KEY_TYPE,25,SPECIES_KEY_RATTATA,76,88,3,10,10,REPEATABLE_NORMAL,DISABLED,DISABLED,DISABLED,DISABLED,KANTO_EARLY_ACCESS,SIMPLE_EVENT,false,false,ACTIVE,未捕獲を10回まで優先再抽選
REWARD_ENCOUNTER_KEY_TYPE_02,NPC_KEY_RESEARCH_TYPE,ENCOUNTER_POOL_KEY_TYPE,TYPE,CREDIT_KEY_TYPE,25,SPECIES_KEY_SPEAROW,76,88,3,10,10,REPEATABLE_NORMAL,DISABLED,DISABLED,DISABLED,DISABLED,KANTO_EARLY_ACCESS,SIMPLE_EVENT,false,false,ACTIVE,未捕獲を10回まで優先再抽選
REWARD_ENCOUNTER_KEY_TYPE_03,NPC_KEY_RESEARCH_TYPE,ENCOUNTER_POOL_KEY_TYPE,TYPE,CREDIT_KEY_TYPE,25,SPECIES_KEY_EKANS,76,88,3,10,10,REPEATABLE_NORMAL,DISABLED,DISABLED,DISABLED,DISABLED,KANTO_EARLY_ACCESS,SIMPLE_EVENT,false,false,ACTIVE,未捕獲を10回まで優先再抽選
REWARD_ENCOUNTER_KEY_TYPE_04,NPC_KEY_RESEARCH_TYPE,ENCOUNTER_POOL_KEY_TYPE,TYPE,CREDIT_KEY_TYPE,25,SPECIES_KEY_SANDSHREW,76,88,3,10,10,REPEATABLE_NORMAL,DISABLED,DISABLED,DISABLED,DISABLED,KANTO_EARLY_ACCESS,SIMPLE_EVENT,false,false,ACTIVE,未捕獲を10回まで優先再抽選
